ANGLE A0 A1 DATETIME
0 1.982750 0.510625 2023-10-30T16:09:31.453125
0 1.945500 0.551875 2023-10-30T16:09:31.453125
0 2.112250 0.539500 2023-10-30T16:09:31.453125
0 2.011125 0.508500 2023-10-30T16:09:31.453125
0 1.920375 0.550375 2023-10-30T16:09:31.453125
0 2.116500 0.546250 2023-10-30T16:09:31.453125
0 2.045500 0.510500 2023-10-30T16:09:31.453125
0 1.899500 0.546750 2023-10-30T16:09:31.453125
0 2.103500 0.549875 2023-10-30T16:09:31.453125
0 2.065250 0.514250 2023-10-30T16:09:31.453125
0 1.898625 0.543375 2023-10-30T16:09:31.453125
0 2.094875 0.555375 2023-10-30T16:09:31.468750
0 2.093625 0.520750 2023-10-30T16:09:31.468750
0 1.913250 0.537375 2023-10-30T16:09:31.468750
0 2.068875 0.558375 2023-10-30T16:09:31.468750
0 2.109875 0.527250 2023-10-30T16:09:31.468750
0 1.939500 0.530000 2023-10-30T16:09:31.468750
0 2.048375 0.561375 2023-10-30T16:09:31.468750
0 2.130250 0.534750 2023-10-30T16:09:31.468750
0 1.974250 0.523375 2023-10-30T16:09:31.468750
0 2.005125 0.561125 2023-10-30T16:09:31.468750
0 2.133750 0.541875 2023-10-30T16:09:31.468750
0 2.006875 0.517750 2023-10-30T16:09:31.468750
0 1.973750 0.561125 2023-10-30T16:09:31.468750
0 2.141125 0.549500 2023-10-30T16:09:31.468750
0 2.042000 0.517000 2023-10-30T16:09:31.468750
0 1.938875 0.558125 2023-10-30T16:09:31.468750
0 2.128375 0.554125 2023-10-30T16:09:31.468750
0 2.060875 0.518750 2023-10-30T16:09:31.468750
0 1.920375 0.555125 2023-10-30T16:09:31.468750
0 2.109375 0.560250 2023-10-30T16:09:31.468750
0 2.075875 0.524000 2023-10-30T16:09:31.468750
0 1.911250 0.550000 2023-10-30T16:09:31.468750
0 2.074250 0.563750 2023-10-30T16:09:31.468750
0 2.075500 0.529250 2023-10-30T16:09:31.468750
0 1.918750 0.544625 2023-10-30T16:09:31.468750
0 2.051875 0.567625 2023-10-30T16:09:31.468750
0 2.088875 0.536375 2023-10-30T16:09:31.468750
0 1.941750 0.537750 2023-10-30T16:09:31.468750
0 2.022750 0.568875 2023-10-30T16:09:31.468750
0 2.098250 0.542625 2023-10-30T16:09:31.468750
0 1.970875 0.530250 2023-10-30T16:09:31.484375
0 2.004000 0.570000 2023-10-30T16:09:31.484375
0 2.120250 0.550125 2023-10-30T16:09:31.484375
0 2.007125 0.526625 2023-10-30T16:09:31.484375
0 1.979000 0.568250 2023-10-30T16:09:31.484375
0 2.127625 0.555625 2023-10-30T16:09:31.484375
0 2.041625 0.523875 2023-10-30T16:09:31.484375
0 1.957000 0.565875 2023-10-30T16:09:31.484375
0 2.138750 0.562500 2023-10-30T16:09:31.484375
20 2.080000 0.526500 2023-10-30T16:09:38
20 1.943625 0.562250 2023-10-30T16:09:38
20 2.133000 0.566375 2023-10-30T16:09:38
20 2.106875 0.530500 2023-10-30T16:09:38
20 1.949625 0.557250 2023-10-30T16:09:38
20 2.133625 0.571500 2023-10-30T16:09:38
20 2.144000 0.537500 2023-10-30T16:09:38
20 1.971250 0.550875 2023-10-30T16:09:38
20 2.112375 0.573500 2023-10-30T16:09:38
20 2.160125 0.543250 2023-10-30T16:09:38
20 1.997500 0.543750 2023-10-30T16:09:38
20 2.093625 0.576000 2023-10-30T16:09:38
20 2.178625 0.550375 2023-10-30T16:09:38
20 2.029000 0.537750 2023-10-30T16:09:38
20 2.055500 0.575125 2023-10-30T16:09:38
20 2.178500 0.555125 2023-10-30T16:09:38
20 2.053250 0.532375 2023-10-30T16:09:38
20 2.025875 0.575125 2023-10-30T16:09:38
20 2.184250 0.562875 2023-10-30T16:09:38.015625
20 2.087875 0.531250 2023-10-30T16:09:38.015625
20 1.990500 0.571500 2023-10-30T16:09:38.015625
20 2.174250 0.567375 2023-10-30T16:09:38.015625
20 2.110625 0.532250 2023-10-30T16:09:38.015625
20 1.978500 0.567750 2023-10-30T16:09:38.015625
20 2.173125 0.573000 2023-10-30T16:09:38.015625
20 2.148250 0.537250 2023-10-30T16:09:38.015625
20 1.982000 0.562125 2023-10-30T16:09:38.015625
20 2.162250 0.575625 2023-10-30T16:09:38.015625
20 2.174250 0.542250 2023-10-30T16:09:38.015625
20 2.002625 0.556000 2023-10-30T16:09:38.015625
20 2.151750 0.579125 2023-10-30T16:09:38.015625
20 2.198625 0.549000 2023-10-30T16:09:38.015625
20 2.028875 0.549375 2023-10-30T16:09:38.015625
20 2.114250 0.579625 2023-10-30T16:09:38.015625
20 2.199125 0.554875 2023-10-30T16:09:38.015625
20 2.054875 0.542500 2023-10-30T16:09:38.015625
20 2.080750 0.580875 2023-10-30T16:09:38.015625
20 2.199625 0.562375 2023-10-30T16:09:38.015625
