ANGLE A0 A1 DATETIME
0 0.459750 0.097500 2023-10-30T15:58:33.234375
0 0.458500 0.097000 2023-10-30T15:58:33.234375
0 0.456875 0.097000 2023-10-30T15:58:33.250000
0 0.455625 0.096625 2023-10-30T15:58:33.250000
0 0.453875 0.096500 2023-10-30T15:58:33.250000
0 0.453500 0.096250 2023-10-30T15:58:33.250000
0 0.452875 0.095625 2023-10-30T15:58:33.250000
0 0.452375 0.095375 2023-10-30T15:58:33.250000
0 0.450750 0.095375 2023-10-30T15:58:33.250000
0 0.449625 0.095000 2023-10-30T15:58:33.250000
0 0.447625 0.094875 2023-10-30T15:58:33.250000
0 0.447125 0.094375 2023-10-30T15:58:33.250000
0 0.446500 0.094000 2023-10-30T15:58:33.250000
0 0.446125 0.094000 2023-10-30T15:58:33.250000
0 0.444750 0.093875 2023-10-30T15:58:33.250000
0 0.443500 0.093750 2023-10-30T15:58:33.250000
0 0.441750 0.093250 2023-10-30T15:58:33.250000
0 0.440750 0.092875 2023-10-30T15:58:33.250000
0 0.440125 0.092500 2023-10-30T15:58:33.250000
0 0.439750 0.092375 2023-10-30T15:58:33.250000
0 0.438500 0.092250 2023-10-30T15:58:33.250000
0 0.437250 0.092000 2023-10-30T15:58:33.250000
0 0.435750 0.091750 2023-10-30T15:58:33.250000
0 0.434250 0.091375 2023-10-30T15:58:33.250000
0 0.433750 0.091250 2023-10-30T15:58:33.250000
0 0.433625 0.090875 2023-10-30T15:58:33.250000
0 0.432750 0.090750 2023-10-30T15:58:33.250000
0 0.431250 0.090375 2023-10-30T15:58:33.250000
0 0.429875 0.090250 2023-10-30T15:58:33.250000
0 0.428500 0.090000 2023-10-30T15:58:33.250000
0 0.427625 0.089375 2023-10-30T15:58:33.265625
0 0.427250 0.089250 2023-10-30T15:58:33.265625
0 0.426750 0.089125 2023-10-30T15:58:33.265625
0 0.425375 0.088875 2023-10-30T15:58:33.265625
0 0.424375 0.088875 2023-10-30T15:58:33.265625
0 0.422500 0.088250 2023-10-30T15:58:33.265625
0 0.421500 0.088250 2023-10-30T15:58:33.265625
0 0.420750 0.087625 2023-10-30T15:58:33.265625
0 0.420625 0.087375 2023-10-30T15:58:33.265625
0 0.419125 0.087375 2023-10-30T15:58:33.265625
0 0.418375 0.087250 2023-10-30T15:58:33.265625
0 0.416375 0.087125 2023-10-30T15:58:33.265625
0 0.415500 0.086625 2023-10-30T15:58:33.265625
0 0.414875 0.086250 2023-10-30T15:58:33.265625
0 0.414625 0.085875 2023-10-30T15:58:33.265625
0 0.413375 0.085500 2023-10-30T15:58:33.265625
0 0.412000 0.085625 2023-10-30T15:58:33.265625
0 0.410750 0.085250 2023-10-30T15:58:33.265625
0 0.409125 0.085000 2023-10-30T15:58:33.265625
0 0.408750 0.084375 2023-10-30T15:58:33.265625
20 0.408250 0.084250 2023-10-30T15:58:39.781250
20 0.407750 0.084125 2023-10-30T15:58:39.781250
20 0.407000 0.084250 2023-10-30T15:58:39.781250
20 0.405375 0.083875 2023-10-30T15:58:39.781250
20 0.403625 0.083625 2023-10-30T15:58:39.781250
20 0.402750 0.083125 2023-10-30T15:58:39.781250
20 0.402375 0.082875 2023-10-30T15:58:39.781250
20 0.402000 0.082625 2023-10-30T15:58:39.796875
20 0.400750 0.082375 2023-10-30T15:58:39.796875
20 0.399875 0.082375 2023-10-30T15:58:39.796875
20 0.398125 0.082000 2023-10-30T15:58:39.796875
20 0.397125 0.081625 2023-10-30T15:58:39.796875
20 0.396500 0.081375 2023-10-30T15:58:39.796875
20 0.396000 0.081125 2023-10-30T15:58:39.796875
20 0.395000 0.080875 2023-10-30T15:58:39.796875
20 0.394000 0.081000 2023-10-30T15:58:39.796875
20 0.392750 0.080750 2023-10-30T15:58:39.796875
20 0.391250 0.080375 2023-10-30T15:58:39.796875
20 0.390875 0.080000 2023-10-30T15:58:39.796875
20 0.390125 0.079750 2023-10-30T15:58:39.796875
20 0.389500 0.079500 2023-10-30T15:58:39.796875
20 0.388625 0.079500 2023-10-30T15:58:39.796875
20 0.387125 0.079500 2023-10-30T15:58:39.796875
20 0.385375 0.078875 2023-10-30T15:58:39.796875
20 0.384750 0.078375 2023-10-30T15:58:39.796875
20 0.384500 0.078125 2023-10-30T15:58:39.796875
20 0.383625 0.078250 2023-10-30T15:58:39.796875
20 0.382375 0.078000 2023-10-30T15:58:39.796875
20 0.381125 0.077875 2023-10-30T15:58:39.796875
20 0.379375 0.077500 2023-10-30T15:58:39.796875
20 0.378500 0.077125 2023-10-30T15:58:39.796875
20 0.378125 0.076875 2023-10-30T15:58:39.796875
20 0.377875 0.076625 2023-10-30T15:58:39.796875
20 0.376625 0.076500 2023-10-30T15:58:39.796875
20 0.375625 0.076375 2023-10-30T15:58:39.796875
20 0.373625 0.076125 2023-10-30T15:58:39.796875
