ANGLE,CH0,CH1
2520.003,2.1215,2.47825
2521.003,2.126375,2.465375
2522.003,2.13175,2.4505
2523.003,2.1355,2.43425
2524.003,2.136375,2.41775
2525.003,2.138,2.399
2526.003,2.136625,2.378625
2527.003,2.1325,2.35875
2528.003,2.1285,2.33675
2529.003,2.124375,2.31375
2530.003,2.116875,2.287625
2531.003,2.107625,2.262625
2532.003,2.098375,2.234
2533.003,2.086125,2.205875
2534.003,2.0745,2.17475
2535.003,2.059625,2.143
2536.003,2.043125,2.111625
2537.003,2.025875,2.078625
2538.003,2.00825,2.0445
2539.003,1.989,2.0085
2540.003,1.968375,1.97275
2541.003,1.947125,1.935625
2542.003,1.9225,1.89825
2543.003,1.89875,1.859625
2544.003,1.873375,1.8205
2545.003,1.84825,1.780125
2546.003,1.82225,1.739125
2547.003,1.793625,1.6975
2548.003,1.7635,1.655625
2549.003,1.734,1.614
2550.003,1.703,1.570625
2551.003,1.6725,1.52725
2552.003,1.640625,1.483375
2553.003,1.60875,1.440375
2554.003,1.575,1.39575
2555.003,1.542625,1.3515
2556.003,1.506875,1.30725
2557.003,1.472625,1.262375
2558.003,1.437625,1.218125
2559.003,1.40225,1.174625
2560.003,1.36475,1.13025
2561.003,1.329125,1.08625
2562.003,1.291375,1.04275
2563.003,1.254625,0.998875
2564.003,1.217125,0.955875
2565.003,1.178625,0.912625
2566.003,1.141,0.871
2567.003,1.101875,0.82875
2568.003,1.06375,0.7875
2569.003,1.026875,0.747375
2570.003,0.9895,0.707875
2571.003,0.952,0.667375
2572.003,0.914,0.629375
2573.003,0.8765,0.59125
2574.003,0.840875,0.55475
2575.003,0.8045,0.519
2576.003,0.768125,0.484
2577.003,0.73275,0.44975
2578.003,0.69725,0.415875
2579.003,0.662125,0.38425
2580.003,0.62775,0.35325
2581.003,0.595125,0.323125
2582.003,0.561375,0.29425
2583.003,0.529875,0.266875
2584.003,0.498,0.240625
2585.003,0.467,0.215
2586.003,0.437125,0.1915
2587.003,0.40875,0.168625
2588.003,0.38025,0.147375
2589.003,0.352875,0.1275
2590.003,0.326,0.109125
2591.003,0.301,0.091875
2592.003,0.2755,0.076375
2593.003,0.25225,0.0615
2594.003,0.229125,0.049125
2595.003,0.207,0.0375
2596.003,0.187125,0.027625
2597.003,0.1675,0.0195
2598.003,0.14825,0.012375
2599.003,0.131375,0.006875
2600.003,0.114875,0.003
2601.003,0.09975,0.001
2602.003,0.0855,0.00025
2603.003,0.071875,0.000875
2604.003,0.06025,0.00325
2605.003,0.0495,0.006625
2606.003,0.039875,0.012125
2607.003,0.0315,0.018625
2608.003,0.0245,0.02725
2609.003,0.01875,0.03725
2610.003,0.01375,0.0485
2611.003,0.010375,0.061125
2612.003,0.007375,0.075375
2613.003,0.005875,0.091
2614.003,0.00575,0.108375
2615.003,0.00625,0.12625
2616.003,0.008625,0.1465
2617.003,0.011875,0.167375
2618.003,0.01625,0.190375
2619.003,0.0225,0.214625
