#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-22 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
1080.002  2.134875  2.487625  2023-12-22T13:45:29.140625
1080.002  2.134875  2.487625  2023-12-22T13:45:29.140625
1080.002  2.134875  2.487125  2023-12-22T13:45:29.140625
1080.002  2.134875  2.48625   2023-12-22T13:45:29.140625
1080.002  2.135375  2.486     2023-12-22T13:45:29.140625
1080.002  2.135875  2.486375  2023-12-22T13:45:29.140625
1080.002  2.1355    2.4865    2023-12-22T13:45:29.140625
1080.002  2.135     2.486     2023-12-22T13:45:29.140625
1080.002  2.135     2.486     2023-12-22T13:45:29.140625
1080.002  2.1345    2.48575   2023-12-22T13:45:29.140625
1080.002  2.134375  2.486     2023-12-22T13:45:29.140625
1080.002  2.134375  2.48625   2023-12-22T13:45:29.140625
1080.002  2.13375   2.486375  2023-12-22T13:45:29.140625
1080.002  2.133625  2.4865    2023-12-22T13:45:29.140625
1080.002  2.13375   2.486625  2023-12-22T13:45:29.140625
1080.002  2.13425   2.486625  2023-12-22T13:45:29.140625
1080.002  2.13475   2.487125  2023-12-22T13:45:29.140625
1080.002  2.13475   2.487375  2023-12-22T13:45:29.140625
1080.002  2.135125  2.487375  2023-12-22T13:45:29.140625
1080.002  2.13475   2.486625  2023-12-22T13:45:29.140625
1080.002  2.135     2.486     2023-12-22T13:45:29.140625
1080.002  2.13525   2.486125  2023-12-22T13:45:29.140625
1080.002  2.13575   2.4865    2023-12-22T13:45:29.140625
1080.002  2.13575   2.4865    2023-12-22T13:45:29.140625
1080.002  2.1355    2.486375  2023-12-22T13:45:29.140625
1080.002  2.13475   2.486     2023-12-22T13:45:29.140625
1080.002  2.134375  2.485875  2023-12-22T13:45:29.140625
1080.002  2.1345    2.48625   2023-12-22T13:45:29.140625
1080.002  2.134375  2.4865    2023-12-22T13:45:29.140625
1080.002  2.1335    2.48625   2023-12-22T13:45:29.140625
1080.002  2.133375  2.486625  2023-12-22T13:45:29.140625
1080.002  2.134125  2.486625  2023-12-22T13:45:29.140625
1080.002  2.134875  2.487     2023-12-22T13:45:29.140625
1080.002  2.1345    2.487625  2023-12-22T13:45:29.140625
1080.002  2.134875  2.48775   2023-12-22T13:45:29.140625
1080.002  2.135     2.4875    2023-12-22T13:45:29.140625
1080.002  2.13475   2.48675   2023-12-22T13:45:29.140625
1080.002  2.135125  2.48625   2023-12-22T13:45:29.140625
1080.002  2.135125  2.48625   2023-12-22T13:45:29.140625
1080.002  2.13525   2.486375  2023-12-22T13:45:29.140625
1080.002  2.135625  2.48675   2023-12-22T13:45:29.140625
1080.002  2.13525   2.4865    2023-12-22T13:45:29.140625
1080.002  2.134125  2.486     2023-12-22T13:45:29.140625
1080.002  2.134125  2.486     2023-12-22T13:45:29.140625
1080.002  2.134125  2.4865    2023-12-22T13:45:29.140625
1080.002  2.133875  2.4865    2023-12-22T13:45:29.140625
1080.002  2.133375  2.486375  2023-12-22T13:45:29.140625
1080.002  2.13325   2.486625  2023-12-22T13:45:29.140625
1080.002  2.134125  2.48675   2023-12-22T13:45:29.140625
1080.002  2.135     2.487     2023-12-22T13:45:29.140625
1081.002  2.141125  2.47375   2023-12-22T13:45:31.796875
1081.002  2.14025   2.47325   2023-12-22T13:45:31.796875
1081.002  2.14025   2.473375  2023-12-22T13:45:31.796875
1081.002  2.14025   2.47375   2023-12-22T13:45:31.796875
1081.002  2.1405    2.473875  2023-12-22T13:45:31.796875
1081.002  2.140125  2.473875  2023-12-22T13:45:31.796875
1081.002  2.140125  2.474     2023-12-22T13:45:31.796875
1081.002  2.141     2.474125  2023-12-22T13:45:31.796875
1081.002  2.141     2.474125  2023-12-22T13:45:31.796875
1081.002  2.141375  2.4745    2023-12-22T13:45:31.796875
1081.002  2.14125   2.474875  2023-12-22T13:45:31.796875
1081.002  2.141375  2.474875  2023-12-22T13:45:31.796875
1081.002  2.141     2.474375  2023-12-22T13:45:31.796875
1081.002  2.141     2.47375   2023-12-22T13:45:31.796875
