ANGLE,CH0,CH1
1800.003,2.12125,2.473625
1800.003,2.121125,2.474
1800.003,2.121125,2.474375
1800.003,2.121,2.47425
1800.003,2.1205,2.474375
1800.003,2.12025,2.47475
1800.003,2.120875,2.474875
1800.003,2.12125,2.47525
1800.003,2.12125,2.47525
1800.003,2.12125,2.47575
1800.003,2.121875,2.475625
1800.003,2.12225,2.475
1800.003,2.122,2.4745
1800.003,2.12225,2.474375
1800.003,2.1225,2.474625
1800.003,2.122,2.47475
1800.003,2.121,2.47425
1800.003,2.120875,2.473875
1800.003,2.121125,2.474125
1800.003,2.121125,2.474375
1800.003,2.120875,2.474375
1800.003,2.120625,2.4745
1800.003,2.120625,2.474625
1800.003,2.120625,2.474625
1800.003,2.121375,2.474625
1800.003,2.12175,2.475125
1800.003,2.121625,2.475625
1800.003,2.122125,2.4755
1800.003,2.122125,2.474875
1800.003,2.122375,2.474125
1800.003,2.12275,2.474125
1800.003,2.1225,2.474375
1800.003,2.122125,2.474375
1800.003,2.121375,2.474
1800.003,2.121125,2.47375
1800.003,2.12125,2.474375
1800.003,2.121,2.4745
1800.003,2.12025,2.474375
1800.003,2.12025,2.474375
1800.003,2.120375,2.474625
1800.003,2.121,2.47475
1800.003,2.1215,2.47475
1800.003,2.121375,2.475375
1800.003,2.12175,2.4755
1800.003,2.122125,2.475125
1800.003,2.122,2.474625
1800.003,2.122,2.474125
1800.003,2.123,2.4745
1800.003,2.12275,2.47475
1800.003,2.12175,2.4745
1801.003,2.127875,2.46275
1801.003,2.12775,2.4625
1801.003,2.12775,2.461625
1801.003,2.128125,2.461375
1801.003,2.128,2.461875
1801.003,2.127875,2.461875
1801.003,2.1275,2.461625
1801.003,2.127125,2.461
1801.003,2.127125,2.461
1801.003,2.127375,2.46125
1801.003,2.127375,2.46175
1801.003,2.126875,2.46175
1801.003,2.12625,2.461625
1801.003,2.126,2.461875
1801.003,2.126875,2.46225
1801.003,2.127375,2.4625
1801.003,2.12725,2.462875
1801.003,2.127375,2.46275
1801.003,2.1275,2.46225
1801.003,2.128125,2.461625
1801.003,2.128625,2.461375
1801.003,2.128625,2.46175
1801.003,2.128,2.461875
1801.003,2.128,2.461875
1801.003,2.12725,2.461375
1801.003,2.12675,2.461
1801.003,2.127,2.46125
1801.003,2.127,2.46175
1801.003,2.1265,2.46175
1801.003,2.126125,2.461875
1801.003,2.126625,2.462
1801.003,2.127375,2.462
1801.003,2.127875,2.4625
1801.003,2.12775,2.463
1801.003,2.1275,2.462625
1801.003,2.1275,2.462
1801.003,2.127625,2.46125
1801.003,2.128125,2.4615
1801.003,2.128125,2.4615
1801.003,2.128375,2.461875
1801.003,2.128,2.46175
1801.003,2.127,2.461375
1801.003,2.1265,2.46125
1801.003,2.126875,2.461625
1801.003,2.127,2.461875
1801.003,2.1265,2.461625
1801.003,2.126125,2.461875
1801.003,2.126875,2.462125
1801.003,2.1275,2.462375
1801.003,2.127125,2.462875
1802.003,2.131625,2.44825
1802.003,2.132375,2.44825
1802.003,2.132625,2.448875
1802.003,2.13275,2.449
1802.003,2.132625,2.448875
1802.003,2.13275,2.448125
1802.003,2.13325,2.447625
1802.003,2.133125,2.447625
1802.003,2.133125,2.447875
1802.003,2.133125,2.448
1802.003,2.133,2.447875
1802.003,2.132375,2.447375
1802.003,2.132125,2.447375
1802.003,2.132125,2.44775
1802.003,2.131625,2.448125
1802.003,2.13125,2.448
1802.003,2.13125,2.448125
1802.003,2.131875,2.44825
1802.003,2.13275,2.4485
1802.003,2.132875,2.448875
1802.003,2.133,2.449
1802.003,2.13275,2.44875
1802.003,2.1325,2.448
1802.003,2.1325,2.448
1802.003,2.132875,2.447625
1802.003,2.1335,2.447875
1802.003,2.1335,2.448
1802.003,2.13275,2.447875
1802.003,2.131625,2.447375
1802.003,2.13175,2.447375
1802.003,2.13225,2.447875
1802.003,2.132,2.447875
1802.003,2.131375,2.448
1802.003,2.1315,2.44825
1802.003,2.132625,2.448125
1802.003,2.133,2.4485
1802.003,2.132375,2.448875
1802.003,2.13275,2.448875
1802.003,2.13275,2.448875
1802.003,2.132875,2.448375
1802.003,2.132875,2.44775
1802.003,2.133125,2.4475
1802.003,2.13325,2.447875
1802.003,2.133625,2.447875
1802.003,2.132875,2.4475
1802.003,2.131875,2.447125
1802.003,2.131875,2.44725
1802.003,2.13225,2.448
1802.003,2.132,2.447875
1802.003,2.1315,2.448
1803.003,2.13575,2.43075
1803.003,2.136125,2.431
1803.003,2.135875,2.43125
1803.003,2.135375,2.431
1803.003,2.13475,2.4305
1803.003,2.1345,2.430375
1803.003,2.13475,2.430875
1803.003,2.1345,2.431125
1803.003,2.1345,2.431125
1803.003,2.134125,2.431
1803.003,2.134125,2.43125
1803.003,2.1345,2.4315
1803.003,2.135125,2.431625
1803.003,2.13475,2.432125
1803.003,2.13475,2.432125
1803.003,2.13525,2.431875
1803.003,2.13525,2.431
1803.003,2.135875,2.43075
1803.003,2.136125,2.431125
1803.003,2.135625,2.431125
1803.003,2.13475,2.43075
1803.003,2.134,2.4305
1803.003,2.13425,2.430625
1803.003,2.13425,2.430625
1803.003,2.13425,2.431
1803.003,2.134125,2.430875
1803.003,2.13375,2.431
1803.003,2.133875,2.43125
1803.003,2.134625,2.431375
1803.003,2.13525,2.43175
1803.003,2.135375,2.432125
1803.003,2.135375,2.432125
1803.003,2.13525,2.4315
1803.003,2.13525,2.43075
1803.003,2.135625,2.430625
1803.003,2.136,2.431125
1803.003,2.135375,2.431375
1803.003,2.134625,2.43075
1803.003,2.134625,2.43075
1803.003,2.1345,2.4305
1803.003,2.134625,2.430625
1803.003,2.134625,2.431125
1803.003,2.134125,2.430875
1803.003,2.133625,2.431
1803.003,2.134,2.43125
1803.003,2.13475,2.4315
1803.003,2.135125,2.431875
1803.003,2.135125,2.43225
1803.003,2.135,2.432
1803.003,2.135125,2.4315
1804.003,2.13625,2.415125
1804.003,2.13675,2.41525
1804.003,2.137375,2.4155
1804.003,2.13725,2.416
1804.003,2.1375,2.416
1804.003,2.137625,2.4155
1804.003,2.137375,2.41475
1804.003,2.138,2.4145
1804.003,2.138,2.4145
1804.003,2.13825,2.414875
1804.003,2.13825,2.415
1804.003,2.1375,2.4145
1804.003,2.136625,2.414125
1804.003,2.136375,2.414375
1804.003,2.136875,2.414875
1804.003,2.13675,2.41475
1804.003,2.1365,2.415
1804.003,2.136625,2.415125
1804.003,2.137125,2.41525
1804.003,2.137125,2.415625
1804.003,2.137125,2.416125
1804.003,2.13775,2.415625
1804.003,2.137625,2.415125
1804.003,2.137625,2.415125
1804.003,2.1375,2.4145
1804.003,2.138,2.4145
1804.003,2.138125,2.414875
1804.003,2.1375,2.414875
1804.003,2.13675,2.414375
1804.003,2.1365,2.414125
1804.003,2.136875,2.4145
1804.003,2.136875,2.414875
1804.003,2.136125,2.41475
1804.003,2.136125,2.414875
1804.003,2.136375,2.415125
1804.003,2.13725,2.41525
1804.003,2.13725,2.415625
1804.003,2.13725,2.416
1804.003,2.13725,2.416
1804.003,2.137625,2.41575
1804.003,2.137375,2.415125
1804.003,2.1375,2.4145
1804.003,2.13825,2.41475
1804.003,2.1385,2.415
1804.003,2.137625,2.414875
1804.003,2.13675,2.414375
1804.003,2.13675,2.41425
1804.003,2.137,2.41475
1804.003,2.137125,2.414875
1804.003,2.13675,2.41475
1805.003,2.136875,2.396
1805.003,2.137,2.396375
1805.003,2.13675,2.396
1805.003,2.136875,2.39625
1805.003,2.1375,2.396375
1805.003,2.137875,2.3965
1805.003,2.137625,2.397125
1805.003,2.137625,2.397125
1805.003,2.137875,2.397125
1805.003,2.138125,2.39675
1805.003,2.138,2.396125
1805.003,2.138125,2.39575
1805.003,2.13875,2.396125
1805.003,2.138625,2.39625
1805.003,2.138125,2.395875
1805.003,2.137375,2.3955
1805.003,2.137,2.39575
1805.003,2.137125,2.39625
1805.003,2.13725,2.39625
1805.003,2.13675,2.39625
1805.003,2.137,2.396625
1805.003,2.1375,2.3965
1805.003,2.1375,2.39675
1805.003,2.138,2.39675
1805.003,2.13775,2.39725
1805.003,2.138,2.39725
1805.003,2.138125,2.39675
1805.003,2.137875,2.396
1805.003,2.1385,2.395875
1805.003,2.138625,2.39625
1805.003,2.13825,2.39625
1805.003,2.137375,2.39575
1805.003,2.136875,2.395375
1805.003,2.13725,2.39575
1805.003,2.13725,2.396125
1805.003,2.136625,2.396
1805.003,2.1365,2.39625
1805.003,2.1365,2.396625
1805.003,2.136625,2.396625
1805.003,2.13775,2.396625
1805.003,2.138125,2.397
1805.003,2.138,2.397375
1805.003,2.13775,2.39725
1805.003,2.1375,2.396625
1805.003,2.138,2.396
1805.003,2.1385,2.396
1805.003,2.138125,2.396375
1805.003,2.138,2.39625
1805.003,2.137125,2.395625
1805.003,2.1365,2.3955
1806.003,2.1365,2.377375
1806.003,2.136375,2.377875
1806.003,2.136875,2.377875
1806.003,2.136625,2.37725
1806.003,2.13675,2.376625
1806.003,2.13725,2.3765
1806.003,2.13725,2.376875
1806.003,2.137,2.376875
1806.003,2.137,2.376875
1806.003,2.136,2.37625
1806.003,2.135375,2.376125
1806.003,2.135875,2.376625
1806.003,2.136,2.37675
1806.003,2.1355,2.376625
1806.003,2.135625,2.377
1806.003,2.13575,2.377
1806.003,2.13625,2.377125
1806.003,2.136,2.377625
1806.003,2.136375,2.37775
1806.003,2.13675,2.377625
1806.003,2.13625,2.377
1806.003,2.136625,2.3765
1806.003,2.13725,2.376625
1806.003,2.13725,2.376625
1806.003,2.137125,2.377
1806.003,2.136625,2.37675
1806.003,2.135875,2.376125
1806.003,2.13575,2.37625
1806.003,2.136125,2.37675
1806.003,2.135875,2.376875
1806.003,2.135625,2.376625
1806.003,2.135375,2.377
1806.003,2.136125,2.377
1806.003,2.1365,2.37725
1806.003,2.136375,2.37775
1806.003,2.13625,2.377875
1806.003,2.136,2.377625
1806.003,2.136125,2.37675
1806.003,2.136125,2.37675
1806.003,2.137,2.37625
1806.003,2.137125,2.37675
1806.003,2.137125,2.376875
1806.003,2.136625,2.3765
1806.003,2.135875,2.376125
1806.003,2.135375,2.376125
1806.003,2.13575,2.376875
1806.003,2.135875,2.37675
1806.003,2.135625,2.37675
1806.003,2.136,2.377125
1806.003,2.136,2.377125
1807.003,2.132625,2.355625
1807.003,2.132875,2.35575
1807.003,2.133625,2.355875
1807.003,2.134,2.356375
1807.003,2.133875,2.35675
1807.003,2.133875,2.356625
1807.003,2.134125,2.355875
1807.003,2.13425,2.35525
1807.003,2.13425,2.35525
1807.003,2.134875,2.355375
1807.003,2.13475,2.355625
1807.003,2.13425,2.355375
1807.003,2.133375,2.354875
1807.003,2.133,2.35475
1807.003,2.13325,2.35525
1807.003,2.13325,2.3555
1807.003,2.133125,2.355375
1807.003,2.133125,2.355625
1807.003,2.133375,2.355875
1807.003,2.13375,2.355875
1807.003,2.133875,2.356375
1807.003,2.134,2.3565
1807.003,2.134,2.356125
1807.003,2.134,2.356125
1807.003,2.134125,2.355625
1807.003,2.13475,2.355
1807.003,2.134625,2.355375
1807.003,2.1345,2.35575
1807.003,2.13375,2.35525
1807.003,2.132875,2.35475
1807.003,2.132875,2.354875
1807.003,2.133125,2.355375
1807.003,2.133375,2.3555
1807.003,2.13275,2.3555
1807.003,2.132375,2.355875
1807.003,2.13325,2.355875
1807.003,2.134,2.356125
1807.003,2.133875,2.356625
1807.003,2.133875,2.356625
1807.003,2.133875,2.356625
1807.003,2.133875,2.35625
1807.003,2.134125,2.355375
1807.003,2.134625,2.35525
1807.003,2.13475,2.355625
1807.003,2.1345,2.355625
1807.003,2.134,2.35525
1807.003,2.13325,2.35475
1807.003,2.133375,2.355
1807.003,2.1335,2.355625
1807.003,2.133,2.355375
1808.003,2.129625,2.333125
1808.003,2.129625,2.33325
1808.003,2.129375,2.33325
1808.003,2.129375,2.3335
1808.003,2.129875,2.333375
1808.003,2.13025,2.333625
1808.003,2.13,2.33425
1808.003,2.130125,2.33425
1808.003,2.130125,2.33425
1808.003,2.130375,2.333875
1808.003,2.130375,2.333125
1808.003,2.13075,2.332875
1808.003,2.130875,2.33325
1808.003,2.130625,2.333375
1808.003,2.13025,2.333
1808.003,2.129375,2.332625
1808.003,2.129125,2.332875
1808.003,2.129625,2.333125
1808.003,2.1295,2.33325
1808.003,2.129375,2.333375
1808.003,2.129125,2.3335
1808.003,2.13,2.333625
1808.003,2.130375,2.333875
1808.003,2.130375,2.333875
1808.003,2.130125,2.334375
1808.003,2.130375,2.334125
1808.003,2.130375,2.33375
1808.003,2.130375,2.332875
1808.003,2.131125,2.332875
1808.003,2.13125,2.33325
1808.003,2.130875,2.333375
1808.003,2.130125,2.333
1808.003,2.129375,2.332625
1808.003,2.129625,2.333
1808.003,2.130125,2.33325
1808.003,2.12975,2.333
1808.003,2.129375,2.333375
1808.003,2.1295,2.333625
1808.003,2.1295,2.333625
1808.003,2.129875,2.33375
1808.003,2.13,2.33425
1808.003,2.13,2.334375
1808.003,2.13075,2.334125
1808.003,2.130625,2.3335
1808.003,2.1305,2.332875
1808.003,2.131,2.333
1808.003,2.13125,2.333125
1808.003,2.130625,2.33325
1808.003,2.129875,2.33275
1808.003,2.12975,2.3325
1809.003,2.123875,2.30925
1809.003,2.1235,2.30925
1809.003,2.123625,2.309375
1809.003,2.124,2.3095
1809.003,2.1245,2.309875
1809.003,2.124375,2.3105
1809.003,2.124625,2.31025
1809.003,2.125,2.31
1809.003,2.125,2.31
1809.003,2.125,2.309375
1809.003,2.1255,2.309125
1809.003,2.125625,2.309375
1809.003,2.125125,2.309375
1809.003,2.124375,2.309
1809.003,2.123625,2.3085
1809.003,2.123875,2.30875
1809.003,2.124125,2.30925
1809.003,2.124,2.30925
1809.003,2.1235,2.30925
1809.003,2.123625,2.309625
1809.003,2.124125,2.309625
1809.003,2.124375,2.30975
1809.003,2.124375,2.31025
1809.003,2.124375,2.31025
1809.003,2.124625,2.310125
1809.003,2.1245,2.309625
1809.003,2.12475,2.308875
1809.003,2.12525,2.308875
1809.003,2.125375,2.30925
1809.003,2.125,2.309125
1809.003,2.12425,2.30875
1809.003,2.123875,2.308625
1809.003,2.124,2.308875
1809.003,2.124,2.309375
1809.003,2.123875,2.309125
1809.003,2.123625,2.309375
1809.003,2.12375,2.3095
1809.003,2.12425,2.309625
1809.003,2.12425,2.309625
1809.003,2.124125,2.310125
1809.003,2.12475,2.310375
1809.003,2.125,2.310125
1809.003,2.12475,2.3095
1809.003,2.125,2.309
1809.003,2.125625,2.309125
1809.003,2.1255,2.3095
1809.003,2.12475,2.30925
1809.003,2.12425,2.30875
1809.003,2.124,2.3085
1809.003,2.123625,2.308875
1810.003,2.117125,2.2845
1810.003,2.117125,2.2845
1810.003,2.117125,2.285125
1810.003,2.11675,2.28525
1810.003,2.116625,2.28525
1810.003,2.117,2.285625
1810.003,2.117375,2.285625
1810.003,2.117375,2.28575
1810.003,2.117375,2.28575
1810.003,2.1175,2.286375
1810.003,2.117375,2.28625
1810.003,2.117875,2.285875
1810.003,2.118125,2.28525
1810.003,2.118375,2.285
1810.003,2.1185,2.28525
1810.003,2.118,2.285375
1810.003,2.117375,2.285
1810.003,2.11725,2.2845
1810.003,2.117375,2.28475
1810.003,2.11725,2.28525
1810.003,2.117,2.285125
1810.003,2.116625,2.28525
1810.003,2.116375,2.285375
1810.003,2.116375,2.285375
1810.003,2.117,2.285375
1810.003,2.11775,2.28575
1810.003,2.117625,2.286125
1810.003,2.117625,2.286
1810.003,2.11775,2.285625
1810.003,2.11825,2.285
1810.003,2.1185,2.284875
1810.003,2.1185,2.285375
1810.003,2.118125,2.28525
1810.003,2.1175,2.28475
1810.003,2.11675,2.2845
1810.003,2.117,2.284875
1810.003,2.11725,2.28525
1810.003,2.116875,2.285125
1810.003,2.116875,2.285125
1810.003,2.116125,2.28525
1810.003,2.116875,2.2855
1810.003,2.1175,2.2855
1810.003,2.11775,2.286
1810.003,2.118,2.28625
1810.003,2.11825,2.286125
1810.003,2.118,2.2855
