ANGLE,CH0,CH1
0.0,2.098,2.30775
0.0,2.097375,2.307625
0.0,2.096625,2.307
0.0,2.0965,2.307
0.0,2.096625,2.3075
0.0,2.096875,2.307625
0.0,2.096625,2.30775
0.0,2.096625,2.307875
0.0,2.096625,2.307875
0.0,2.097125,2.307875
0.0,2.0975,2.30825
0.0,2.097375,2.3085
0.0,2.09725,2.3085
0.0,2.097625,2.308125
0.0,2.09775,2.307375
0.0,2.097875,2.30725
0.0,2.0985,2.3075
0.0,2.09825,2.307375
0.0,2.097375,2.307
0.0,2.09675,2.306625
0.0,2.097,2.307
0.0,2.097,2.3075
0.0,2.097,2.307375
0.0,2.09675,2.307375
0.0,2.095875,2.3075
0.0,2.095875,2.307875
0.0,2.097125,2.308
0.0,2.0975,2.308375
0.0,2.097,2.308875
0.0,2.097,2.30875
0.0,2.09725,2.30825
0.0,2.098,2.3075
0.0,2.09875,2.307375
0.0,2.098625,2.30775
0.0,2.098125,2.30775
0.0,2.097,2.30725
0.0,2.0965,2.307
0.0,2.09675,2.307375
0.0,2.09675,2.307375
0.0,2.096875,2.307625
0.0,2.096375,2.3075
0.0,2.0965,2.307625
0.0,2.09675,2.307875
0.0,2.097375,2.307875
0.0,2.097625,2.308375
0.0,2.09775,2.308625
0.0,2.097375,2.3085
0.0,2.0975,2.307875
0.0,2.09825,2.307375
0.0,2.098375,2.3075
1.0,2.10225,2.282
1.0,2.102125,2.28225
1.0,2.102625,2.28225
1.0,2.103375,2.282375
1.0,2.1035,2.283
1.0,2.103375,2.283125
1.0,2.103625,2.28275
1.0,2.103375,2.28275
1.0,2.103375,2.282125
1.0,2.103875,2.28175
1.0,2.104375,2.282
1.0,2.10425,2.282125
1.0,2.1035,2.281875
1.0,2.10275,2.281375
1.0,2.10275,2.281625
1.0,2.103,2.282
1.0,2.1025,2.281875
1.0,2.102375,2.281875
1.0,2.10225,2.282125
1.0,2.102625,2.28225
1.0,2.10325,2.282625
1.0,2.10325,2.283125
1.0,2.1035,2.283125
1.0,2.1035,2.283125
1.0,2.103875,2.2825
1.0,2.104,2.28175
1.0,2.10425,2.2815
1.0,2.103875,2.282
1.0,2.104,2.282125
1.0,2.103375,2.281625
1.0,2.10275,2.28125
1.0,2.102625,2.2815
1.0,2.10275,2.282125
1.0,2.10275,2.282
1.0,2.102375,2.282
1.0,2.102875,2.28225
1.0,2.10375,2.282375
1.0,2.103875,2.28275
1.0,2.103875,2.28275
1.0,2.103625,2.283
1.0,2.1035,2.282875
1.0,2.103375,2.282375
1.0,2.103875,2.28175
1.0,2.104125,2.281875
1.0,2.104125,2.28225
1.0,2.10375,2.282
1.0,2.103125,2.281625
1.0,2.102625,2.281375
1.0,2.102625,2.281625
1.0,2.1025,2.282125
2.0,2.108125,2.256375
2.0,2.108375,2.25575
2.0,2.109,2.255625
2.0,2.109125,2.255875
2.0,2.108625,2.255625
2.0,2.108125,2.25525
2.0,2.1075,2.255125
2.0,2.1075,2.255625
2.0,2.1075,2.255625
2.0,2.107625,2.25575
2.0,2.107125,2.25575
2.0,2.107,2.256
2.0,2.107375,2.256125
2.0,2.107625,2.256125
2.0,2.10775,2.256875
2.0,2.108,2.257125
2.0,2.10825,2.25675
2.0,2.108375,2.256
2.0,2.108875,2.25575
2.0,2.109125,2.256
2.0,2.108875,2.256
2.0,2.10825,2.255625
2.0,2.107375,2.25525
2.0,2.107375,2.25525
2.0,2.107125,2.255375
2.0,2.107625,2.256
2.0,2.10725,2.256125
2.0,2.106875,2.255875
2.0,2.10675,2.256125
2.0,2.107375,2.25625
2.0,2.107875,2.256375
2.0,2.108125,2.256875
2.0,2.1085,2.257
2.0,2.108375,2.2565
2.0,2.108,2.25575
2.0,2.1085,2.255375
2.0,2.108875,2.25575
2.0,2.108625,2.256
2.0,2.108625,2.256
2.0,2.108125,2.25575
2.0,2.1075,2.255125
2.0,2.107,2.255375
2.0,2.107375,2.255875
2.0,2.107125,2.25575
2.0,2.107125,2.256
2.0,2.107375,2.256
2.0,2.107875,2.256125
2.0,2.10825,2.2565
2.0,2.10775,2.25675
2.0,2.10825,2.25675
3.0,2.11,2.22725
3.0,2.109875,2.227375
3.0,2.109875,2.227875
3.0,2.110125,2.22775
3.0,2.109625,2.228
3.0,2.1095,2.228125
3.0,2.11,2.22825
3.0,2.11025,2.228625
3.0,2.11025,2.228625
3.0,2.11,2.229
3.0,2.110375,2.228875
3.0,2.110625,2.228625
3.0,2.110625,2.227875
3.0,2.111125,2.227625
3.0,2.1115,2.228
3.0,2.11125,2.228125
3.0,2.1105,2.227625
3.0,2.109625,2.227375
3.0,2.109875,2.22775
3.0,2.11025,2.228
3.0,2.110125,2.228
3.0,2.1095,2.228
3.0,2.1095,2.228125
3.0,2.109625,2.228125
3.0,2.110125,2.228375
3.0,2.11025,2.22875
3.0,2.110125,2.22925
3.0,2.1105,2.229
3.0,2.11075,2.228375
3.0,2.110875,2.227875
3.0,2.1115,2.227875
3.0,2.111625,2.22825
3.0,2.111375,2.228125
3.0,2.110625,2.2275
3.0,2.11,2.22725
3.0,2.11025,2.227625
3.0,2.109875,2.228125
3.0,2.1095,2.228
3.0,2.1095,2.228
3.0,2.109875,2.22825
3.0,2.110375,2.228375
3.0,2.11075,2.2285
3.0,2.110375,2.229
3.0,2.110375,2.229125
3.0,2.110125,2.228875
3.0,2.110375,2.228375
3.0,2.111375,2.22775
3.0,2.111875,2.227875
3.0,2.111625,2.228125
3.0,2.1105,2.227875
4.0,2.111125,2.19875
4.0,2.11125,2.19925
4.0,2.11125,2.199375
4.0,2.110625,2.199375
4.0,2.11075,2.1995
4.0,2.11175,2.199625
4.0,2.112625,2.199875
4.0,2.1125,2.200375
4.0,2.1125,2.200375
4.0,2.1125,2.200125
