#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-22 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
720.002   2.115375  2.317875  2023-12-22T13:14:36.937500
720.002   2.116125  2.318125  2023-12-22T13:14:36.937500
720.002   2.1165    2.3185    2023-12-22T13:14:36.937500
720.002   2.116625  2.319     2023-12-22T13:14:36.937500
720.002   2.1165    2.318875  2023-12-22T13:14:36.937500
720.002   2.1165    2.318375  2023-12-22T13:14:36.937500
720.002   2.116375  2.317625  2023-12-22T13:14:36.937500
720.002   2.117     2.317625  2023-12-22T13:14:36.937500
720.002   2.117     2.317625  2023-12-22T13:14:36.937500
720.002   2.117125  2.318     2023-12-22T13:14:36.937500
720.002   2.116625  2.318     2023-12-22T13:14:36.937500
720.002   2.116375  2.317625  2023-12-22T13:14:36.937500
720.002   2.11575   2.317625  2023-12-22T13:14:36.937500
720.002   2.11525   2.318     2023-12-22T13:14:36.937500
720.002   2.115375  2.31825   2023-12-22T13:14:36.937500
720.002   2.11525   2.318125  2023-12-22T13:14:36.937500
720.002   2.11475   2.318375  2023-12-22T13:14:36.937500
720.002   2.11525   2.318375  2023-12-22T13:14:36.937500
720.002   2.1165    2.318625  2023-12-22T13:14:36.937500
720.002   2.116125  2.319375  2023-12-22T13:14:36.937500
720.002   2.115875  2.3195    2023-12-22T13:14:36.937500
720.002   2.116375  2.319375  2023-12-22T13:14:36.937500
720.002   2.1165    2.318625  2023-12-22T13:14:36.937500
720.002   2.1165    2.318625  2023-12-22T13:14:36.937500
720.002   2.116625  2.318125  2023-12-22T13:14:36.937500
720.002   2.117     2.318125  2023-12-22T13:14:36.937500
720.002   2.117125  2.3185    2023-12-22T13:14:36.937500
720.002   2.116625  2.318375  2023-12-22T13:14:36.937500
720.002   2.115625  2.318     2023-12-22T13:14:36.937500
720.002   2.1155    2.318     2023-12-22T13:14:36.937500
720.002   2.115625  2.3185    2023-12-22T13:14:36.937500
720.002   2.11575   2.31875   2023-12-22T13:14:36.937500
720.002   2.115625  2.318625  2023-12-22T13:14:36.937500
720.002   2.115     2.319     2023-12-22T13:14:36.937500
720.002   2.115625  2.318875  2023-12-22T13:14:36.937500
720.002   2.116375  2.319     2023-12-22T13:14:36.937500
720.002   2.11625   2.3195    2023-12-22T13:14:36.937500
720.002   2.11625   2.3195    2023-12-22T13:14:36.937500
720.002   2.11625   2.319375  2023-12-22T13:14:36.937500
720.002   2.11625   2.319125  2023-12-22T13:14:36.937500
720.002   2.116375  2.3185    2023-12-22T13:14:36.937500
720.002   2.116625  2.318     2023-12-22T13:14:36.937500
720.002   2.117     2.318375  2023-12-22T13:14:36.937500
720.002   2.116625  2.3185    2023-12-22T13:14:36.937500
720.002   2.11575   2.31825   2023-12-22T13:14:36.937500
720.002   2.115     2.317875  2023-12-22T13:14:36.937500
720.002   2.114875  2.31775   2023-12-22T13:14:36.937500
720.002   2.11525   2.318375  2023-12-22T13:14:36.937500
720.002   2.115     2.318375  2023-12-22T13:14:36.937500
720.002   2.114375  2.3185    2023-12-22T13:14:36.937500
721.002   2.122875  2.293375  2023-12-22T13:14:38.812500
721.002   2.1225    2.293125  2023-12-22T13:14:38.812500
721.002   2.12175   2.292375  2023-12-22T13:14:38.812500
721.002   2.121625  2.292625  2023-12-22T13:14:38.812500
