ANGLE,CH0,CH1
2723.0,1.75475,2.11575
2723.0,1.754875,2.115
2723.0,1.755,2.11475
2723.0,1.75525,2.115
2723.0,1.75525,2.115125
2723.0,1.754625,2.11475
2723.0,1.754,2.114375
2723.0,1.75375,2.114625
2723.0,1.75375,2.114625
2723.0,1.75375,2.11525
2723.0,1.754,2.115125
2723.0,1.75375,2.115
2723.0,1.75375,2.11525
2723.0,1.753875,2.115125
2723.0,1.754125,2.1155
2723.0,1.7545,2.116125
2723.0,1.754625,2.116125
2723.0,1.75425,2.115625
2723.0,1.754375,2.115
2723.0,1.755375,2.114875
2723.0,1.7555,2.115
2723.0,1.75475,2.115125
2723.0,1.754375,2.11475
2723.0,1.754375,2.11475
2723.0,1.75375,2.114375
2723.0,1.7535,2.114625
2723.0,1.753625,2.115
2723.0,1.753375,2.115125
2723.0,1.753125,2.11525
2723.0,1.75375,2.11525
2723.0,1.75475,2.115375
2723.0,1.754625,2.11575
2723.0,1.75425,2.116125
2723.0,1.7545,2.11575
2723.0,1.7545,2.1155
2723.0,1.754875,2.114875
2723.0,1.755375,2.114875
2723.0,1.755125,2.115
2723.0,1.755125,2.115
2723.0,1.754875,2.115
2723.0,1.75425,2.1145
2723.0,1.753625,2.114375
2723.0,1.754,2.114625
2723.0,1.754,2.11475
2723.0,1.75375,2.11475
2723.0,1.75325,2.114875
2723.0,1.753375,2.115
2723.0,1.754125,2.115125
2723.0,1.7545,2.11575
2723.0,1.754375,2.116
2724.0,1.72575,2.08275
2724.0,1.725375,2.08275
2724.0,1.72525,2.082875
2724.0,1.726,2.083
2724.0,1.72625,2.08325
2724.0,1.726125,2.08375
2724.0,1.7265,2.08375
2724.0,1.727,2.083375
2724.0,1.727,2.083375
2724.0,1.727125,2.082875
2724.0,1.727375,2.0825
2724.0,1.727625,2.08275
2724.0,1.727625,2.083
2724.0,1.727125,2.08275
2724.0,1.726,2.08225
2724.0,1.725875,2.08225
2724.0,1.725875,2.082625
2724.0,1.725875,2.08275
2724.0,1.72525,2.082625
2724.0,1.72525,2.083
2724.0,1.726,2.083125
2724.0,1.72625,2.08325
2724.0,1.72625,2.083875
2724.0,1.72625,2.083875
2724.0,1.72675,2.08375
2724.0,1.726875,2.083375
2724.0,1.727125,2.082625
2724.0,1.727625,2.082375
2724.0,1.72775,2.08275
2724.0,1.727,2.083
2724.0,1.726375,2.0825
2724.0,1.7255,2.082125
2724.0,1.7255,2.082375
2724.0,1.726125,2.082875
2724.0,1.72625,2.08275
2724.0,1.725875,2.08275
2724.0,1.725625,2.083
2724.0,1.726,2.083
2724.0,1.726,2.083
2724.0,1.726625,2.083375
2724.0,1.72675,2.083875
2724.0,1.7265,2.0835
2724.0,1.726375,2.083125
2724.0,1.7265,2.0825
2724.0,1.727,2.08275
2724.0,1.727125,2.082875
2724.0,1.7265,2.082875
2724.0,1.72575,2.082375
2724.0,1.726,2.082125
2724.0,1.726,2.082625
2725.0,1.697875,2.049125
2725.0,1.697375,2.04925
2725.0,1.697,2.049
2725.0,1.696875,2.048625
2725.0,1.696875,2.049
2725.0,1.696625,2.049375
2725.0,1.696375,2.04925
2725.0,1.696125,2.04925
2725.0,1.696125,2.04925
2725.0,1.696,2.0495
2725.0,1.696875,2.049375
2725.0,1.69725,2.049875
2725.0,1.69675,2.05025
2725.0,1.696875,2.05025
2725.0,1.697,2.0495
2725.0,1.69725,2.048875
2725.0,1.697375,2.049
2725.0,1.6975,2.049375
2725.0,1.697625,2.049125
2725.0,1.696875,2.04875
2725.0,1.6965,2.048625
2725.0,1.69675,2.048875
2725.0,1.696375,2.049125
2725.0,1.696375,2.049125
2725.0,1.696375,2.049125
2725.0,1.69625,2.04925
2725.0,1.69625,2.0495
2725.0,1.696875,2.0495
2725.0,1.697,2.050125
2725.0,1.697125,2.05025
2725.0,1.697125,2.04975
2725.0,1.696875,2.04925
2725.0,1.697125,2.048875
2725.0,1.698,2.04925
2725.0,1.6975,2.049375
2725.0,1.69725,2.049125
2725.0,1.696875,2.04875
2725.0,1.69675,2.048875
2725.0,1.69675,2.048875
2725.0,1.696625,2.04925
2725.0,1.696125,2.04925
2725.0,1.69575,2.049125
2725.0,1.695875,2.0495
2725.0,1.696375,2.0495
2725.0,1.697125,2.04975
2725.0,1.69725,2.050125
2725.0,1.697375,2.050125
2725.0,1.6975,2.04975
2725.0,1.69725,2.04925
