ANGLE	CH0	CH1	DATETIME
2363.001	1.74475	1.730625	2023-12-28T16:20:57.592875
2363.001	1.745	1.731	2023-12-28T16:20:57.592875
2363.001	1.745	1.73125	2023-12-28T16:20:57.592875
2363.001	1.745	1.731125	2023-12-28T16:20:57.592875
2363.001	1.745125	1.730875	2023-12-28T16:20:57.592875
2363.001	1.745125	1.7305	2023-12-28T16:20:57.592875
2363.001	1.745875	1.730375	2023-12-28T16:20:57.592875
2363.001	1.746125	1.7305	2023-12-28T16:20:57.592875
2363.001	1.746125	1.7305	2023-12-28T16:20:57.592875
2363.001	1.745875	1.730625	2023-12-28T16:20:57.592875
2363.001	1.74525	1.73025	2023-12-28T16:20:57.592875
2363.001	1.744375	1.72975	2023-12-28T16:20:57.592875
2363.001	1.744375	1.730125	2023-12-28T16:20:57.592875
2363.001	1.744125	1.730375	2023-12-28T16:20:57.592875
2363.001	1.74375	1.7305	2023-12-28T16:20:57.592875
2363.001	1.74325	1.7305	2023-12-28T16:20:57.592875
2363.001	1.74375	1.73075	2023-12-28T16:20:57.592875
2363.001	1.745	1.730625	2023-12-28T16:20:57.592875
2363.001	1.745	1.731	2023-12-28T16:20:57.592875
2363.001	1.74475	1.731375	2023-12-28T16:20:57.592875
2363.001	1.745	1.73125	2023-12-28T16:20:57.592875
2363.001	1.745125	1.730875	2023-12-28T16:20:57.592875
2363.001	1.745375	1.73025	2023-12-28T16:20:57.592875
2363.001	1.745375	1.73025	2023-12-28T16:20:57.592875
2363.001	1.74575	1.73025	2023-12-28T16:20:57.592875
2363.001	1.7455	1.730625	2023-12-28T16:20:57.592875
2363.001	1.745	1.730625	2023-12-28T16:20:57.592875
2363.001	1.744375	1.73025	2023-12-28T16:20:57.592875
2363.001	1.744625	1.730125	2023-12-28T16:20:57.592875
2363.001	1.74475	1.73025	2023-12-28T16:20:57.592875
2363.001	1.7445	1.730625	2023-12-28T16:20:57.592875
2363.001	1.744	1.730625	2023-12-28T16:20:57.592875
2363.001	1.744	1.730625	2023-12-28T16:20:57.592875
2363.001	1.744125	1.73075	2023-12-28T16:20:57.592875
2363.001	1.74475	1.73075	2023-12-28T16:20:57.592875
2363.001	1.745	1.731	2023-12-28T16:20:57.592875
2363.001	1.745125	1.7315	2023-12-28T16:20:57.592875
2363.001	1.74525	1.731125	2023-12-28T16:20:57.592875
2363.001	1.74525	1.731125	2023-12-28T16:20:57.592875
2363.001	1.745	1.73075	2023-12-28T16:20:57.592875
2363.001	1.745375	1.730375	2023-12-28T16:20:57.592875
2363.001	1.746125	1.7305	2023-12-28T16:20:57.592875
2363.001	1.745875	1.730625	2023-12-28T16:20:57.592875
2363.001	1.745	1.730375	2023-12-28T16:20:57.592875
2363.001	1.74425	1.73	2023-12-28T16:20:57.592875
2363.001	1.7445	1.73	2023-12-28T16:20:57.592875
2363.001	1.744625	1.7305	2023-12-28T16:20:57.592875
2363.001	1.74425	1.730625	2023-12-28T16:20:57.592875
2363.001	1.744125	1.730625	2023-12-28T16:20:57.592875
2363.001	1.744	1.730875	2023-12-28T16:20:57.592875
