ANGLE,CH0,CH1
3083.0,1.7615,2.3565
3083.0,1.7615,2.356875
3083.0,1.76175,2.35725
3083.0,1.76125,2.357125
3083.0,1.761125,2.357375
3083.0,1.761,2.3575
3083.0,1.761625,2.3575
3083.0,1.76175,2.358
3083.0,1.76175,2.358
3083.0,1.761875,2.3585
3083.0,1.762375,2.358375
3083.0,1.7625,2.357875
3083.0,1.762375,2.357125
3083.0,1.762625,2.356875
3083.0,1.762875,2.357375
3083.0,1.76275,2.3575
3083.0,1.762,2.357
3083.0,1.761375,2.3565
3083.0,1.761625,2.356875
3083.0,1.761625,2.35725
3083.0,1.7615,2.357
3083.0,1.76125,2.357
3083.0,1.7615,2.3575
3083.0,1.7615,2.3575
3083.0,1.761875,2.3575
3083.0,1.762125,2.358
3083.0,1.762375,2.358375
3083.0,1.7625,2.358125
3083.0,1.76225,2.3575
3083.0,1.762125,2.357
3083.0,1.76275,2.357
3083.0,1.763,2.35725
3083.0,1.76275,2.35725
3083.0,1.76175,2.356875
3083.0,1.7615,2.356625
3083.0,1.7615,2.356875
3083.0,1.7615,2.357125
3083.0,1.761,2.357125
3083.0,1.761,2.357125
3083.0,1.761,2.357375
3083.0,1.761625,2.357625
3083.0,1.762125,2.35775
3083.0,1.762125,2.358125
3083.0,1.762,2.358375
3083.0,1.762,2.357875
3083.0,1.762,2.35725
3083.0,1.762375,2.356875
3083.0,1.76325,2.357125
3083.0,1.76275,2.35725
3083.0,1.76225,2.357125
3084.0,1.732625,2.335375
3084.0,1.732375,2.335625
3084.0,1.732875,2.33575
3084.0,1.73325,2.33575
3084.0,1.733625,2.336375
3084.0,1.733625,2.336625
3084.0,1.7335,2.336125
3084.0,1.73375,2.3355
3084.0,1.73375,2.3355
3084.0,1.734375,2.335125
3084.0,1.7345,2.3355
3084.0,1.734375,2.3355
3084.0,1.733625,2.33525
3084.0,1.732875,2.334625
3084.0,1.732625,2.334875
3084.0,1.732625,2.335375
3084.0,1.732625,2.3355
3084.0,1.732625,2.335375
3084.0,1.73275,2.335625
3084.0,1.733375,2.33575
3084.0,1.733625,2.336125
3084.0,1.73375,2.336625
3084.0,1.73375,2.3365
3084.0,1.73375,2.3365
3084.0,1.734,2.336125
3084.0,1.734125,2.335375
3084.0,1.734375,2.335125
3084.0,1.7345,2.335375
3084.0,1.734125,2.3355
3084.0,1.73325,2.33525
3084.0,1.732875,2.33475
3084.0,1.733,2.335125
3084.0,1.732875,2.3355
3084.0,1.732375,2.3355
3084.0,1.73225,2.335625
3084.0,1.732625,2.335875
3084.0,1.733625,2.335875
3084.0,1.734,2.336125
3084.0,1.734,2.336125
3084.0,1.73375,2.336625
3084.0,1.733625,2.336375
3084.0,1.7335,2.33575
3084.0,1.733875,2.33525
3084.0,1.7345,2.335375
3084.0,1.734875,2.335625
3084.0,1.73425,2.335625
3084.0,1.733375,2.335
3084.0,1.732875,2.334625
3084.0,1.733125,2.335
3084.0,1.733125,2.335625
3085.0,1.70525,2.312375
3085.0,1.705,2.3125
3085.0,1.704375,2.312
3085.0,1.704,2.3115
3085.0,1.703875,2.311875
3085.0,1.7035,2.312375
3085.0,1.7035,2.31225
3085.0,1.70325,2.312375
3085.0,1.70325,2.312375
3085.0,1.703625,2.3125
3085.0,1.7045,2.3125
3085.0,1.704625,2.313125
3085.0,1.704375,2.3135
3085.0,1.704625,2.31325
3085.0,1.7045,2.312625
3085.0,1.70475,2.312
3085.0,1.705125,2.312125
3085.0,1.705,2.312375
3085.0,1.704375,2.312125
3085.0,1.703875,2.311625
3085.0,1.7035,2.3115
3085.0,1.704,2.312125
3085.0,1.703875,2.312375
3085.0,1.703875,2.312375
3085.0,1.703375,2.312375
3085.0,1.70325,2.3125
3085.0,1.703875,2.3125
3085.0,1.70425,2.312875
3085.0,1.704375,2.313375
3085.0,1.70425,2.3135
3085.0,1.7045,2.313
3085.0,1.704625,2.312375
3085.0,1.705,2.312
3085.0,1.705125,2.31225
3085.0,1.704625,2.3125
3085.0,1.704375,2.312
3085.0,1.704,2.311375
3085.0,1.704125,2.311625
3085.0,1.704125,2.311625
3085.0,1.704125,2.312125
3085.0,1.703875,2.31225
3085.0,1.70325,2.312125
3085.0,1.703125,2.312375
3085.0,1.704,2.3125
3085.0,1.7045,2.312875
