ANGLE	CH0	CH1	DATETIME
3083.0	1.7615	2.3565	2023-12-28T16:46:24.905375
3083.0	1.7615	2.356875	2023-12-28T16:46:24.905375
3083.0	1.76175	2.35725	2023-12-28T16:46:24.905375
3083.0	1.76125	2.357125	2023-12-28T16:46:24.905375
3083.0	1.761125	2.357375	2023-12-28T16:46:24.905375
3083.0	1.761	2.3575	2023-12-28T16:46:24.905375
3083.0	1.761625	2.3575	2023-12-28T16:46:24.905375
3083.0	1.76175	2.358	2023-12-28T16:46:24.905375
3083.0	1.76175	2.358	2023-12-28T16:46:24.905375
3083.0	1.761875	2.3585	2023-12-28T16:46:24.905375
3083.0	1.762375	2.358375	2023-12-28T16:46:24.905375
3083.0	1.7625	2.357875	2023-12-28T16:46:24.905375
3083.0	1.762375	2.357125	2023-12-28T16:46:24.905375
3083.0	1.762625	2.356875	2023-12-28T16:46:24.905375
3083.0	1.762875	2.357375	2023-12-28T16:46:24.905375
3083.0	1.76275	2.3575	2023-12-28T16:46:24.905375
3083.0	1.762	2.357	2023-12-28T16:46:24.905375
3083.0	1.761375	2.3565	2023-12-28T16:46:24.905375
3083.0	1.761625	2.356875	2023-12-28T16:46:24.905375
3083.0	1.761625	2.35725	2023-12-28T16:46:24.905375
3083.0	1.7615	2.357	2023-12-28T16:46:24.905375
3083.0	1.76125	2.357	2023-12-28T16:46:24.905375
3083.0	1.7615	2.3575	2023-12-28T16:46:24.905375
3083.0	1.7615	2.3575	2023-12-28T16:46:24.905375
3083.0	1.761875	2.3575	2023-12-28T16:46:24.905375
3083.0	1.762125	2.358	2023-12-28T16:46:24.905375
3083.0	1.762375	2.358375	2023-12-28T16:46:24.905375
3083.0	1.7625	2.358125	2023-12-28T16:46:24.905375
3083.0	1.76225	2.3575	2023-12-28T16:46:24.905375
3083.0	1.762125	2.357	2023-12-28T16:46:24.905375
3083.0	1.76275	2.357	2023-12-28T16:46:24.905375
3083.0	1.763	2.35725	2023-12-28T16:46:24.905375
