ANGLE,CH0,CH1
570.0,0.0,1.004125
570.0,1.04175,1.00425
570.0,1.04175,1.00425
570.0,1.04175,1.003875
570.0,1.041625,1.003625
570.0,1.042,1.00375
570.0,1.041875,1.00375
570.0,1.04175,1.003625
570.0,1.041375,1.003625
570.0,1.0415,1.003375
570.0,1.041375,1.003375
570.0,1.040875,1.003625
570.0,1.040625,1.00375
570.0,1.0405,1.00375
570.0,1.041,1.003875
570.0,1.041,1.00375
570.0,1.041875,1.004125
570.0,1.041625,1.00425
570.0,1.041375,1.00425
570.0,1.041875,1.003875
570.0,1.04175,1.00375
570.0,1.04175,1.003375
570.0,1.04225,1.0035
570.0,1.042,1.0035
570.0,1.0415,1.0035
570.0,1.041125,1.0035
570.0,1.041125,1.003375
570.0,1.041125,1.003625
570.0,1.041,1.003625
570.0,1.040625,1.00375
570.0,1.040625,1.00375
570.0,1.040625,1.003625
570.0,1.041125,1.003625
570.0,1.041625,1.004125
570.0,1.041625,1.004375
570.0,1.04125,1.00425
570.0,1.041375,1.004
570.0,1.04175,1.00375
570.0,1.04225,1.00375
570.0,1.04225,1.00375
570.0,1.04175,1.00375
570.0,1.041375,1.00375
570.0,1.041,1.0035
570.0,1.041,1.003375
570.0,1.041125,1.003625
570.0,1.041125,1.00375
570.0,1.041125,1.00375
570.0,1.040875,1.00375
570.0,1.041,1.003875
570.0,1.0415,1.003875
571.0,1.00425,0.96075
571.0,1.003875,0.960625
571.0,1.00375,0.960875
571.0,1.00375,0.961
571.0,1.003875,0.960875
571.0,1.003625,0.961125
571.0,1.004,0.961125
571.0,1.00475,0.961125
571.0,1.00475,0.961125
571.0,1.004625,0.961375
571.0,1.0045,0.961375
571.0,1.004875,0.9615
571.0,1.004625,0.96125
571.0,1.004625,0.961
571.0,1.00475,0.961
571.0,1.0045,0.961125
571.0,1.00425,0.96075
571.0,1.00425,0.960625
571.0,1.00425,0.960625
571.0,1.004125,0.960875
571.0,1.003625,0.961
571.0,1.003375,0.961
571.0,1.003625,0.961125
571.0,1.003625,0.961125
571.0,1.003875,0.96125
571.0,1.00425,0.96125
571.0,1.004375,0.961375
571.0,1.0045,0.9615
571.0,1.0045,0.961375
571.0,1.005,0.961
571.0,1.005,0.961
571.0,1.005125,0.961
571.0,1.004875,0.961
571.0,1.00425,0.960875
571.0,1.004125,0.960625
571.0,1.004,0.96075
571.0,1.00425,0.960875
571.0,1.003875,0.960875
571.0,1.003875,0.960875
571.0,1.003625,0.961
571.0,1.003625,0.96125
571.0,1.004,0.96125
571.0,1.004625,0.961375
571.0,1.004625,0.961625
571.0,1.005125,0.961625
571.0,1.004875,0.961375
571.0,1.0045,0.960875
571.0,1.004875,0.96075
571.0,1.005,0.961
571.0,1.005125,0.961
572.0,0.96675,0.918875
572.0,0.96675,0.91875
572.0,0.96675,0.918375
572.0,0.967,0.918
572.0,0.96775,0.91825
572.0,0.9675,0.918125
572.0,0.966875,0.918
572.0,0.966625,0.91775
572.0,0.966625,0.91775
572.0,0.96625,0.91775
572.0,0.966375,0.917875
572.0,0.96625,0.918
572.0,0.966375,0.91825
572.0,0.966375,0.91825
572.0,0.966625,0.91825
572.0,0.96675,0.918375
572.0,0.966625,0.918625
572.0,0.967125,0.918625
572.0,0.967125,0.918375
572.0,0.96675,0.91825
572.0,0.967,0.918125
572.0,0.967125,0.918
572.0,0.967125,0.918125
572.0,0.967125,0.918125
572.0,0.966375,0.917875
572.0,0.966,0.91775
572.0,0.966125,0.918
572.0,0.966375,0.91825
572.0,0.965875,0.91825
572.0,0.9655,0.918125
572.0,0.96625,0.91825
572.0,0.966875,0.918375
572.0,0.967,0.9185
572.0,0.966625,0.918875
572.0,0.966625,0.918625
572.0,0.9665,0.9185
572.0,0.9665,0.918125
572.0,0.967,0.918125
572.0,0.967,0.918125
572.0,0.9675,0.91825
572.0,0.967,0.91825
572.0,0.9665,0.917875
572.0,0.966375,0.91775
572.0,0.966125,0.918125
572.0,0.96625,0.918125
572.0,0.966375,0.918125
572.0,0.966125,0.918125
572.0,0.966375,0.918375
572.0,0.96675,0.918375
572.0,0.966625,0.918625
573.0,0.9295,0.876125
573.0,0.9295,0.875875
573.0,0.929875,0.875625
573.0,0.93,0.87575
573.0,0.9295,0.87575
573.0,0.9295,0.8755
573.0,0.929125,0.87525
573.0,0.92925,0.875125
573.0,0.92925,0.875125
573.0,0.929,0.875375
573.0,0.928875,0.875625
573.0,0.928875,0.875625
573.0,0.928875,0.87575
573.0,0.929375,0.8755
573.0,0.929625,0.8755
573.0,0.92975,0.876
573.0,0.929375,0.876125
573.0,0.929375,0.876
573.0,0.92975,0.875625
573.0,0.92975,0.8755
573.0,0.92975,0.875625
573.0,0.929875,0.8755
573.0,0.929875,0.8755
573.0,0.929875,0.875375
573.0,0.929125,0.875125
573.0,0.92875,0.875375
573.0,0.92875,0.875625
573.0,0.9285,0.87575
573.0,0.92875,0.8755
573.0,0.928625,0.8755
573.0,0.92925,0.8755
573.0,0.929625,0.87575
573.0,0.92975,0.876125
573.0,0.929375,0.876125
573.0,0.92925,0.876
573.0,0.929375,0.875625
573.0,0.92975,0.875625
573.0,0.92975,0.875625
573.0,0.92975,0.875625
573.0,0.9295,0.875625
573.0,0.929625,0.87525
573.0,0.929375,0.87525
573.0,0.929375,0.875375
573.0,0.929125,0.8755
573.0,0.929,0.8755
573.0,0.928625,0.8755
573.0,0.928375,0.875625
573.0,0.928875,0.875625
573.0,0.92975,0.87575
573.0,0.93,0.876
574.0,0.8915,0.833375
574.0,0.891375,0.8335
574.0,0.891125,0.8335
574.0,0.89125,0.833625
574.0,0.891875,0.8335
574.0,0.892125,0.833625
574.0,0.892125,0.833875
574.0,0.89225,0.833875
574.0,0.89225,0.833875
574.0,0.892125,0.833625
574.0,0.891875,0.8335
574.0,0.89225,0.833375
574.0,0.89225,0.833375
574.0,0.89275,0.8335
574.0,0.892375,0.83325
574.0,0.891875,0.833125
574.0,0.89175,0.83325
574.0,0.89175,0.833625
574.0,0.891875,0.833375
574.0,0.891625,0.833375
574.0,0.89175,0.8335
574.0,0.891875,0.8335
574.0,0.892125,0.8335
574.0,0.892125,0.8335
574.0,0.89225,0.833875
574.0,0.892375,0.833875
574.0,0.8925,0.83375
574.0,0.89225,0.833375
574.0,0.892875,0.833375
574.0,0.893,0.8335
574.0,0.892625,0.8335
574.0,0.892125,0.833
574.0,0.891625,0.833125
574.0,0.89175,0.8335
574.0,0.891375,0.8335
574.0,0.891125,0.8335
574.0,0.891625,0.833625
574.0,0.892125,0.8335
574.0,0.892125,0.8335
574.0,0.89225,0.8335
574.0,0.892125,0.834
574.0,0.892125,0.833875
574.0,0.892375,0.833875
574.0,0.89225,0.833625
574.0,0.892625,0.8335
574.0,0.892875,0.833625
574.0,0.8925,0.8335
574.0,0.89225,0.833375
574.0,0.89175,0.833
574.0,0.8915,0.833125
575.0,0.855875,0.79275
575.0,0.856125,0.7925
575.0,0.85625,0.7925
575.0,0.856,0.7925
575.0,0.856125,0.7925
575.0,0.85575,0.792375
575.0,0.8555,0.792125
575.0,0.8555,0.7925
575.0,0.8555,0.7925
575.0,0.855375,0.792625
575.0,0.855125,0.792625
575.0,0.85525,0.79275
575.0,0.855375,0.792625
575.0,0.85575,0.79275
575.0,0.85575,0.792875
575.0,0.855875,0.793
575.0,0.856125,0.792875
575.0,0.856125,0.792625
575.0,0.856375,0.7925
575.0,0.8565,0.7925
575.0,0.856,0.7925
575.0,0.855875,0.79225
575.0,0.8555,0.792
575.0,0.8555,0.792
575.0,0.855625,0.7925
575.0,0.855625,0.792625
575.0,0.85525,0.792375
575.0,0.855125,0.7925
575.0,0.855375,0.7925
575.0,0.85575,0.7925
575.0,0.856,0.792875
575.0,0.856,0.793
575.0,0.856125,0.793
575.0,0.856,0.79275
575.0,0.856125,0.7925
575.0,0.856375,0.79225
575.0,0.85625,0.792625
575.0,0.856,0.792625
575.0,0.856,0.792625
575.0,0.856,0.79225
575.0,0.855375,0.792125
575.0,0.855625,0.79225
575.0,0.85525,0.7925
575.0,0.855,0.792375
575.0,0.855,0.7925
575.0,0.8555,0.792625
575.0,0.856,0.792625
575.0,0.856,0.792625
575.0,0.856125,0.793
575.0,0.856375,0.792875
576.0,0.820375,0.75225
576.0,0.82025,0.752125
576.0,0.81975,0.751875
576.0,0.819375,0.751875
576.0,0.819625,0.752125
576.0,0.8195,0.75225
576.0,0.81925,0.75225
576.0,0.81925,0.75225
576.0,0.81925,0.75225
576.0,0.8195,0.75225
