ANGLE,CH0,CH1
1080.0,2.137,2.398375
1080.0,2.1365,2.397875
1080.0,2.136375,2.39775
1080.0,2.136625,2.3985
1080.0,2.136375,2.398625
1080.0,2.135875,2.398625
1080.0,2.13575,2.398875
1080.0,2.1365,2.398875
1080.0,2.1365,2.398875
1080.0,2.13675,2.398875
1080.0,2.13675,2.3995
1080.0,2.13675,2.399625
1080.0,2.13725,2.399125
1080.0,2.137125,2.3985
1080.0,2.13775,2.397875
1080.0,2.137875,2.398125
1080.0,2.137625,2.39825
1080.0,2.137125,2.39825
1080.0,2.136375,2.397875
1080.0,2.13625,2.398125
1080.0,2.13625,2.3985
1080.0,2.13625,2.3985
1080.0,2.136,2.3985
1080.0,2.136,2.3985
1080.0,2.136125,2.398625
1080.0,2.137,2.39875
1080.0,2.137,2.399125
1080.0,2.136875,2.399625
1080.0,2.13725,2.399375
1080.0,2.137375,2.399
1080.0,2.137125,2.398375
1080.0,2.137375,2.398125
1080.0,2.137875,2.398625
1080.0,2.137625,2.398625
1080.0,2.1365,2.398
1080.0,2.136,2.39775
1080.0,2.136375,2.398375
1080.0,2.1365,2.39875
1080.0,2.1365,2.39875
1080.0,2.136,2.3985
1080.0,2.13525,2.398625
1080.0,2.1355,2.39875
1080.0,2.136625,2.398875
1080.0,2.1365,2.399375
1080.0,2.1365,2.39975
1080.0,2.136875,2.399375
1080.0,2.136875,2.39875
1080.0,2.1375,2.39825
1080.0,2.137875,2.398375
1080.0,2.138,2.39875
1081.0,2.137,2.396375
1081.0,2.13675,2.3965
1081.0,2.137,2.397125
1081.0,2.137125,2.396875
1081.0,2.13675,2.397
1081.0,2.136625,2.397375
1081.0,2.13725,2.3975
1081.0,2.137375,2.39775
1081.0,2.137375,2.39775
1081.0,2.137125,2.39825
1081.0,2.137625,2.39825
1081.0,2.13775,2.397625
1081.0,2.137875,2.396875
1081.0,2.138,2.39675
1081.0,2.138125,2.39725
1081.0,2.137875,2.39725
1081.0,2.1375,2.396875
1081.0,2.136625,2.396375
1081.0,2.137,2.3965
1081.0,2.13725,2.397125
1081.0,2.13625,2.397
1081.0,2.136125,2.397125
1081.0,2.1365,2.397375
1081.0,2.1365,2.397375
1081.0,2.1375,2.3975
1081.0,2.137625,2.397875
1081.0,2.137375,2.39825
1081.0,2.137375,2.398
1081.0,2.1375,2.397375
1081.0,2.137875,2.396875
1081.0,2.1385,2.396875
1081.0,2.138375,2.397375
1081.0,2.138125,2.39725
1081.0,2.137375,2.39675
1081.0,2.13675,2.3965
