#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-01-05 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
2160.0    2.148625  2.42075   2024-01-05T15:21:11.612274
2160.0    2.147875  2.42025   2024-01-05T15:21:11.612274
2160.0    2.147375  2.41975   2024-01-05T15:21:11.612274
2160.0    2.147375  2.42      2024-01-05T15:21:11.612274
2160.0    2.147     2.4205    2024-01-05T15:21:11.612274
2160.0    2.147     2.420625  2024-01-05T15:21:11.612274
2160.0    2.147     2.420625  2024-01-05T15:21:11.612274
2160.0    2.147375  2.42075   2024-01-05T15:21:11.612274
2160.0    2.147375  2.42075   2024-01-05T15:21:11.612274
2160.0    2.14775   2.420875  2024-01-05T15:21:11.612274
2160.0    2.147875  2.421375  2024-01-05T15:21:11.612274
2160.0    2.148     2.42175   2024-01-05T15:21:11.612274
2160.0    2.14825   2.4215    2024-01-05T15:21:11.612274
2160.0    2.14825   2.420875  2024-01-05T15:21:11.612274
2160.0    2.148125  2.42025   2024-01-05T15:21:11.612274
2160.0    2.148875  2.42025   2024-01-05T15:21:11.612274
2160.0    2.14925   2.4205    2024-01-05T15:21:11.612274
2160.0    2.1485    2.420375  2024-01-05T15:21:11.612274
2160.0    2.147625  2.419875  2024-01-05T15:21:11.612274
2160.0    2.147125  2.41975   2024-01-05T15:21:11.612274
2160.0    2.147625  2.420125  2024-01-05T15:21:11.612274
2160.0    2.14775   2.4205    2024-01-05T15:21:11.612274
2160.0    2.146875  2.420375  2024-01-05T15:21:11.612274
2160.0    2.146875  2.420375  2024-01-05T15:21:11.612274
2160.0    2.146625  2.4205    2024-01-05T15:21:11.612274
2160.0    2.14725   2.420875  2024-01-05T15:21:11.612274
2160.0    2.147875  2.42075   2024-01-05T15:21:11.612274
2160.0    2.147875  2.421375  2024-01-05T15:21:11.612274
2160.0    2.147875  2.42175   2024-01-05T15:21:11.612274
2160.0    2.147875  2.421375  2024-01-05T15:21:11.612274
2160.0    2.148125  2.420625  2024-01-05T15:21:11.612274
2160.0    2.148375  2.42025   2024-01-05T15:21:11.612274
2160.0    2.148625  2.420375  2024-01-05T15:21:11.612274
2160.0    2.14825   2.42075   2024-01-05T15:21:11.612274
2160.0    2.147875  2.420375  2024-01-05T15:21:11.612274
2160.0    2.14775   2.42      2024-01-05T15:21:11.612274
2160.0    2.147125  2.419875  2024-01-05T15:21:11.612274
2160.0    2.147125  2.4205    2024-01-05T15:21:11.612274
2160.0    2.147125  2.4205    2024-01-05T15:21:11.612274
2160.0    2.147375  2.420625  2024-01-05T15:21:11.612274
2160.0    2.147     2.4205    2024-01-05T15:21:11.612274
2160.0    2.146875  2.42075   2024-01-05T15:21:11.612274
2160.0    2.147625  2.421     2024-01-05T15:21:11.612274
2160.0    2.148     2.421125  2024-01-05T15:21:11.612274
2160.0    2.148125  2.4215    2024-01-05T15:21:11.612274
2160.0    2.14825   2.4215    2024-01-05T15:21:11.612274
2160.0    2.148125  2.42125   2024-01-05T15:21:11.612274
2160.0    2.148     2.4205    2024-01-05T15:21:11.612274
2160.0    2.149     2.420125  2024-01-05T15:21:11.612274
2160.0    2.14925   2.42025   2024-01-05T15:21:11.612274
2161.0    2.147125  2.41925   2024-01-05T15:21:13.659149
2161.0    2.14725   2.419375  2024-01-05T15:21:13.659149
2161.0    2.147875  2.4195    2024-01-05T15:21:13.659149
2161.0    2.14825   2.419625  2024-01-05T15:21:13.659149
2161.0    2.148375  2.420375  2024-01-05T15:21:13.659149
2161.0    2.14875   2.4205    2024-01-05T15:21:13.659149
2161.0    2.148375  2.42      2024-01-05T15:21:13.659149
2161.0    2.148625  2.419375  2024-01-05T15:21:13.659149
2161.0    2.148625  2.419375  2024-01-05T15:21:13.659149
2161.0    2.14925   2.419     2024-01-05T15:21:13.659149
2161.0    2.14925   2.41925   2024-01-05T15:21:13.659149
2161.0    2.14875   2.419625  2024-01-05T15:21:13.659149
2161.0    2.148625  2.419     2024-01-05T15:21:13.659149
2161.0    2.14775   2.4185    2024-01-05T15:21:13.659149
2161.0    2.1475    2.418875  2024-01-05T15:21:13.659149
2161.0    2.147875  2.41925   2024-01-05T15:21:13.659149
2161.0    2.148     2.419375  2024-01-05T15:21:13.659149
2161.0    2.14775   2.41925   2024-01-05T15:21:13.659149
2161.0    2.147625  2.419375  2024-01-05T15:21:13.659149
2161.0    2.148     2.419625  2024-01-05T15:21:13.659149
2161.0    2.14825   2.420125  2024-01-05T15:21:13.659149
2161.0    2.14825   2.4205    2024-01-05T15:21:13.659149
2161.0    2.148625  2.420375  2024-01-05T15:21:13.659149
2161.0    2.148625  2.420375  2024-01-05T15:21:13.659149
2161.0    2.149     2.41975   2024-01-05T15:21:13.659149
2161.0    2.148875  2.41925   2024-01-05T15:21:13.659149
2161.0    2.14925   2.419125  2024-01-05T15:21:13.659149
2161.0    2.149     2.419375  2024-01-05T15:21:13.659149
2161.0    2.148625  2.419375  2024-01-05T15:21:13.659149
2161.0    2.14825   2.419     2024-01-05T15:21:13.659149
2161.0    2.147875  2.418625  2024-01-05T15:21:13.659149
2161.0    2.14775   2.419     2024-01-05T15:21:13.659149
2161.0    2.148125  2.419375  2024-01-05T15:21:13.659149
2161.0    2.14775   2.41925   2024-01-05T15:21:13.659149
2161.0    2.146875  2.41925   2024-01-05T15:21:13.659149
2161.0    2.147125  2.4195    2024-01-05T15:21:13.659149
2161.0    2.14825   2.419625  2024-01-05T15:21:13.659149
2161.0    2.148375  2.420125  2024-01-05T15:21:13.659149
2161.0    2.148375  2.420125  2024-01-05T15:21:13.659149
2161.0    2.1485    2.4205    2024-01-05T15:21:13.659149
2161.0    2.1485    2.42025   2024-01-05T15:21:13.659149
2161.0    2.148375  2.4195    2024-01-05T15:21:13.659149
2161.0    2.148625  2.419     2024-01-05T15:21:13.659149
2161.0    2.149     2.419125  2024-01-05T15:21:13.659149
2161.0    2.149     2.4195    2024-01-05T15:21:13.659149
2161.0    2.14875   2.41925   2024-01-05T15:21:13.659149
2161.0    2.14825   2.41875   2024-01-05T15:21:13.659149
2161.0    2.147625  2.418625  2024-01-05T15:21:13.659149
2161.0    2.14775   2.419125  2024-01-05T15:21:13.659149
2161.0    2.148     2.419375  2024-01-05T15:21:13.659149
2162.0    2.146875  2.417875  2024-01-05T15:21:15.721649
2162.0    2.146875  2.418     2024-01-05T15:21:15.721649
2162.0    2.147125  2.417625  2024-01-05T15:21:15.721649
2162.0    2.147125  2.417     2024-01-05T15:21:15.721649
2162.0    2.14725   2.4165    2024-01-05T15:21:15.721649
2162.0    2.14775   2.41675   2024-01-05T15:21:15.721649
2162.0    2.147625  2.417     2024-01-05T15:21:15.721649
2162.0    2.14725   2.416875  2024-01-05T15:21:15.721649
2162.0    2.14725   2.416875  2024-01-05T15:21:15.721649
2162.0    2.146375  2.416375  2024-01-05T15:21:15.721649
2162.0    2.146125  2.416125  2024-01-05T15:21:15.721649
2162.0    2.146375  2.41675   2024-01-05T15:21:15.721649
2162.0    2.146125  2.417     2024-01-05T15:21:15.721649
2162.0    2.145875  2.416875  2024-01-05T15:21:15.721649
2162.0    2.145875  2.417125  2024-01-05T15:21:15.721649
2162.0    2.1465    2.417125  2024-01-05T15:21:15.721649
2162.0    2.146875  2.4175    2024-01-05T15:21:15.721649
2162.0    2.1465    2.418     2024-01-05T15:21:15.721649
2162.0    2.146625  2.417875  2024-01-05T15:21:15.721649
2162.0    2.146875  2.4175    2024-01-05T15:21:15.721649
2162.0    2.147375  2.416875  2024-01-05T15:21:15.721649
2162.0    2.14775   2.4165    2024-01-05T15:21:15.721649
2162.0    2.147875  2.416875  2024-01-05T15:21:15.721649
2162.0    2.147875  2.416875  2024-01-05T15:21:15.721649
2162.0    2.147375  2.417     2024-01-05T15:21:15.721649
2162.0    2.14675   2.416625  2024-01-05T15:21:15.721649
2162.0    2.146125  2.41625   2024-01-05T15:21:15.721649
2162.0    2.14625   2.41625   2024-01-05T15:21:15.721649
2162.0    2.14625   2.416875  2024-01-05T15:21:15.721649
2162.0    2.145625  2.41675   2024-01-05T15:21:15.721649
2162.0    2.145625  2.41675   2024-01-05T15:21:15.721649
2162.0    2.14575   2.417     2024-01-05T15:21:15.721649
2162.0    2.146625  2.417     2024-01-05T15:21:15.721649
2162.0    2.147125  2.4175    2024-01-05T15:21:15.721649
2162.0    2.147     2.418     2024-01-05T15:21:15.721649
2162.0    2.147     2.417875  2024-01-05T15:21:15.721649
2162.0    2.146625  2.41725   2024-01-05T15:21:15.721649
2162.0    2.146875  2.4165    2024-01-05T15:21:15.721649
2162.0    2.146875  2.4165    2024-01-05T15:21:15.721649
2162.0    2.14775   2.416625  2024-01-05T15:21:15.721649
2162.0    2.147875  2.416875  2024-01-05T15:21:15.721649
2162.0    2.147375  2.416875  2024-01-05T15:21:15.721649
2162.0    2.14675   2.4165    2024-01-05T15:21:15.721649
2162.0    2.146375  2.416375  2024-01-05T15:21:15.721649
2162.0    2.146625  2.416625  2024-01-05T15:21:15.721649
2162.0    2.14675   2.417     2024-01-05T15:21:15.721649
2162.0    2.145875  2.416625  2024-01-05T15:21:15.721649
2162.0    2.145625  2.416875  2024-01-05T15:21:15.721649
2162.0    2.145875  2.417125  2024-01-05T15:21:15.721649
2162.0    2.1465    2.417375  2024-01-05T15:21:15.721649
2163.0    2.14325   2.41275   2024-01-05T15:21:17.596649
2163.0    2.14325   2.413125  2024-01-05T15:21:17.596649
2163.0    2.144     2.41325   2024-01-05T15:21:17.596649
2163.0    2.14425   2.413625  2024-01-05T15:21:17.596649
2163.0    2.143875  2.414125  2024-01-05T15:21:17.596649
2163.0    2.144     2.41375   2024-01-05T15:21:17.596649
2163.0    2.14425   2.413125  2024-01-05T15:21:17.596649
2163.0    2.144875  2.412625  2024-01-05T15:21:17.596649
2163.0    2.144875  2.412625  2024-01-05T15:21:17.596649
2163.0    2.14525   2.4125    2024-01-05T15:21:17.596649
2163.0    2.145     2.41275   2024-01-05T15:21:17.596649
2163.0    2.1445    2.41275   2024-01-05T15:21:17.596649
2163.0    2.14375   2.4125    2024-01-05T15:21:17.596649
2163.0    2.143375  2.41225   2024-01-05T15:21:17.596649
2163.0    2.143625  2.41275   2024-01-05T15:21:17.596649
2163.0    2.144125  2.413     2024-01-05T15:21:17.596649
2163.0    2.143625  2.41275   2024-01-05T15:21:17.596649
2163.0    2.142875  2.413     2024-01-05T15:21:17.596649
2163.0    2.142875  2.413125  2024-01-05T15:21:17.596649
2163.0    2.144     2.41325   2024-01-05T15:21:17.596649
2163.0    2.14425   2.414     2024-01-05T15:21:17.596649
2163.0    2.144375  2.414125  2024-01-05T15:21:17.596649
2163.0    2.14475   2.41375   2024-01-05T15:21:17.596649
