ANGLE,CH0,CH1
0.0,2.414,2.413625
0.0,2.082125,2.414125
0.0,2.082375,2.414375
0.0,2.0825,2.414375
0.0,2.08225,2.414
0.0,2.082,2.413375
0.0,2.0825,2.413
0.0,2.083,2.4135
0.0,2.083125,2.4135
0.0,2.082625,2.413375
0.0,2.082125,2.41325
0.0,2.081625,2.412875
0.0,2.081625,2.413
0.0,2.08175,2.4135
0.0,2.0815,2.4135
0.0,2.0815,2.413625
0.0,2.081125,2.41375
0.0,2.08175,2.41375
0.0,2.082125,2.414
0.0,2.082125,2.414625
0.0,2.082125,2.4145
0.0,2.08225,2.414125
0.0,2.08225,2.413375
0.0,2.082625,2.413375
0.0,2.083125,2.412875
0.0,2.083125,2.41325
0.0,2.082625,2.413375
0.0,2.08175,2.413125
0.0,2.0815,2.412875
0.0,2.082,2.41325
0.0,2.082,2.413625
0.0,2.082,2.4135
0.0,2.081375,2.4135
0.0,2.081125,2.41375
0.0,2.08175,2.414
0.0,2.082375,2.414375
0.0,2.08225,2.4145
0.0,2.08225,2.41425
0.0,2.08225,2.41425
0.0,2.082375,2.41375
0.0,2.083,2.413
0.0,2.083375,2.413125
0.0,2.083,2.4135
0.0,2.082125,2.413375
0.0,2.082,2.413
0.0,2.082,2.412875
0.0,2.082,2.413375
0.0,2.082375,2.41375
0.0,2.0825,2.4135
0.0,2.081875,2.413625
5.0,2.083125,2.40375
5.0,2.08325,2.404125
5.0,2.083,2.4045
5.0,2.083,2.40425
5.0,2.083375,2.40375
5.0,2.08375,2.403
5.0,2.08425,2.40325
5.0,2.084,2.403375
5.0,2.084,2.403375
5.0,2.08375,2.403375
5.0,2.08275,2.403
5.0,2.08225,2.40275
5.0,2.08275,2.403125
5.0,2.082625,2.4035
5.0,2.08175,2.4035
5.0,2.08175,2.40375
5.0,2.0825,2.403875
5.0,2.083125,2.403875
5.0,2.08275,2.404375
5.0,2.082375,2.4045
5.0,2.08275,2.404125
5.0,2.08325,2.4035
5.0,2.083875,2.403125
5.0,2.083875,2.403125
5.0,2.084125,2.403125
5.0,2.0835,2.4035
5.0,2.082875,2.403375
5.0,2.082625,2.402875
5.0,2.08225,2.402875
5.0,2.0825,2.403375
5.0,2.082625,2.4035
5.0,2.082,2.403375
5.0,2.081625,2.4035
5.0,2.0825,2.403875
5.0,2.083,2.403875
5.0,2.082875,2.404375
5.0,2.08325,2.404375
5.0,2.0835,2.404
5.0,2.0835,2.404
5.0,2.083125,2.40325
5.0,2.083625,2.402875
5.0,2.084375,2.403375
5.0,2.083875,2.4035
5.0,2.083,2.403125
