#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-01-09 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# HWP     : 0.0
# cycles  : 1
# step    : 5.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
0.0       2.414     2.413625  2024-01-09T14:38:41.609375
0.0       2.082125  2.414125  2024-01-09T14:38:41.609375
0.0       2.082375  2.414375  2024-01-09T14:38:41.609375
0.0       2.0825    2.414375  2024-01-09T14:38:41.609375
0.0       2.08225   2.414     2024-01-09T14:38:41.609375
0.0       2.082     2.413375  2024-01-09T14:38:41.609375
0.0       2.0825    2.413     2024-01-09T14:38:41.609375
0.0       2.083     2.4135    2024-01-09T14:38:41.609375
0.0       2.083125  2.4135    2024-01-09T14:38:41.609375
0.0       2.082625  2.413375  2024-01-09T14:38:41.609375
0.0       2.082125  2.41325   2024-01-09T14:38:41.609375
0.0       2.081625  2.412875  2024-01-09T14:38:41.609375
0.0       2.081625  2.413     2024-01-09T14:38:41.609375
0.0       2.08175   2.4135    2024-01-09T14:38:41.609375
0.0       2.0815    2.4135    2024-01-09T14:38:41.609375
0.0       2.0815    2.413625  2024-01-09T14:38:41.609375
0.0       2.081125  2.41375   2024-01-09T14:38:41.609375
0.0       2.08175   2.41375   2024-01-09T14:38:41.609375
0.0       2.082125  2.414     2024-01-09T14:38:41.609375
0.0       2.082125  2.414625  2024-01-09T14:38:41.609375
0.0       2.082125  2.4145    2024-01-09T14:38:41.609375
0.0       2.08225   2.414125  2024-01-09T14:38:41.609375
0.0       2.08225   2.413375  2024-01-09T14:38:41.609375
0.0       2.082625  2.413375  2024-01-09T14:38:41.609375
0.0       2.083125  2.412875  2024-01-09T14:38:41.609375
0.0       2.083125  2.41325   2024-01-09T14:38:41.609375
0.0       2.082625  2.413375  2024-01-09T14:38:41.609375
0.0       2.08175   2.413125  2024-01-09T14:38:41.609375
0.0       2.0815    2.412875  2024-01-09T14:38:41.609375
0.0       2.082     2.41325   2024-01-09T14:38:41.609375
0.0       2.082     2.413625  2024-01-09T14:38:41.609375
0.0       2.082     2.4135    2024-01-09T14:38:41.609375
0.0       2.081375  2.4135    2024-01-09T14:38:41.609375
0.0       2.081125  2.41375   2024-01-09T14:38:41.609375
0.0       2.08175   2.414     2024-01-09T14:38:41.609375
0.0       2.082375  2.414375  2024-01-09T14:38:41.609375
0.0       2.08225   2.4145    2024-01-09T14:38:41.609375
0.0       2.08225   2.41425   2024-01-09T14:38:41.609375
0.0       2.08225   2.41425   2024-01-09T14:38:41.609375
0.0       2.082375  2.41375   2024-01-09T14:38:41.609375
0.0       2.083     2.413     2024-01-09T14:38:41.609375
0.0       2.083375  2.413125  2024-01-09T14:38:41.609375
0.0       2.083     2.4135    2024-01-09T14:38:41.609375
0.0       2.082125  2.413375  2024-01-09T14:38:41.609375
0.0       2.082     2.413     2024-01-09T14:38:41.609375
0.0       2.082     2.412875  2024-01-09T14:38:41.609375
0.0       2.082     2.413375  2024-01-09T14:38:41.609375
0.0       2.082375  2.41375   2024-01-09T14:38:41.609375
0.0       2.0825    2.4135    2024-01-09T14:38:41.609375
0.0       2.081875  2.413625  2024-01-09T14:38:41.609375
5.0       2.083125  2.40375   2024-01-09T14:38:44.515625
5.0       2.08325   2.404125  2024-01-09T14:38:44.515625
5.0       2.083     2.4045    2024-01-09T14:38:44.515625
5.0       2.083     2.40425   2024-01-09T14:38:44.515625
5.0       2.083375  2.40375   2024-01-09T14:38:44.515625
5.0       2.08375   2.403     2024-01-09T14:38:44.515625
5.0       2.08425   2.40325   2024-01-09T14:38:44.515625
5.0       2.084     2.403375  2024-01-09T14:38:44.515625
5.0       2.084     2.403375  2024-01-09T14:38:44.515625
5.0       2.08375   2.403375  2024-01-09T14:38:44.515625
5.0       2.08275   2.403     2024-01-09T14:38:44.515625
5.0       2.08225   2.40275   2024-01-09T14:38:44.515625
5.0       2.08275   2.403125  2024-01-09T14:38:44.515625
5.0       2.082625  2.4035    2024-01-09T14:38:44.515625
5.0       2.08175   2.4035    2024-01-09T14:38:44.515625
5.0       2.08175   2.40375   2024-01-09T14:38:44.515625
5.0       2.0825    2.403875  2024-01-09T14:38:44.515625
5.0       2.083125  2.403875  2024-01-09T14:38:44.515625
5.0       2.08275   2.404375  2024-01-09T14:38:44.515625
5.0       2.082375  2.4045    2024-01-09T14:38:44.515625
5.0       2.08275   2.404125  2024-01-09T14:38:44.515625
5.0       2.08325   2.4035    2024-01-09T14:38:44.515625
5.0       2.083875  2.403125  2024-01-09T14:38:44.515625
5.0       2.083875  2.403125  2024-01-09T14:38:44.515625
5.0       2.084125  2.403125  2024-01-09T14:38:44.515625
5.0       2.0835    2.4035    2024-01-09T14:38:44.515625
5.0       2.082875  2.403375  2024-01-09T14:38:44.515625
5.0       2.082625  2.402875  2024-01-09T14:38:44.515625
5.0       2.08225   2.402875  2024-01-09T14:38:44.515625
5.0       2.0825    2.403375  2024-01-09T14:38:44.515625
5.0       2.082625  2.4035    2024-01-09T14:38:44.515625
5.0       2.082     2.403375  2024-01-09T14:38:44.515625
5.0       2.081625  2.4035    2024-01-09T14:38:44.515625
5.0       2.0825    2.403875  2024-01-09T14:38:44.515625
5.0       2.083     2.403875  2024-01-09T14:38:44.515625
5.0       2.082875  2.404375  2024-01-09T14:38:44.515625
5.0       2.08325   2.404375  2024-01-09T14:38:44.515625
5.0       2.0835    2.404     2024-01-09T14:38:44.515625
5.0       2.0835    2.404     2024-01-09T14:38:44.515625
5.0       2.083125  2.40325   2024-01-09T14:38:44.515625
5.0       2.083625  2.402875  2024-01-09T14:38:44.515625
5.0       2.084375  2.403375  2024-01-09T14:38:44.515625
5.0       2.083875  2.4035    2024-01-09T14:38:44.515625
5.0       2.083     2.403125  2024-01-09T14:38:44.515625
5.0       2.08225   2.40275   2024-01-09T14:38:44.515625
