#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-01-09 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# HWP     : 0.0
# cycles  : 1
# step    : 10.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
0.0       2.068375  0.442     2024-01-09T15:09:28.906250
0.0       2.06875   0.442     2024-01-09T15:09:28.906250
0.0       2.068625  0.441875  2024-01-09T15:09:28.906250
0.0       2.068     0.441875  2024-01-09T15:09:28.906250
0.0       2.0675    0.441875  2024-01-09T15:09:28.906250
0.0       2.067125  0.44175   2024-01-09T15:09:28.906250
0.0       2.06725   0.442     2024-01-09T15:09:28.906250
0.0       2.067625  0.442125  2024-01-09T15:09:28.906250
0.0       2.067625  0.442125  2024-01-09T15:09:28.906250
0.0       2.067375  0.442     2024-01-09T15:09:28.906250
0.0       2.067     0.441875  2024-01-09T15:09:28.906250
0.0       2.06675   0.442     2024-01-09T15:09:28.906250
0.0       2.0675    0.442125  2024-01-09T15:09:28.906250
0.0       2.067875  0.44225   2024-01-09T15:09:28.906250
0.0       2.0675    0.442375  2024-01-09T15:09:28.906250
0.0       2.067875  0.44225   2024-01-09T15:09:28.906250
0.0       2.068125  0.44225   2024-01-09T15:09:28.906250
0.0       2.06825   0.442     2024-01-09T15:09:28.906250
0.0       2.06875   0.442     2024-01-09T15:09:28.906250
0.0       2.069     0.44175   2024-01-09T15:09:28.906250
0.0       2.0685    0.44175   2024-01-09T15:09:28.906250
0.0       2.0675    0.441875  2024-01-09T15:09:28.906250
0.0       2.06725   0.44175   2024-01-09T15:09:28.906250
0.0       2.06725   0.44175   2024-01-09T15:09:28.906250
0.0       2.0675    0.442     2024-01-09T15:09:28.906250
0.0       2.06775   0.442     2024-01-09T15:09:28.906250
0.0       2.0675    0.442     2024-01-09T15:09:28.906250
0.0       2.06675   0.442125  2024-01-09T15:09:28.906250
0.0       2.066875  0.442125  2024-01-09T15:09:28.906250
0.0       2.0675    0.442125  2024-01-09T15:09:28.906250
0.0       2.067875  0.44225   2024-01-09T15:09:28.906250
0.0       2.068125  0.44225   2024-01-09T15:09:28.906250
0.0       2.068     0.442375  2024-01-09T15:09:28.906250
0.0       2.068     0.44225   2024-01-09T15:09:28.906250
0.0       2.0685    0.441875  2024-01-09T15:09:28.906250
0.0       2.068875  0.441875  2024-01-09T15:09:28.906250
0.0       2.06875   0.442     2024-01-09T15:09:28.906250
0.0       2.068375  0.441875  2024-01-09T15:09:28.906250
0.0       2.068375  0.441875  2024-01-09T15:09:28.906250
0.0       2.067875  0.44175   2024-01-09T15:09:28.906250
0.0       2.067375  0.441875  2024-01-09T15:09:28.906250
0.0       2.0675    0.442     2024-01-09T15:09:28.906250
0.0       2.067375  0.442125  2024-01-09T15:09:28.906250
0.0       2.066375  0.44225   2024-01-09T15:09:28.906250
0.0       2.066375  0.44225   2024-01-09T15:09:28.906250
0.0       2.067375  0.44225   2024-01-09T15:09:28.906250
0.0       2.067875  0.44225   2024-01-09T15:09:28.906250
0.0       2.067625  0.442375  2024-01-09T15:09:28.906250
0.0       2.06775   0.44225   2024-01-09T15:09:28.906250
0.0       2.068375  0.44225   2024-01-09T15:09:28.906250
10.0      2.035375  0.80475   2024-01-09T15:09:33.062500
10.0      2.035375  0.805     2024-01-09T15:09:33.062500
10.0      2.034875  0.805     2024-01-09T15:09:33.062500
10.0      2.03425   0.805125  2024-01-09T15:09:33.062500
10.0      2.034875  0.805125  2024-01-09T15:09:33.062500
10.0      2.0355    0.805125  2024-01-09T15:09:33.062500
10.0      2.03575   0.805125  2024-01-09T15:09:33.062500
10.0      2.035875  0.80525   2024-01-09T15:09:33.062500
10.0      2.035875  0.80525   2024-01-09T15:09:33.062500
10.0      2.03625   0.805375  2024-01-09T15:09:33.062500
10.0      2.036125  0.805125  2024-01-09T15:09:33.062500
10.0      2.03575   0.805     2024-01-09T15:09:33.062500
