ANGLE,CH0,CH1
0.0,0.050125,0.428125
0.0,0.049875,0.4285
0.0,0.049625,0.428375
0.0,0.0495,0.4285
0.0,0.04975,0.428625
0.0,0.049875,0.428375
0.0,0.05025,0.428375
0.0,0.05025,0.428625
0.0,0.05025,0.428625
0.0,0.05,0.428625
0.0,0.05,0.428625
0.0,0.05,0.428375
0.0,0.050375,0.428125
0.0,0.0505,0.428375
0.0,0.050125,0.428375
0.0,0.050125,0.428375
0.0,0.049875,0.42825
0.0,0.0495,0.42825
0.0,0.0495,0.4285
0.0,0.049625,0.4285
0.0,0.0495,0.4285
0.0,0.04925,0.428375
0.0,0.049875,0.42825
0.0,0.049875,0.42825
0.0,0.050375,0.428375
0.0,0.050375,0.42875
0.0,0.05025,0.428625
0.0,0.050125,0.4285
0.0,0.050125,0.428125
0.0,0.05025,0.428125
0.0,0.05025,0.42825
0.0,0.050125,0.42825
0.0,0.049875,0.4285
0.0,0.049875,0.428125
0.0,0.049875,0.428125
0.0,0.0495,0.42825
0.0,0.049,0.428375
0.0,0.04925,0.428375
0.0,0.04925,0.428375
0.0,0.04975,0.4285
0.0,0.05025,0.4285
0.0,0.05025,0.42825
0.0,0.050375,0.428625
0.0,0.0505,0.4285
0.0,0.050125,0.4285
0.0,0.04975,0.428375
0.0,0.049875,0.42825
0.0,0.050125,0.428375
0.0,0.049875,0.42825
0.0,0.05025,0.428125
10.0,0.049625,0.7905
10.0,0.0495,0.790625
10.0,0.0495,0.790625
10.0,0.0495,0.790375
10.0,0.049625,0.790125
10.0,0.04975,0.79
10.0,0.04975,0.790125
10.0,0.04975,0.790125
10.0,0.04975,0.790125
10.0,0.04925,0.79
10.0,0.048875,0.790125
10.0,0.04925,0.79025
10.0,0.049375,0.790125
10.0,0.049,0.79025
10.0,0.04875,0.79025
10.0,0.048875,0.79025
10.0,0.049375,0.790375
10.0,0.049625,0.7905
10.0,0.0495,0.790625
10.0,0.0495,0.790625
10.0,0.049375,0.790375
10.0,0.0495,0.790125
10.0,0.049875,0.790125
10.0,0.049875,0.790125
10.0,0.049875,0.79025
10.0,0.0495,0.790125
10.0,0.049125,0.78975
10.0,0.04925,0.79
10.0,0.048875,0.79025
10.0,0.048625,0.790375
10.0,0.04875,0.790125
10.0,0.049125,0.79025
10.0,0.049,0.790375
10.0,0.0495,0.790375
10.0,0.049625,0.790625
10.0,0.049375,0.79075
10.0,0.0495,0.790625
10.0,0.0495,0.79025
10.0,0.0495,0.79025
10.0,0.049375,0.790125
10.0,0.04925,0.790125
10.0,0.04925,0.790125
10.0,0.04925,0.790125
10.0,0.049,0.789875
10.0,0.04875,0.78975
10.0,0.049125,0.790125
10.0,0.04875,0.79025
10.0,0.0485,0.790375
10.0,0.049,0.79025
10.0,0.04925,0.790375
20.0,0.046375,1.193875
20.0,0.04625,1.193875
20.0,0.046,1.194125
