ANGLE,CH0,CH1
3.285,1.993,0.943
3.285,1.993125,0.942875
3.285,1.993375,0.942875
3.285,1.992875,0.942875
3.285,1.992,0.943125
3.285,1.991625,0.94325
3.285,1.992125,0.943
3.285,1.992125,0.942875
3.285,1.992125,0.943125
3.285,1.991375,0.943125
3.285,1.99125,0.943125
3.285,1.99175,0.9435
3.285,1.992625,0.943625
3.285,1.99275,0.9435
3.285,1.99275,0.943375
3.285,1.99275,0.943
3.285,1.992875,0.942875
3.285,1.99325,0.943
3.285,1.9935,0.943
3.285,1.993375,0.942875
3.285,1.992875,0.942875
3.285,1.991625,0.943125
3.285,1.99175,0.943125
3.285,1.992125,0.943125
3.285,1.992125,0.94325
3.285,1.992125,0.94325
3.285,1.991375,0.94325
3.285,1.99125,0.94325
3.285,1.99175,0.9435
3.285,1.99225,0.943625
3.285,1.992625,0.9435
3.285,1.992875,0.943
3.285,1.9925,0.94275
3.285,1.99275,0.942875
3.285,1.9935,0.942875
3.285,1.9935,0.942875
3.285,1.99325,0.942625
3.285,1.992875,0.942875
3.285,1.99225,0.943
3.285,1.99225,0.943125
3.285,1.992375,0.943
3.285,1.992375,0.943
3.285,1.99175,0.94325
3.285,1.991,0.94325
3.285,1.991,0.943375
3.285,1.99175,0.9435
3.285,1.992625,0.9435
3.285,1.9925,0.943375
3.285,1.9925,0.943
3.285,1.99275,0.942875
3.285,1.992875,0.94275
3.285,1.993375,0.943
3.285,1.993125,0.942875
3.285,1.9925,0.94275
3.285,1.992125,0.943
3.285,1.991375,0.94325
3.285,1.99175,0.943125
3.285,1.992,0.943125
3.285,1.992,0.943125
3.285,1.99125,0.94325
3.285,1.991125,0.943375
3.285,1.991625,0.943625
3.285,1.99225,0.943625
3.285,1.9925,0.943625
3.285,1.992375,0.943125
3.285,1.992375,0.942875
3.285,1.992625,0.942875
3.285,1.99325,0.943125
3.285,1.993625,0.942875
3.285,1.9935,0.942625
3.285,1.993125,0.9425
3.285,1.992375,0.943
3.285,1.991875,0.943125
3.285,1.992125,0.943125
3.285,1.992125,0.943125
3.285,1.992,0.943125
3.285,1.991125,0.943125
3.285,1.991,0.943375
3.285,1.991625,0.9435
3.285,1.992375,0.943625
3.285,1.992375,0.943375
3.285,1.9925,0.94325
3.285,1.992625,0.943
3.285,1.99275,0.943
3.285,1.99275,0.943125
3.285,1.993125,0.942875
3.285,1.99325,0.942875
3.285,1.992875,0.94275
3.285,1.992125,0.943
3.285,1.99175,0.943125
3.285,1.992,0.943
3.285,1.992,0.943
3.285,1.9915,0.94325
3.285,1.991,0.943375
3.285,1.991125,0.94325
3.285,1.9915,0.9435
3.285,1.99225,0.943625
3.285,1.992375,0.943625
3.285,1.992625,0.94325
3.285,1.9925,0.943
3.285,1.992625,0.943125
3.285,1.99325,0.943
3.285,1.9935,0.942625
3.285,1.993125,0.942625
3.285,1.9925,0.942875
3.285,1.991875,0.94325
3.285,1.992,0.943125
3.285,1.992,0.943125
3.285,1.992125,0.943125
3.285,1.9915,0.94325
3.285,1.991375,0.943375
3.285,1.99175,0.943375
3.285,1.992625,0.943625
3.285,1.992875,0.9435
3.285,1.992625,0.943375
3.285,1.9925,0.943
3.285,1.9925,0.942875
3.285,1.993,0.943
3.285,1.99325,0.943125
3.285,1.9935,0.94275
3.285,1.993375,0.9425
3.285,1.99275,0.942625
3.285,1.992,0.943125
3.285,1.992,0.943
3.285,1.991875,0.943
3.285,1.99175,0.94325
3.285,1.99175,0.943375
3.285,1.99125,0.943375
3.285,1.991625,0.9435
3.285,1.9925,0.943625
3.285,1.9925,0.943375
3.285,1.9925,0.943125
3.285,1.992375,0.943
3.285,1.99225,0.942875
3.285,1.993125,0.943125
3.285,1.993375,0.942875
3.285,1.993125,0.942875
3.285,1.99275,0.942875
3.285,1.992125,0.943
3.285,1.992,0.943375
3.285,1.992,0.943375
3.285,1.992,0.942875
3.285,1.992,0.943125
3.285,1.991625,0.94325
3.285,1.99125,0.94325
3.285,1.991875,0.9435
3.285,1.992625,0.9435
3.285,1.992625,0.9435
3.285,1.992,0.94325
3.285,1.992,0.943
3.285,1.992625,0.943
3.285,1.992875,0.943
3.285,1.993375,0.943
3.285,1.99325,0.942875
3.285,1.99275,0.94275
3.285,1.992125,0.943125
3.285,1.992125,0.943125
3.285,1.991875,0.943125
3.285,1.99225,0.94325
3.285,1.992,0.94325
3.285,1.99175,0.943375
3.285,1.991625,0.9435
3.285,1.99225,0.943625
3.285,1.99225,0.943625
3.285,1.99225,0.943375
3.285,1.9925,0.943125
3.285,1.992625,0.942875
3.285,1.993,0.942875
3.285,1.993375,0.943
4.285,1.988125,0.9035
4.285,1.98825,0.90325
4.285,1.9885,0.903125
4.285,1.98875,0.903125
4.285,1.98925,0.90325
4.285,1.989,0.903
4.285,1.988625,0.903
4.285,1.987875,0.903125
4.285,1.987875,0.903125
4.285,1.98775,0.903375
4.285,1.98775,0.903375
4.285,1.98775,0.903375
4.285,1.9875,0.9035
4.285,1.986875,0.9035
4.285,1.987125,0.90375
4.285,1.98825,0.90375
4.285,1.988625,0.90375
4.285,1.9885,0.9035
4.285,1.988375,0.90325
4.285,1.988375,0.90325
4.285,1.989125,0.90325
