#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-02-27 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# HWP     : 0.0
# cycles  : 1
# step    : 1.0
# samples : 169
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
0.0       1.71675   0.2145    2024-02-27T13:12:30.834217
0.0       1.715875  0.214375  2024-02-27T13:12:30.834217
0.0       1.715375  0.2145    2024-02-27T13:12:30.834217
0.0       1.715625  0.2145    2024-02-27T13:12:30.834217
0.0       1.71575   0.2145    2024-02-27T13:12:30.834217
0.0       1.715625  0.2145    2024-02-27T13:12:30.834217
0.0       1.71525   0.214625  2024-02-27T13:12:30.834217
0.0       1.716     0.214625  2024-02-27T13:12:30.834217
0.0       1.716     0.214625  2024-02-27T13:12:30.834217
0.0       1.71675   0.21475   2024-02-27T13:12:30.834217
0.0       1.716625  0.214625  2024-02-27T13:12:30.834217
0.0       1.716875  0.2145    2024-02-27T13:12:30.834217
0.0       1.71675   0.2145    2024-02-27T13:12:30.834217
0.0       1.716125  0.2145    2024-02-27T13:12:30.834217
0.0       1.716375  0.214375  2024-02-27T13:12:30.834217
0.0       1.717     0.214375  2024-02-27T13:12:30.834217
0.0       1.716875  0.21425   2024-02-27T13:12:30.834217
0.0       1.716375  0.21425   2024-02-27T13:12:30.834217
0.0       1.715875  0.2145    2024-02-27T13:12:30.834217
0.0       1.715875  0.214625  2024-02-27T13:12:30.834217
0.0       1.715875  0.214625  2024-02-27T13:12:30.834217
0.0       1.715375  0.21475   2024-02-27T13:12:30.834217
0.0       1.715     0.2145    2024-02-27T13:12:30.834217
0.0       1.715     0.2145    2024-02-27T13:12:30.834217
0.0       1.716125  0.214625  2024-02-27T13:12:30.834217
0.0       1.716125  0.214625  2024-02-27T13:12:30.834217
0.0       1.7165    0.214625  2024-02-27T13:12:30.834217
0.0       1.71625   0.2145    2024-02-27T13:12:30.834217
0.0       1.716375  0.2145    2024-02-27T13:12:30.834217
0.0       1.7165    0.214375  2024-02-27T13:12:30.834217
0.0       1.7165    0.214375  2024-02-27T13:12:30.834217
0.0       1.716875  0.214375  2024-02-27T13:12:30.834217
0.0       1.717125  0.21425   2024-02-27T13:12:30.834217
0.0       1.716875  0.21425   2024-02-27T13:12:30.834217
0.0       1.716625  0.214375  2024-02-27T13:12:30.834217
0.0       1.716125  0.214375  2024-02-27T13:12:30.834217
0.0       1.715625  0.214625  2024-02-27T13:12:30.834217
0.0       1.715625  0.214625  2024-02-27T13:12:30.834217
0.0       1.715625  0.21475   2024-02-27T13:12:30.834217
0.0       1.7155    0.214625  2024-02-27T13:12:30.834217
0.0       1.715875  0.214625  2024-02-27T13:12:30.834217
0.0       1.715875  0.214625  2024-02-27T13:12:30.834217
0.0       1.716125  0.21475   2024-02-27T13:12:30.834217
0.0       1.716625  0.21475   2024-02-27T13:12:30.834217
0.0       1.716375  0.214625  2024-02-27T13:12:30.834217
0.0       1.716625  0.2145    2024-02-27T13:12:30.834217
0.0       1.7165    0.2145    2024-02-27T13:12:30.834217
0.0       1.716875  0.214375  2024-02-27T13:12:30.834217
0.0       1.7175    0.21425   2024-02-27T13:12:30.834217
0.0       1.717625  0.214125  2024-02-27T13:12:30.834217
0.0       1.717     0.214125  2024-02-27T13:12:30.834217
0.0       1.716     0.214375  2024-02-27T13:12:30.834217
0.0       1.715375  0.2145    2024-02-27T13:12:30.834217
0.0       1.716125  0.2145    2024-02-27T13:12:30.834217
0.0       1.71625   0.2145    2024-02-27T13:12:30.834217
0.0       1.71575   0.2145    2024-02-27T13:12:30.834217
0.0       1.71525   0.2145    2024-02-27T13:12:30.834217
0.0       1.715625  0.2145    2024-02-27T13:12:30.834217
0.0       1.715625  0.2145    2024-02-27T13:12:30.834217
0.0       1.716125  0.2145    2024-02-27T13:12:30.834217
0.0       1.716375  0.2145    2024-02-27T13:12:30.834217
0.0       1.7165    0.214625  2024-02-27T13:12:30.834217
0.0       1.71675   0.2145    2024-02-27T13:12:30.834217
0.0       1.7165    0.214375  2024-02-27T13:12:30.834217
0.0       1.71675   0.2145    2024-02-27T13:12:30.834217
0.0       1.716875  0.21425   2024-02-27T13:12:30.834217
0.0       1.717125  0.214125  2024-02-27T13:12:30.834217
0.0       1.71675   0.21425   2024-02-27T13:12:30.834217
0.0       1.716     0.2145    2024-02-27T13:12:30.834217
0.0       1.716     0.214375  2024-02-27T13:12:30.834217
0.0       1.716125  0.2145    2024-02-27T13:12:30.834217
0.0       1.715875  0.214375  2024-02-27T13:12:30.834217
0.0       1.715375  0.2145    2024-02-27T13:12:30.834217
0.0       1.715375  0.214625  2024-02-27T13:12:30.834217
0.0       1.715375  0.214625  2024-02-27T13:12:30.834217
