ANGLE,CH0,CH1
0.0,1.71925,0.002
0.0,1.719375,0.002125
0.0,1.72,0.002125
0.0,1.7205,0.002
0.0,1.720375,0.001875
0.0,1.720375,0.002
0.0,1.72075,0.001875
0.0,1.72075,0.00175
0.0,1.721375,0.00175
0.0,1.721375,0.00175
0.0,1.7215,0.00175
0.0,1.721,0.001875
0.0,1.720375,0.00175
0.0,1.719875,0.001875
0.0,1.71975,0.002
0.0,1.7195,0.002
0.0,1.719375,0.001875
0.0,1.719375,0.001875
0.0,1.719875,0.001875
0.0,1.720375,0.001875
0.0,1.720375,0.001875
0.0,1.7205,0.001875
0.0,1.72025,0.002
0.0,1.720375,0.001875
0.0,1.720875,0.001875
0.0,1.720875,0.001875
0.0,1.72125,0.00175
0.0,1.721,0.00175
0.0,1.72075,0.00175
0.0,1.72025,0.002
0.0,1.719625,0.001875
0.0,1.71975,0.001875
0.0,1.719625,0.001875
0.0,1.719625,0.001875
0.0,1.7195,0.002
0.0,1.720125,0.002
0.0,1.72075,0.002
0.0,1.720375,0.002
0.0,1.720375,0.001875
0.0,1.72025,0.001875
0.0,1.7205,0.00175
0.0,1.7205,0.00175
0.0,1.721,0.00175
0.0,1.721125,0.001625
0.0,1.721125,0.001625
0.0,1.72075,0.00175
0.0,1.720125,0.001875
0.0,1.72,0.001875
0.0,1.719875,0.001875
0.0,1.71975,0.001875
0.0,1.71975,0.001875
0.0,1.72,0.002
0.0,1.7205,0.002
0.0,1.72075,0.002
0.0,1.72025,0.002
0.0,1.720625,0.002
0.0,1.720625,0.001875
0.0,1.720625,0.001875
0.0,1.720625,0.001875
0.0,1.7215,0.00175
0.0,1.72175,0.001625
0.0,1.721,0.0015
0.0,1.72025,0.00175
0.0,1.719375,0.001875
0.0,1.71975,0.001875
0.0,1.719875,0.00175
0.0,1.7195,0.001875
0.0,1.719375,0.001875
0.0,1.719625,0.002
0.0,1.720125,0.002
0.0,1.7205,0.001875
0.0,1.720625,0.001875
0.0,1.72075,0.00175
0.0,1.720875,0.00175
0.0,1.720875,0.00175
0.0,1.72075,0.001625
0.0,1.720875,0.00175
0.0,1.721,0.00175
0.0,1.720875,0.001625
0.0,1.720375,0.00175
0.0,1.719875,0.001875
0.0,1.72,0.001875
0.0,1.72025,0.001875
0.0,1.719625,0.00175
0.0,1.71925,0.002
0.0,1.72,0.002
0.0,1.720625,0.001875
0.0,1.72075,0.001875
0.0,1.720625,0.00175
0.0,1.720375,0.001875
0.0,1.7205,0.001875
0.0,1.7205,0.001625
0.0,1.721375,0.00175
0.0,1.7215,0.00175
0.0,1.721,0.001625
0.0,1.720625,0.0015
0.0,1.71975,0.00175
0.0,1.72,0.001875
0.0,1.720375,0.001875
0.0,1.720125,0.001875
0.0,1.71975,0.001875
0.0,1.719375,0.001875
0.0,1.719875,0.001875
0.0,1.72075,0.001875
0.0,1.720375,0.001875
0.0,1.72025,0.001875
0.0,1.72025,0.00175
0.0,1.72025,0.00175
0.0,1.72075,0.001625
0.0,1.720875,0.0015
0.0,1.721125,0.0015
0.0,1.721,0.0015
0.0,1.7205,0.001625
0.0,1.71975,0.001625
0.0,1.719625,0.00175
0.0,1.719625,0.00175
0.0,1.7195,0.001875
0.0,1.719125,0.001875
0.0,1.719625,0.001875
0.0,1.72025,0.001875
0.0,1.720125,0.002
0.0,1.720375,0.001875
0.0,1.72075,0.00175
0.0,1.72075,0.00175
0.0,1.720375,0.00175
0.0,1.72075,0.00175
0.0,1.721375,0.001625
0.0,1.721125,0.0015
0.0,1.7205,0.00175
0.0,1.719875,0.00175
0.0,1.719625,0.00175
0.0,1.719625,0.001875
0.0,1.71975,0.001875
0.0,1.719375,0.00175
0.0,1.719625,0.00175
0.0,1.720125,0.002
0.0,1.72075,0.002
0.0,1.7205,0.002
0.0,1.720375,0.001875
0.0,1.720125,0.001875
0.0,1.720125,0.001875
0.0,1.7205,0.00175
0.0,1.720625,0.00175
0.0,1.721125,0.001625
0.0,1.721125,0.001625
0.0,1.72075,0.001625
0.0,1.72025,0.00175
0.0,1.720125,0.00175
0.0,1.72025,0.001875
0.0,1.72,0.001875
0.0,1.719875,0.001875
0.0,1.72025,0.002
0.0,1.7205,0.002
0.0,1.72075,0.001875
0.0,1.72025,0.001875
0.0,1.7205,0.001875
0.0,1.7205,0.001875
0.0,1.7205,0.001875
0.0,1.72025,0.00175
0.0,1.72075,0.001625
0.0,1.72125,0.001625
0.0,1.72075,0.001625
0.0,1.72075,0.00175
0.0,1.7205,0.001875
0.0,1.720125,0.00175
0.0,1.720375,0.00175
0.0,1.72,0.001875
0.0,1.719625,0.001875
0.0,1.720125,0.001875
1.0,1.741,0.00225
1.0,1.740875,0.002125
1.0,1.74075,0.002125
1.0,1.74125,0.002125
1.0,1.7415,0.002
1.0,1.74125,0.001875
1.0,1.74075,0.002
1.0,1.74,0.002125
1.0,1.74,0.002125
1.0,1.740375,0.00225
