ANGLE,CH0,CH1
0.0,0.123125,-0.065875
0.0,0.129375,-0.050875
0.0,0.125375,-0.033375
0.0,0.11875,-0.01725
0.0,0.11225,-0.0065
0.0,0.10425,-0.000875
0.0,0.1055,0.006625
0.0,0.11525,0.019125
0.0,0.11525,0.019125
0.0,0.13125,0.01925
0.0,0.146375,0.007625
0.0,0.155375,-0.009625
0.0,0.1625,-0.025375
0.0,0.172125,-0.03425
0.0,0.18125,-0.039375
0.0,0.17975,-0.047625
0.0,0.16825,-0.059625
0.0,0.15275,-0.058375
0.0,0.13925,-0.045875
0.0,0.1305,-0.02825
0.0,0.12275,-0.013125
0.0,0.111375,-0.00475
0.0,0.104125,-0.00475
0.0,0.104125,0.000625
0.0,0.107625,0.009875
0.0,0.12,0.020875
0.0,0.135375,0.016875
0.0,0.14925,0.003125
0.0,0.15825,-0.014125
0.0,0.165125,-0.0285
0.0,0.176,-0.03575
0.0,0.1825,-0.041
0.0,0.178,-0.05125
0.0,0.164375,-0.060875
0.0,0.1485,-0.056
0.0,0.136125,-0.04125
0.0,0.127875,-0.023875
0.0,0.127875,-0.023875
0.0,0.11975,-0.010125
0.0,0.1085,-0.0035
0.0,0.10475,0.00225
0.0,0.1105,0.01375
0.0,0.124375,0.02125
0.0,0.14025,0.014125
0.0,0.15225,-0.001375
0.0,0.15925,-0.018625
0.0,0.16725,-0.031
0.0,0.17875,-0.037
0.0,0.18175,-0.043125
0.0,0.1745,-0.055125
0.0,0.160625,-0.060875
0.0,0.14475,-0.052625
0.0,0.14475,-0.052625
0.0,0.133125,-0.0365
0.0,0.126,-0.0195
0.0,0.117875,-0.00775
0.0,0.106,-0.001875
0.0,0.104625,0.004625
0.0,0.114125,0.017
0.0,0.128625,0.0205
0.0,0.14375,0.0105
0.0,0.1545,-0.006625
0.0,0.161875,-0.022875
0.0,0.170625,-0.033125
0.0,0.181,-0.038375
0.0,0.181,-0.045625
0.0,0.171125,-0.058
0.0,0.171125,-0.058
0.0,0.156125,-0.059625
0.0,0.140875,-0.049
0.0,0.131125,-0.03175
0.0,0.124125,-0.0155
0.0,0.114375,-0.006
0.0,0.1045,-0.0005
0.0,0.106375,0.007625
0.0,0.118125,0.019875
0.0,0.133,0.01875
0.0,0.147625,0.006375
0.0,0.156375,-0.01125
0.0,0.16325,-0.026375
0.0,0.174375,-0.03475
0.0,0.182,-0.03975
0.0,0.182,-0.03975
0.0,0.178625,-0.04875
0.0,0.16725,-0.06025
0.0,0.15175,-0.057625
0.0,0.138125,-0.0445
0.0,0.129,-0.026875
0.0,0.122375,-0.012125
0.0,0.111125,-0.00425
0.0,0.103625,0.001125
0.0,0.10875,0.01125
0.0,0.121875,0.021
0.0,0.137375,0.016125
0.0,0.15025,0.00175
0.0,0.1585,-0.01575
0.0,0.165625,-0.029375
0.0,0.165625,-0.029375
0.0,0.177,-0.036
0.0,0.182125,-0.041625
0.0,0.1765,-0.052375
0.0,0.163625,-0.061
0.0,0.148,-0.054875
0.0,0.1355,-0.039875
0.0,0.1275,-0.022375
0.0,0.11925,-0.009375
0.0,0.107875,-0.002875
0.0,0.104,0.003
0.0,0.11175,0.014875
0.0,0.12575,0.021
0.0,0.14125,0.013
0.0,0.153,-0.003125
0.0,0.153,-0.003125
0.0,0.160125,-0.020125
0.0,0.169125,-0.03175
0.0,0.179875,-0.037375
0.0,0.18125,-0.043875
0.0,0.17325,-0.056125
0.0,0.159125,-0.060375
0.0,0.144125,-0.0515
0.0,0.132625,-0.03475
0.0,0.125625,-0.01825
0.0,0.11675,-0.007
0.0,0.10575,-0.001375
0.0,0.105375,0.005625
0.0,0.115125,0.018125
0.0,0.130125,0.019875
0.0,0.130125,0.019875
0.0,0.145,0.00925
0.0,0.15525,-0.008
0.0,0.162125,-0.024
0.0,0.171625,-0.033875
0.0,0.1815,-0.038875
0.0,0.18,-0.046625
0.0,0.17,-0.058875
0.0,0.154625,-0.059
0.0,0.140125,-0.0475
0.0,0.13075,-0.03
0.0,0.124125,-0.014375
0.0,0.113125,-0.00525
0.0,0.10425,0.000125
0.0,0.107375,0.008625
0.0,0.107375,0.008625
0.0,0.11875,0.020125
0.0,0.1345,0.017875
0.0,0.1485,0.004875
0.0,0.1565,-0.0125
0.0,0.164,-0.0275
0.0,0.175,-0.035375
0.0,0.18225,-0.040375
0.0,0.1785,-0.05
0.0,0.166375,-0.0605
0.0,0.151125,-0.056625
0.0,0.137125,-0.042875
0.0,0.128375,-0.0255
0.0,0.121,-0.011125
0.0,0.109875,-0.004
0.0,0.109875,-0.004
0.0,0.104,0.0015
0.0,0.11,0.012375
0.0,0.123125,0.02125
0.0,0.13825,0.015375
0.0,0.151125,0.00025
0.0,0.159125,-0.016875
0.0,0.16675,-0.030125
0.0,0.178625,-0.036625
0.0,0.182625,-0.04225
0.0,0.175375,-0.05375
0.0,0.16125,-0.060875
1.0,0.069125,-0.00475
1.0,0.096,0.01175
1.0,0.116,0.020375
1.0,0.132625,0.01375
1.0,0.1485,-0.001375
1.0,0.1575,-0.01825
1.0,0.166375,-0.031125
1.0,0.177625,-0.037375
1.0,0.177625,-0.037375
1.0,0.181125,-0.04325
1.0,0.175375,-0.0545
1.0,0.161125,-0.061
1.0,0.14525,-0.05325
1.0,0.133875,-0.037
1.0,0.12675,-0.020125
1.0,0.11825,-0.008125
1.0,0.1065,-0.00225
1.0,0.10475,0.004
1.0,0.11225,0.016375
1.0,0.127125,0.02025
1.0,0.143125,0.010625
1.0,0.1535,-0.006
1.0,0.161125,-0.006
1.0,0.161125,-0.022375
1.0,0.170125,-0.033125
1.0,0.18,-0.0385
1.0,0.18075,-0.0455
1.0,0.172125,-0.057875
1.0,0.156875,-0.060125
1.0,0.141375,-0.04975
1.0,0.131625,-0.032375
1.0,0.12475,-0.01625
1.0,0.114625,-0.0065
1.0,0.105,-0.001
1.0,0.106625,0.006875
1.0,0.1165,0.01925
1.0,0.131375,0.01875
1.0,0.146375,0.01875
1.0,0.146375,0.006625
1.0,0.15575,-0.011
1.0,0.16275,-0.026125
1.0,0.173625,-0.03475
1.0,0.18175,-0.04
1.0,0.17925,-0.048375
1.0,0.16825,-0.060125
1.0,0.1525,-0.05825
1.0,0.137875,-0.0455
1.0,0.12975,-0.027875
1.0,0.123125,-0.012875
1.0,0.111625,-0.004875
1.0,0.104125,0.000625
1.0,0.107875,0.01
1.0,0.12025,0.01
1.0,0.12025,0.020375
1.0,0.1365,0.016125
1.0,0.14975,0.001875
1.0,0.15775,-0.01525
1.0,0.16525,-0.029
1.0,0.175875,-0.036125
1.0,0.181625,-0.041625
1.0,0.177125,-0.052125
1.0,0.164625,-0.061125
1.0,0.14875,-0.05575
1.0,0.13575,-0.040875
1.0,0.128375,-0.0235
1.0,0.12,-0.010125
1.0,0.108125,-0.0035
1.0,0.104375,-0.0035
1.0,0.104375,0.0025
1.0,0.110625,0.013875
1.0,0.1245,0.02075
1.0,0.1405,0.013375
1.0,0.152375,-0.0025
1.0,0.15925,-0.019625
1.0,0.168,-0.031625
1.0,0.17875,-0.03725
1.0,0.18175,-0.04375
1.0,0.17425,-0.05575
1.0,0.160375,-0.06075
1.0,0.14475,-0.0525
1.0,0.13325,-0.036
1.0,0.126125,-0.019
1.0,0.117125,-0.019
1.0,0.117125,-0.007625
1.0,0.106125,-0.002
1.0,0.105,0.004875
1.0,0.113375,0.017375
1.0,0.1295,0.02
1.0,0.144125,0.009625
1.0,0.154375,-0.0075
1.0,0.161625,-0.0235
1.0,0.17125,-0.033625
1.0,0.181,-0.038875
1.0,0.180375,-0.046375
1.0,0.170875,-0.0585
1.0,0.1555,-0.0595
1.0,0.1405,-0.048625
1.0,0.13175,-0.048625
1.0,0.13175,-0.031125
1.0,0.124375,-0.015375
1.0,0.11375,-0.006
1.0,0.104375,-0.000625
1.0,0.106625,0.007875
1.0,0.1175,0.02
1.0,0.13325,0.018125
1.0,0.14775,0.005375
1.0,0.156125,-0.012375
1.0,0.16375,-0.027375
1.0,0.174,-0.03525
1.0,0.18175,-0.040375
1.0,0.17875,-0.04975
1.0,0.167125,-0.0605
1.0,0.151625,-0.0605
1.0,0.151625,-0.057375
1.0,0.13775,-0.044125
1.0,0.129375,-0.0265
1.0,0.121875,-0.012
1.0,0.11075,-0.004375
1.0,0.1045,0.001125
1.0,0.1085,0.011625
1.0,0.12175,0.021
1.0,0.137375,0.015375
1.0,0.15,0.000625
1.0,0.157875,-0.0165
1.0,0.16625,-0.030125
1.0,0.17775,-0.036625
1.0,0.18225,-0.04225
1.0,0.1765,-0.04225
1.0,0.1765,-0.053375
1.0,0.163125,-0.061125
1.0,0.146625,-0.05475
1.0,0.134875,-0.03925
1.0,0.127875,-0.022
1.0,0.1195,-0.00925
1.0,0.107875,-0.003125
1.0,0.10475,0.003
1.0,0.111375,0.01525
1.0,0.12575,0.020625
1.0,0.142,0.012125
1.0,0.152875,-0.003875
1.0,0.160375,-0.02075
1.0,0.169,-0.032125
1.0,0.18025,-0.032125
1.0,0.18025,-0.03775
1.0,0.18125,-0.0445
1.0,0.17325,-0.05675
1.0,0.158625,-0.060625
1.0,0.143125,-0.051375
1.0,0.132875,-0.0345
1.0,0.1255,-0.017875
1.0,0.116125,-0.007125
1.0,0.106,-0.001375
1.0,0.105125,0.005875
1.0,0.115,0.0185
1.0,0.1305,0.019625
1.0,0.146,0.00825
1.0,0.155,-0.009
1.0,0.162,-0.009
1.0,0.162,-0.02475
1.0,0.172125,-0.034125
1.0,0.18125,-0.039375
1.0,0.179875,-0.047375
1.0,0.170125,-0.059625
1.0,0.154875,-0.059125
1.0,0.139625,-0.04725
1.0,0.130875,-0.02975
1.0,0.123625,-0.01425
1.0,0.11275,-0.0055
1.0,0.10475,0.0
2.0,0.0685,-0.0005
2.0,0.10125,0.01725
2.0,0.12425,0.0185
2.0,0.14,0.00675
2.0,0.152125,-0.01025
2.0,0.16125,-0.02575
2.0,0.171625,-0.034625
2.0,0.1805,-0.034625
2.0,0.1805,-0.039875
2.0,0.17875,-0.048125
2.0,0.16875,-0.06
2.0,0.153125,-0.05875
2.0,0.13875,-0.04625
2.0,0.129875,-0.029
2.0,0.1225,-0.01375
2.0,0.1115,-0.005375
2.0,0.10425,-0.000125
2.0,0.10775,0.009125
2.0,0.119375,0.0205
2.0,0.135125,0.016875
2.0,0.149375,0.002875
2.0,0.158,-0.014375
2.0,0.1645,-0.014375
2.0,0.1645,-0.02875
2.0,0.175375,-0.036
2.0,0.181875,-0.04125
2.0,0.177125,-0.051375
2.0,0.164375,-0.061125
2.0,0.148875,-0.056375
2.0,0.136,-0.042
2.0,0.128125,-0.02475
2.0,0.12025,-0.010875
2.0,0.109125,-0.003875
2.0,0.104125,0.00175
2.0,0.110375,0.01275
2.0,0.12375,0.020875
2.0,0.14,0.014125
2.0,0.152,0.014125
2.0,0.152,-0.001625
2.0,0.159,-0.01875
2.0,0.16725,-0.031375
2.0,0.1785,-0.03725
2.0,0.1815,-0.043375
2.0,0.174375,-0.05525
2.0,0.160875,-0.061125
2.0,0.144875,-0.053375
2.0,0.13375,-0.03725
2.0,0.12625,-0.0205
2.0,0.11775,-0.0085
2.0,0.106625,-0.0025
2.0,0.104375,0.003875
2.0,0.112875,0.016125
2.0,0.112875,0.016125
2.0,0.1285,0.02
2.0,0.1435,0.010375
2.0,0.153625,-0.0065
2.0,0.160875,-0.02275
2.0,0.170625,-0.033375
2.0,0.180375,-0.038625
2.0,0.180875,-0.045875
2.0,0.171375,-0.058125
2.0,0.156375,-0.06025
2.0,0.141625,-0.049625
2.0,0.1315,-0.0325
2.0,0.124125,-0.016125
2.0,0.114875,-0.006625
2.0,0.104625,-0.001375
2.0,0.104625,-0.001375
2.0,0.105875,0.006625
2.0,0.116875,0.019
2.0,0.132875,0.018625
2.0,0.14675,0.006375
2.0,0.155875,-0.011125
2.0,0.16325,-0.026375
2.0,0.1735,-0.035
2.0,0.181875,-0.04025
2.0,0.17925,-0.048875
2.0,0.16775,-0.060125
2.0,0.15175,-0.058
2.0,0.138375,-0.045375
2.0,0.129625,-0.027875
2.0,0.12225,-0.013125
2.0,0.12225,-0.013125
2.0,0.11125,-0.005125
2.0,0.103625,0.000375
2.0,0.107875,0.01
2.0,0.121,0.02025
2.0,0.137125,0.016125
2.0,0.15025,0.00175
2.0,0.158,-0.015625
2.0,0.165375,-0.029375
2.0,0.17625,-0.036375
2.0,0.18275,-0.041875
2.0,0.17725,-0.052375
2.0,0.16325,-0.061125
2.0,0.14775,-0.055625
2.0,0.135375,-0.04075
2.0,0.135375,-0.04075
2.0,0.127625,-0.0235
2.0,0.119875,-0.010125
2.0,0.1085,-0.003625
2.0,0.104625,0.0025
2.0,0.111125,0.014
2.0,0.125625,0.02075
2.0,0.141,0.012875
2.0,0.152,-0.003
2.0,0.15975,-0.019875
2.0,0.16825,-0.031875
2.0,0.179375,-0.03775
2.0,0.181875,-0.044125
2.0,0.174125,-0.056125
2.0,0.159,-0.061
2.0,0.159,-0.061
2.0,0.144,-0.0525
2.0,0.133125,-0.035875
2.0,0.1255,-0.019125
2.0,0.116625,-0.007875
2.0,0.106375,-0.002125
2.0,0.10525,0.004875
2.0,0.114,0.017375
2.0,0.12975,0.01975
2.0,0.144625,0.00925
2.0,0.154375,-0.007875
2.0,0.162,-0.023875
2.0,0.171125,-0.033875
2.0,0.181125,-0.039125
2.0,0.180625,-0.046625
2.0,0.180625,-0.046625
2.0,0.170125,-0.059
2.0,0.155,-0.05975
2.0,0.141,-0.0485
2.0,0.131125,-0.03125
2.0,0.12325,-0.015375
2.0,0.113125,-0.006125
2.0,0.1045,-0.000625
2.0,0.1065,0.007625
2.0,0.118,0.019875
2.0,0.1345,0.017875
2.0,0.148,0.005
2.0,0.156375,-0.012375
2.0,0.163875,-0.027375
2.0,0.1745,-0.03525
2.0,0.1745,-0.03525
2.0,0.182,-0.040625
2.0,0.179125,-0.049875
2.0,0.166125,-0.061
2.0,0.150625,-0.057625
2.0,0.13725,-0.044125
2.0,0.128625,-0.0265
2.0,0.121375,-0.012
2.0,0.11025,-0.004625
2.0,0.104375,0.000875
2.0,0.109,0.01125
2.0,0.122375,0.020875
2.0,0.137875,0.015125
2.0,0.150625,0.000375
2.0,0.15925,-0.016875
2.0,0.15925,-0.016875
2.0,0.166125,-0.030375
2.0,0.17775,-0.036875
2.0,0.182375,-0.0425
2.0,0.175625,-0.0535
2.0,0.162,-0.0615
2.0,0.1465,-0.05475
2.0,0.135125,-0.039375
2.0,0.12675,-0.022125
2.0,0.118875,-0.00925
2.0,0.1075,-0.003
2.0,0.10425,0.003125
3.0,0.1065,-0.0455
3.0,0.11625,-0.02375
3.0,0.113125,-0.0105
3.0,0.10225,-0.004375
3.0,0.101125,0.002
3.0,0.10975,0.013875
3.0,0.125375,0.020375
3.0,0.141125,0.01225
3.0,0.141125,0.01225
3.0,0.152625,-0.003625
3.0,0.15975,-0.0205
3.0,0.168625,-0.032625
3.0,0.179125,-0.038125
3.0,0.18125,-0.04425
3.0,0.1725,-0.056625
3.0,0.15775,-0.061
3.0,0.143,-0.052125
3.0,0.132875,-0.0355
3.0,0.125,-0.019
3.0,0.116,-0.007875
3.0,0.105375,-0.002375
3.0,0.105,0.004625
3.0,0.11425,0.017125
3.0,0.11425,0.017125
3.0,0.130125,0.01925
3.0,0.14525,0.008625
3.0,0.15475,-0.0085
3.0,0.161625,-0.0245
3.0,0.171625,-0.03425
3.0,0.181375,-0.0395
3.0,0.179625,-0.046875
3.0,0.16975,-0.05925
3.0,0.154,-0.05975
3.0,0.1395,-0.048375
3.0,0.13025,-0.031125
3.0,0.123375,-0.015375
3.0,0.113,-0.00625
3.0,0.113,-0.00075
3.0,0.10425,-0.00075
3.0,0.106875,0.00775
3.0,0.1185,0.0195
3.0,0.1345,0.017625
3.0,0.147875,0.00425
3.0,0.15725,-0.013125
3.0,0.164125,-0.027875
3.0,0.175,-0.036
3.0,0.181875,-0.041125
3.0,0.178,-0.0505
3.0,0.1655,-0.061375
3.0,0.14975,-0.05775
3.0,0.13675,-0.044125
3.0,0.12875,-0.0265
3.0,0.12875,-0.012125
3.0,0.12075,-0.012125
3.0,0.10975,-0.004875
3.0,0.104,0.001
3.0,0.1095,0.01125
3.0,0.122375,0.0205
3.0,0.13875,0.014875
3.0,0.151375,-0.000125
3.0,0.158875,-0.017375
3.0,0.166625,-0.0305
3.0,0.178,-0.036875
3.0,0.181875,-0.042875
3.0,0.175125,-0.054
3.0,0.1615,-0.061625
3.0,0.146,-0.055
3.0,0.146,-0.039375
3.0,0.134375,-0.039375
3.0,0.126625,-0.022
3.0,0.118,-0.009375
3.0,0.107375,-0.00325
3.0,0.104875,0.002875
3.0,0.11225,0.014875
3.0,0.127125,0.020375
3.0,0.142625,0.011625
3.0,0.1535,-0.004875
3.0,0.1605,-0.0215
3.0,0.169875,-0.032875
3.0,0.179875,-0.038375
3.0,0.180875,-0.045
3.0,0.172125,-0.057125
3.0,0.172125,-0.060875
3.0,0.157125,-0.060875
3.0,0.142625,-0.051625
3.0,0.1325,-0.034625
3.0,0.124875,-0.01825
3.0,0.11525,-0.0075
3.0,0.105,-0.001625
3.0,0.10575,0.005875
3.0,0.11525,0.018125
3.0,0.13125,0.018875
3.0,0.146625,0.007625
3.0,0.15575,-0.00975
3.0,0.162625,-0.025375
3.0,0.172875,-0.034625
3.0,0.1815,-0.039875
3.0,0.1815,-0.048
3.0,0.179625,-0.048
3.0,0.168875,-0.060125
3.0,0.153,-0.0595
3.0,0.138625,-0.0475
3.0,0.12975,-0.02975
3.0,0.122,-0.01425
3.0,0.1115,-0.00575
3.0,0.104375,-0.00025
3.0,0.108,0.008875
3.0,0.120125,0.02
3.0,0.13575,0.016875
3.0,0.148875,0.003125
3.0,0.157375,-0.01425
3.0,0.1655,-0.02875
3.0,0.1655,-0.036125
3.0,0.176125,-0.036125
3.0,0.181875,-0.0415
3.0,0.17725,-0.051375
3.0,0.164,-0.061375
3.0,0.148875,-0.057
3.0,0.136,-0.042875
3.0,0.127875,-0.025125
3.0,0.120375,-0.011375
3.0,0.109125,-0.004375
3.0,0.105,0.0015
3.0,0.11,0.012375
3.0,0.1235,0.0205
3.0,0.139625,0.01375
3.0,0.151875,-0.001625
3.0,0.151875,-0.0185
3.0,0.159625,-0.0185
3.0,0.168125,-0.03125
3.0,0.17875,-0.0375
3.0,0.181375,-0.0435
3.0,0.1745,-0.055
3.0,0.16025,-0.061375
3.0,0.14475,-0.054125
3.0,0.133875,-0.037875
3.0,0.126375,-0.020875
3.0,0.117375,-0.008875
3.0,0.106125,-0.003
3.0,0.104875,0.0035
3.0,0.11325,0.015875
3.0,0.128625,0.019875
3.0,0.128625,0.010375
3.0,0.14375,0.010375
3.0,0.1535,-0.006125
3.0,0.16125,-0.022625
3.0,0.17075,-0.0335
3.0,0.180625,-0.038875
3.0,0.180875,-0.045625
3.0,0.171625,-0.05825
3.0,0.156125,-0.060625
3.0,0.141,-0.05025
3.0,0.13125,-0.033
3.0,0.124,-0.016875
3.0,0.114,-0.007
3.0,0.105125,-0.0015
3.0,0.10675,0.00625
3.0,0.10675,0.00625
3.0,0.117,0.01875
3.0,0.132625,0.018375
3.0,0.147,0.0065
3.0,0.156,-0.010875
3.0,0.163125,-0.026375
3.0,0.17425,-0.035125
3.0,0.181625,-0.040375
3.0,0.179,-0.04875
3.0,0.1675,-0.060375
3.0,0.151625,-0.058625
3.0,0.137375,-0.045875
4.0,0.124625,-0.0675
4.0,0.130875,-0.054625
4.0,0.12625,-0.037875
4.0,0.11975,-0.021
4.0,0.113875,-0.008875
4.0,0.104625,-0.003
4.0,0.104375,0.003375
4.0,0.104375,0.01575
4.0,0.113625,0.01575
4.0,0.128625,0.0195
4.0,0.143875,0.009875
4.0,0.154125,-0.006625
4.0,0.16125,-0.023125
4.0,0.17075,-0.03375
4.0,0.18,-0.039125
4.0,0.18025,-0.046125
4.0,0.17075,-0.05875
4.0,0.154875,-0.0605
4.0,0.140375,-0.049875
4.0,0.130625,-0.032875
4.0,0.12325,-0.01675
4.0,0.1135,-0.006875
4.0,0.1135,-0.001625
4.0,0.1045,-0.001625
4.0,0.106625,0.00625
4.0,0.1175,0.01875
4.0,0.133375,0.018
4.0,0.146875,0.005875
4.0,0.15625,-0.0115
4.0,0.163375,-0.026875
4.0,0.174125,-0.0355
4.0,0.18175,-0.040625
4.0,0.178875,-0.049125
4.0,0.167,-0.060875
4.0,0.151,-0.05875
4.0,0.137125,-0.046
4.0,0.12825,-0.02875
4.0,0.12825,-0.0135
4.0,0.12125,-0.0135
4.0,0.11,-0.005625
4.0,0.103875,-0.000125
4.0,0.1085,0.009625
4.0,0.121375,0.02025
4.0,0.138125,0.01575
4.0,0.150125,0.00125
4.0,0.15825,-0.015875
4.0,0.165625,-0.029875
4.0,0.177125,-0.03675
4.0,0.182,-0.04225
4.0,0.176,-0.052875
4.0,0.162625,-0.061875
4.0,0.1465,-0.05625
4.0,0.1465,-0.0415
4.0,0.134875,-0.0415
4.0,0.127375,-0.024
4.0,0.119375,-0.01075
4.0,0.10725,-0.00425
4.0,0.104375,0.00175
4.0,0.11125,0.0135
4.0,0.12575,0.020375
4.0,0.141375,0.01275
4.0,0.1525,-0.003375
4.0,0.16025,-0.02025
4.0,0.168875,-0.032375
4.0,0.17925,-0.038125
4.0,0.181125,-0.04425
4.0,0.17275,-0.05625
4.0,0.17275,-0.05625
4.0,0.158375,-0.0615
4.0,0.142875,-0.053125
4.0,0.132875,-0.036625
4.0,0.12525,-0.02
4.0,0.116125,-0.0085
4.0,0.105625,-0.002625
4.0,0.10475,0.004125
4.0,0.1145,0.016625
4.0,0.130375,0.01925
4.0,0.14475,0.009125
4.0,0.15475,-0.008
4.0,0.16175,-0.024125
4.0,0.17175,-0.034125
4.0,0.181,-0.0395
4.0,0.181,-0.0395
4.0,0.180125,-0.046875
4.0,0.169625,-0.059375
4.0,0.153625,-0.060375
4.0,0.1395,-0.0495
4.0,0.13075,-0.032
4.0,0.123625,-0.016125
4.0,0.112625,-0.00675
4.0,0.1045,-0.001375
4.0,0.106625,0.007125
4.0,0.1185,0.019125
4.0,0.134125,0.017625
4.0,0.148125,0.005
4.0,0.15725,-0.0125
4.0,0.16425,-0.02775
4.0,0.16425,-0.02775
4.0,0.1745,-0.035625
4.0,0.182,-0.041
4.0,0.178125,-0.050125
4.0,0.165625,-0.061125
4.0,0.15,-0.058375
4.0,0.1375,-0.044875
4.0,0.128625,-0.027125
4.0,0.121,-0.0125
4.0,0.1095,-0.005125
4.0,0.10375,0.0005
4.0,0.109375,0.01075
4.0,0.122625,0.02025
4.0,0.13825,0.01475
4.0,0.151125,0.000375
4.0,0.151125,0.000375
4.0,0.158875,-0.017125
4.0,0.1665,-0.030375
4.0,0.177875,-0.037
4.0,0.182625,-0.042625
4.0,0.175625,-0.053625
4.0,0.161125,-0.061875
4.0,0.145875,-0.0555
