#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-03-26 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# HWP     : 0
# cycles  : 1.0
# step    : 1.0
# samples : 169
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
0.0       0.139375  -0.059375 2024-03-26T17:56:20.875000
0.0       0.148875  -0.0635   2024-03-26T17:56:20.875000
0.0       0.14      -0.059125 2024-03-26T17:56:20.875000
0.0       0.12925   -0.0425   2024-03-26T17:56:20.875000
0.0       0.123625  -0.022625 2024-03-26T17:56:20.875000
0.0       0.116625  -0.009625 2024-03-26T17:56:20.875000
0.0       0.106125  -0.00275  2024-03-26T17:56:20.875000
0.0       0.101625  0.004     2024-03-26T17:56:20.875000
0.0       0.101625  0.004     2024-03-26T17:56:20.875000
0.0       0.108125  0.015375  2024-03-26T17:56:20.875000
0.0       0.124125  0.02325   2024-03-26T17:56:20.875000
0.0       0.141     0.017375  2024-03-26T17:56:20.875000
0.0       0.1525    -0.001125 2024-03-26T17:56:20.875000
0.0       0.160875  -0.019625 2024-03-26T17:56:20.875000
0.0       0.1695    -0.0315   2024-03-26T17:56:20.875000
0.0       0.180375  -0.03775  2024-03-26T17:56:20.875000
0.0       0.184375  -0.04475  2024-03-26T17:56:20.875000
0.0       0.17625   -0.0565   2024-03-26T17:56:20.875000
0.0       0.159125  -0.062875 2024-03-26T17:56:20.875000
0.0       0.143375  -0.055375 2024-03-26T17:56:20.875000
0.0       0.132625  -0.0365   2024-03-26T17:56:20.875000
0.0       0.124875  -0.018375 2024-03-26T17:56:20.875000
0.0       0.124875  -0.007375 2024-03-26T17:56:20.875000
0.0       0.11525   -0.007375 2024-03-26T17:56:20.875000
0.0       0.10475   -0.00125  2024-03-26T17:56:20.875000
0.0       0.1025    0.006375  2024-03-26T17:56:20.875000
0.0       0.11225   0.018625  2024-03-26T17:56:20.875000
0.0       0.129125  0.023125  2024-03-26T17:56:20.875000
0.0       0.1445    0.013125  2024-03-26T17:56:20.875000
0.0       0.15475   -0.0065   2024-03-26T17:56:20.875000
0.0       0.162     -0.023875 2024-03-26T17:56:20.875000
0.0       0.17325   -0.033375 2024-03-26T17:56:20.875000
0.0       0.182875  -0.0395   2024-03-26T17:56:20.875000
0.0       0.183375  -0.047375 2024-03-26T17:56:20.875000
0.0       0.172625  -0.059375 2024-03-26T17:56:20.875000
0.0       0.155125  -0.0625   2024-03-26T17:56:20.875000
0.0       0.14025   -0.051375 2024-03-26T17:56:20.875000
0.0       0.14025   -0.031375 2024-03-26T17:56:20.875000
0.0       0.130875  -0.031375 2024-03-26T17:56:20.875000
0.0       0.122875  -0.014625 2024-03-26T17:56:20.875000
0.0       0.111625  -0.005625 2024-03-26T17:56:20.875000
0.0       0.10225   0.0005    2024-03-26T17:56:20.875000
0.0       0.103625  0.0095    2024-03-26T17:56:20.875000
0.0       0.116125  0.02125   2024-03-26T17:56:20.875000
0.0       0.133625  0.02175   2024-03-26T17:56:20.875000
0.0       0.14875   0.00825   2024-03-26T17:56:20.875000
0.0       0.157625  -0.01175  2024-03-26T17:56:20.875000
0.0       0.165     -0.027125 2024-03-26T17:56:20.875000
0.0       0.175875  -0.035    2024-03-26T17:56:20.875000
0.0       0.184     -0.040875 2024-03-26T17:56:20.875000
0.0       0.18125   -0.050625 2024-03-26T17:56:20.875000
0.0       0.16825   -0.0615   2024-03-26T17:56:20.875000
0.0       0.16825   -0.0615   2024-03-26T17:56:20.875000
0.0       0.150625  -0.060875 2024-03-26T17:56:20.875000
0.0       0.137     -0.046125 2024-03-26T17:56:20.875000
0.0       0.12825   -0.026125 2024-03-26T17:56:20.875000
0.0       0.119875  -0.0115   2024-03-26T17:56:20.875000
0.0       0.108875  -0.003875 2024-03-26T17:56:20.875000
0.0       0.10225   0.002625  2024-03-26T17:56:20.875000
0.0       0.106875  0.013     2024-03-26T17:56:20.875000
0.0       0.1215    0.022875  2024-03-26T17:56:20.875000
0.0       0.138375  0.019375  2024-03-26T17:56:20.875000
0.0       0.15075   0.002875  2024-03-26T17:56:20.875000
0.0       0.159     -0.016625 2024-03-26T17:56:20.875000
0.0       0.16825   -0.029875 2024-03-26T17:56:20.875000
0.0       0.179     -0.0365   2024-03-26T17:56:20.875000
0.0       0.184375  -0.043    2024-03-26T17:56:20.875000
0.0       0.184375  -0.043    2024-03-26T17:56:20.875000
0.0       0.178625  -0.05425  2024-03-26T17:56:20.875000
0.0       0.1625    -0.062875 2024-03-26T17:56:20.875000
