#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-04-05 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# HWP     : 0
# cycles  : 1
# step    : 1
# samples : 169
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
0.0       1.730875  0.0       2024-04-05T20:25:54.133524
0.0       1.732625  -0.00025  2024-04-05T20:25:54.133524
0.0       1.7355    -0.000375 2024-04-05T20:25:54.133524
0.0       1.736625  -0.000375 2024-04-05T20:25:54.133524
0.0       1.736875  -0.000125 2024-04-05T20:25:54.133524
0.0       1.73625   0.0       2024-04-05T20:25:54.133524
0.0       1.7345    0.0       2024-04-05T20:25:54.133524
0.0       1.731625  -0.000125 2024-04-05T20:25:54.133524
0.0       1.731625  -0.000125 2024-04-05T20:25:54.133524
0.0       1.730125  -0.000125 2024-04-05T20:25:54.133524
0.0       1.732     -0.000125 2024-04-05T20:25:54.133524
0.0       1.7345    -0.000125 2024-04-05T20:25:54.133524
0.0       1.736625  0.0       2024-04-05T20:25:54.133524
0.0       1.73725   0.000125  2024-04-05T20:25:54.133524
0.0       1.735875  0.000125  2024-04-05T20:25:54.133524
0.0       1.73425   -0.000125 2024-04-05T20:25:54.133524
0.0       1.732125  -0.000375 2024-04-05T20:25:54.133524
0.0       1.73125   -0.00025  2024-04-05T20:25:54.133524
0.0       1.733125  -0.00025  2024-04-05T20:25:54.133524
0.0       1.736125  -0.00025  2024-04-05T20:25:54.133524
0.0       1.737375  -0.0005   2024-04-05T20:25:54.133524
0.0       1.73725   -0.000375 2024-04-05T20:25:54.133524
0.0       1.73575   -0.00025  2024-04-05T20:25:54.133524
0.0       1.733375  -0.00025  2024-04-05T20:25:54.133524
0.0       1.730875  -0.00025  2024-04-05T20:25:54.133524
0.0       1.730875  -0.00025  2024-04-05T20:25:54.133524
0.0       1.730375  -0.000125 2024-04-05T20:25:54.133524
0.0       1.732125  -0.000125 2024-04-05T20:25:54.133524
0.0       1.735     0.000125  2024-04-05T20:25:54.133524
0.0       1.737     0.0       2024-04-05T20:25:54.133524
0.0       1.737     0.0       2024-04-05T20:25:54.133524
0.0       1.7355    0.0       2024-04-05T20:25:54.133524
0.0       1.73325   0.0       2024-04-05T20:25:54.133524
0.0       1.73125   -0.000125 2024-04-05T20:25:54.133524
0.0       1.731625  -0.00025  2024-04-05T20:25:54.133524
0.0       1.734     -0.000375 2024-04-05T20:25:54.133524
0.0       1.736     -0.000375 2024-04-05T20:25:54.133524
0.0       1.737625  -0.00025  2024-04-05T20:25:54.133524
0.0       1.737     -0.00025  2024-04-05T20:25:54.133524
0.0       1.734625  -0.000125 2024-04-05T20:25:54.133524
0.0       1.73225   0.0       2024-04-05T20:25:54.133524
0.0       1.73225   0.0       2024-04-05T20:25:54.133524
0.0       1.730625  -0.000125 2024-04-05T20:25:54.133524
0.0       1.73075   -0.000375 2024-04-05T20:25:54.133524
0.0       1.73275   -0.000125 2024-04-05T20:25:54.133524
0.0       1.7355    -0.000125 2024-04-05T20:25:54.133524
0.0       1.737     0.0       2024-04-05T20:25:54.133524
0.0       1.7365    -0.000125 2024-04-05T20:25:54.133524
0.0       1.73475   -0.000125 2024-04-05T20:25:54.133524
0.0       1.7325    -0.000125 2024-04-05T20:25:54.133524
0.0       1.7305    -0.00025  2024-04-05T20:25:54.133524
0.0       1.732375  0.0       2024-04-05T20:25:54.133524
0.0       1.7355    -0.000375 2024-04-05T20:25:54.133524
0.0       1.737375  -0.000375 2024-04-05T20:25:54.133524
0.0       1.7375    -0.000125 2024-04-05T20:25:54.133524
0.0       1.736375  -0.00025  2024-04-05T20:25:54.133524
0.0       1.73475   -0.000375 2024-04-05T20:25:54.133524
0.0       1.73475   -0.000375 2024-04-05T20:25:54.133524
0.0       1.731875  -0.00025  2024-04-05T20:25:54.133524
0.0       1.730125  -0.00025  2024-04-05T20:25:54.133524
0.0       1.7315    -0.000125 2024-04-05T20:25:54.133524
0.0       1.734     0.0       2024-04-05T20:25:54.133524
0.0       1.736     0.0       2024-04-05T20:25:54.133524
0.0       1.736875  0.0       2024-04-05T20:25:54.133524
0.0       1.73625   -0.000125 2024-04-05T20:25:54.133524
0.0       1.7345    -0.000625 2024-04-05T20:25:54.133524
0.0       1.732     -0.000375 2024-04-05T20:25:54.133524
0.0       1.730875  -0.000375 2024-04-05T20:25:54.133524
0.0       1.733375  -0.00025  2024-04-05T20:25:54.133524
0.0       1.736     -0.00025  2024-04-05T20:25:54.133524
0.0       1.737125  -0.0005   2024-04-05T20:25:54.133524
0.0       1.736875  -0.00025  2024-04-05T20:25:54.133524
0.0       1.735625  0.0       2024-04-05T20:25:54.133524
0.0       1.735625  0.0       2024-04-05T20:25:54.133524
0.0       1.733625  -0.00025  2024-04-05T20:25:54.133524
0.0       1.730875  -0.00025  2024-04-05T20:25:54.133524
0.0       1.730375  -0.000125 2024-04-05T20:25:54.133524
0.0       1.732125  0.0       2024-04-05T20:25:54.133524
0.0       1.7345    0.0       2024-04-05T20:25:54.133524
0.0       1.736375  -0.000375 2024-04-05T20:25:54.133524
0.0       1.737     -0.000625 2024-04-05T20:25:54.133524
0.0       1.736     -0.000125 2024-04-05T20:25:54.133524
0.0       1.73375   -0.000125 2024-04-05T20:25:54.133524
0.0       1.7315    -0.000125 2024-04-05T20:25:54.133524
0.0       1.73175   -0.00025  2024-04-05T20:25:54.133524
0.0       1.734125  -0.00025  2024-04-05T20:25:54.133524
0.0       1.736625  -0.00025  2024-04-05T20:25:54.133524
0.0       1.73725   -0.000125 2024-04-05T20:25:54.133524
0.0       1.7365    0.0       2024-04-05T20:25:54.133524
0.0       1.7365    0.0       2024-04-05T20:25:54.133524
0.0       1.735125  0.0       2024-04-05T20:25:54.133524
0.0       1.732875  -0.000125 2024-04-05T20:25:54.133524
0.0       1.7305    -0.000125 2024-04-05T20:25:54.133524
0.0       1.730375  -0.000125 2024-04-05T20:25:54.133524
0.0       1.7325    -0.000125 2024-04-05T20:25:54.133524
0.0       1.73525   -0.000125 2024-04-05T20:25:54.133524
0.0       1.737     -0.00025  2024-04-05T20:25:54.133524
0.0       1.737     -0.0005   2024-04-05T20:25:54.133524
0.0       1.7355    -0.000375 2024-04-05T20:25:54.133524
0.0       1.733     -0.00025  2024-04-05T20:25:54.133524
0.0       1.731125  -0.000125 2024-04-05T20:25:54.133524
0.0       1.73225   -0.00025  2024-04-05T20:25:54.133524
0.0       1.735     -0.00025  2024-04-05T20:25:54.133524
0.0       1.736625  -0.000125 2024-04-05T20:25:54.133524
0.0       1.737125  -0.000125 2024-04-05T20:25:54.133524
0.0       1.736125  -0.000375 2024-04-05T20:25:54.133524
0.0       1.736125  -0.000375 2024-04-05T20:25:54.133524
0.0       1.7345    -0.000375 2024-04-05T20:25:54.133524
0.0       1.732375  -0.00025  2024-04-05T20:25:54.133524
0.0       1.730625  -0.000125 2024-04-05T20:25:54.133524
0.0       1.73125   -0.00025  2024-04-05T20:25:54.133524
0.0       1.7335    0.0       2024-04-05T20:25:54.133524
0.0       1.735625  0.0       2024-04-05T20:25:54.133524
0.0       1.737375  -0.00025  2024-04-05T20:25:54.133524
0.0       1.736625  -0.00025  2024-04-05T20:25:54.133524
0.0       1.73475   -0.000375 2024-04-05T20:25:54.133524
0.0       1.732125  -0.00025  2024-04-05T20:25:54.133524
0.0       1.731125  -0.000375 2024-04-05T20:25:54.133524
0.0       1.73325   -0.00025  2024-04-05T20:25:54.133524
