#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-04-14 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# HWP     : 0
# cycles  : 1
# step    : 1
# samples : 169
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
0.0       1.745     None      2024-04-14T03:55:46.204482
0.0       1.742375  None      2024-04-14T03:55:46.204482
0.0       1.739125  None      2024-04-14T03:55:46.204482
0.0       1.73625   None      2024-04-14T03:55:46.204482
0.0       1.736125  None      2024-04-14T03:55:46.204482
0.0       1.739875  None      2024-04-14T03:55:46.204482
0.0       1.74675   None      2024-04-14T03:55:46.204482
0.0       1.75075   None      2024-04-14T03:55:46.204482
0.0       1.75      None      2024-04-14T03:55:46.204482
0.0       1.74625   None      2024-04-14T03:55:46.204482
0.0       1.74625   None      2024-04-14T03:55:46.204482
0.0       1.740625  None      2024-04-14T03:55:46.204482
0.0       1.736125  None      2024-04-14T03:55:46.204482
0.0       1.73575   None      2024-04-14T03:55:46.204482
0.0       1.739625  None      2024-04-14T03:55:46.204482
0.0       1.743875  None      2024-04-14T03:55:46.204482
0.0       1.745625  None      2024-04-14T03:55:46.204482
0.0       1.74475   None      2024-04-14T03:55:46.204482
0.0       1.7415    None      2024-04-14T03:55:46.204482
0.0       1.7385    None      2024-04-14T03:55:46.204482
0.0       1.736625  None      2024-04-14T03:55:46.204482
0.0       1.73675   None      2024-04-14T03:55:46.204482
0.0       1.741625  None      2024-04-14T03:55:46.204482
0.0       1.748375  None      2024-04-14T03:55:46.204482
0.0       1.750875  None      2024-04-14T03:55:46.204482
0.0       1.749375  None      2024-04-14T03:55:46.204482
0.0       1.749375  None      2024-04-14T03:55:46.204482
0.0       1.745375  None      2024-04-14T03:55:46.204482
0.0       1.73925   None      2024-04-14T03:55:46.204482
0.0       1.735875  None      2024-04-14T03:55:46.204482
0.0       1.736625  None      2024-04-14T03:55:46.204482
0.0       1.741375  None      2024-04-14T03:55:46.204482
0.0       1.744875  None      2024-04-14T03:55:46.204482
0.0       1.7455    None      2024-04-14T03:55:46.204482
0.0       1.743875  None      2024-04-14T03:55:46.204482
0.0       1.740625  None      2024-04-14T03:55:46.204482
0.0       1.737625  None      2024-04-14T03:55:46.204482
0.0       1.73625   None      2024-04-14T03:55:46.204482
0.0       1.737875  None      2024-04-14T03:55:46.204482
0.0       1.743875  None      2024-04-14T03:55:46.204482
0.0       1.74975   None      2024-04-14T03:55:46.204482
0.0       1.7505    None      2024-04-14T03:55:46.204482
0.0       1.7505    None      2024-04-14T03:55:46.204482
0.0       1.748375  None      2024-04-14T03:55:46.204482
0.0       1.74325   None      2024-04-14T03:55:46.204482
0.0       1.737625  None      2024-04-14T03:55:46.204482
0.0       1.736125  None      2024-04-14T03:55:46.204482
0.0       1.738125  None      2024-04-14T03:55:46.204482
0.0       1.74225   None      2024-04-14T03:55:46.204482
0.0       1.745     None      2024-04-14T03:55:46.204482
0.0       1.745375  None      2024-04-14T03:55:46.204482
0.0       1.74275   None      2024-04-14T03:55:46.204482
0.0       1.739625  None      2024-04-14T03:55:46.204482
0.0       1.737125  None      2024-04-14T03:55:46.204482
0.0       1.736125  None      2024-04-14T03:55:46.204482
0.0       1.739     None      2024-04-14T03:55:46.204482
0.0       1.74575   None      2024-04-14T03:55:46.204482
