ANGLE,CH0,CH1
0.0,None,2.152375
0.0,None,2.152625
0.0,None,2.153125
0.0,None,2.152875
0.0,None,2.152875
0.0,None,2.152875
0.0,None,2.153125
0.0,None,2.153125
0.0,None,2.153375
0.0,None,2.153625
0.0,None,2.1535
0.0,None,2.15325
0.0,None,2.15275
0.0,None,2.152625
0.0,None,2.153
0.0,None,2.152875
0.0,None,2.1525
0.0,None,2.152375
0.0,None,2.15275
0.0,None,2.15275
0.0,None,2.15275
0.0,None,2.152625
0.0,None,2.153
0.0,None,2.153
0.0,None,2.153125
0.0,None,2.153625
0.0,None,2.15375
0.0,None,2.15375
0.0,None,2.15325
0.0,None,2.15275
0.0,None,2.152625
0.0,None,2.15275
0.0,None,2.152625
0.0,None,2.152375
0.0,None,2.1525
0.0,None,2.153
0.0,None,2.153
0.0,None,2.153125
0.0,None,2.152875
0.0,None,2.153
0.0,None,2.153125
0.0,None,2.15325
0.0,None,2.153625
0.0,None,2.15375
0.0,None,2.1535
0.0,None,2.152875
0.0,None,2.152375
0.0,None,2.152625
0.0,None,2.152875
0.0,None,2.152625
0.0,None,2.1525
0.0,None,2.152625
0.0,None,2.152625
0.0,None,2.152875
0.0,None,2.153
0.0,None,2.153
0.0,None,2.15325
0.0,None,2.153125
0.0,None,2.153375
0.0,None,2.15375
0.0,None,2.15375
0.0,None,2.153375
0.0,None,2.152625
0.0,None,2.1525
0.0,None,2.15275
0.0,None,2.152875
0.0,None,2.1525
0.0,None,2.15225
0.0,None,2.15225
0.0,None,2.152625
0.0,None,2.152875
0.0,None,2.1525
0.0,None,2.152875
0.0,None,2.153125
0.0,None,2.153125
0.0,None,2.153625
0.0,None,2.153875
0.0,None,2.153625
0.0,None,2.15325
0.0,None,2.15275
0.0,None,2.15275
0.0,None,2.153
0.0,None,2.152875
0.0,None,2.1525
0.0,None,2.1525
0.0,None,2.1525
0.0,None,2.152875
0.0,None,2.153
0.0,None,2.153
0.0,None,2.153
0.0,None,2.153125
0.0,None,2.153375
0.0,None,2.153875
0.0,None,2.153875
0.0,None,2.153625
0.0,None,2.15325
0.0,None,2.152875
0.0,None,2.152625
0.0,None,2.152875
0.0,None,2.152625
0.0,None,2.15225
0.0,None,2.15225
0.0,None,2.152375
0.0,None,2.15325
0.0,None,2.152875
0.0,None,2.152625
0.0,None,2.153
0.0,None,2.153
0.0,None,2.153125
0.0,None,2.15375
0.0,None,2.15375
0.0,None,2.15325
0.0,None,2.152875
0.0,None,2.152625
0.0,None,2.153
0.0,None,2.152875
0.0,None,2.152625
0.0,None,2.152625
0.0,None,2.15225
0.0,None,2.152625
0.0,None,2.15275
0.0,None,2.15275
0.0,None,2.152875
0.0,None,2.15325
0.0,None,2.15325
0.0,None,2.1535
0.0,None,2.154
0.0,None,2.15375
0.0,None,2.15325
0.0,None,2.152625
0.0,None,2.15275
0.0,None,2.152875
0.0,None,2.15275
0.0,None,2.15275
0.0,None,2.152375
0.0,None,2.1525
0.0,None,2.152875
0.0,None,2.153
0.0,None,2.15275
0.0,None,2.152875
0.0,None,2.153125
0.0,None,2.15325
0.0,None,2.153625
0.0,None,2.15375
0.0,None,2.15325
0.0,None,2.153
0.0,None,2.152375
0.0,None,2.152625
0.0,None,2.15275
0.0,None,2.15275
0.0,None,2.1525
0.0,None,2.15225
0.0,None,2.15225
0.0,None,2.15275
0.0,None,2.15275
0.0,None,2.152375
0.0,None,2.15275
0.0,None,2.153125
0.0,None,2.153375
0.0,None,2.15375
0.0,None,2.153875
0.0,None,2.153625
0.0,None,2.153
0.0,None,2.1525
0.0,None,2.15275
0.0,None,2.15275
0.0,None,2.153
0.0,None,2.152625
0.0,None,2.152375
1.0,None,2.188125
1.0,None,2.18825
1.0,None,2.188375
1.0,None,2.188375
1.0,None,2.18875
1.0,None,2.189
1.0,None,2.18875
1.0,None,2.18875
1.0,None,2.188375
1.0,None,2.187625
1.0,None,2.187875
1.0,None,2.188125
1.0,None,2.188
1.0,None,2.187625
1.0,None,2.187625
1.0,None,2.18825
1.0,None,2.18825
1.0,None,2.188125
1.0,None,2.1885
1.0,None,2.188375
1.0,None,2.1885
1.0,None,2.18875
1.0,None,2.18875
1.0,None,2.18875
1.0,None,2.1885
1.0,None,2.18825
1.0,None,2.18775
1.0,None,2.188
1.0,None,2.18825
1.0,None,2.188125
1.0,None,2.18775
1.0,None,2.18775
1.0,None,2.188
1.0,None,2.188125
1.0,None,2.188125
1.0,None,2.188375
1.0,None,2.188375
1.0,None,2.18875
1.0,None,2.18925
1.0,None,2.18925
1.0,None,2.189125
1.0,None,2.188875
1.0,None,2.18825
1.0,None,2.18775
1.0,None,2.188
1.0,None,2.188125
1.0,None,2.187875
1.0,None,2.187625
1.0,None,2.187875
1.0,None,2.18825
1.0,None,2.18825
1.0,None,2.18825
1.0,None,2.188375
1.0,None,2.188375
1.0,None,2.18875
1.0,None,2.18875
1.0,None,2.189125
1.0,None,2.188875
1.0,None,2.188625
1.0,None,2.188
1.0,None,2.187875
1.0,None,2.188
1.0,None,2.188
1.0,None,2.18775
1.0,None,2.187625
1.0,None,2.188
1.0,None,2.188375
1.0,None,2.188
1.0,None,2.188125
1.0,None,2.188375
1.0,None,2.188375
1.0,None,2.188375
1.0,None,2.188875
1.0,None,2.18925
1.0,None,2.189
1.0,None,2.1885
1.0,None,2.188
1.0,None,2.18825
1.0,None,2.18825
1.0,None,2.188
1.0,None,2.187625
1.0,None,2.18775
1.0,None,2.18825
1.0,None,2.188125
1.0,None,2.188
1.0,None,2.188375
1.0,None,2.188375
1.0,None,2.188625
1.0,None,2.188625
1.0,None,2.189125
1.0,None,2.189125
1.0,None,2.189
1.0,None,2.1885
1.0,None,2.188
1.0,None,2.188125
1.0,None,2.188125
1.0,None,2.188
1.0,None,2.1875
1.0,None,2.18775
1.0,None,2.188375
1.0,None,2.188375
1.0,None,2.188
1.0,None,2.18825
1.0,None,2.188375
1.0,None,2.188375
1.0,None,2.1885
1.0,None,2.189125
1.0,None,2.189125
1.0,None,2.188625
1.0,None,2.188125
1.0,None,2.187875
1.0,None,2.188125
1.0,None,2.188125
1.0,None,2.187625
1.0,None,2.187625
1.0,None,2.188
1.0,None,2.18825
1.0,None,2.18825
1.0,None,2.188125
1.0,None,2.1885
1.0,None,2.1885
1.0,None,2.188375
1.0,None,2.188875
1.0,None,2.18925
1.0,None,2.188875
1.0,None,2.1885
1.0,None,2.187875
1.0,None,2.187875
1.0,None,2.188
1.0,None,2.188
1.0,None,2.187875
1.0,None,2.187625
1.0,None,2.188
1.0,None,2.18825
1.0,None,2.188125
1.0,None,2.1885
1.0,None,2.1885
1.0,None,2.1885
1.0,None,2.1885
1.0,None,2.188875
1.0,None,2.189125
1.0,None,2.18875
1.0,None,2.18825
1.0,None,2.187875
1.0,None,2.188
1.0,None,2.188125
1.0,None,2.188
1.0,None,2.1875
1.0,None,2.18775
1.0,None,2.188125
1.0,None,2.18825
1.0,None,2.18825
1.0,None,2.18825
1.0,None,2.1885
1.0,None,2.1885
1.0,None,2.18875
1.0,None,2.189
1.0,None,2.189125
1.0,None,2.1885
1.0,None,2.188
1.0,None,2.18775
1.0,None,2.188
1.0,None,2.18825
1.0,None,2.188
1.0,None,2.18775
1.0,None,2.188125
1.0,None,2.188375
1.0,None,2.188375
1.0,None,2.18825
2.0,None,2.222875
2.0,None,2.223375
2.0,None,2.2235
2.0,None,2.223125
2.0,None,2.222625
2.0,None,2.222625
2.0,None,2.222875
2.0,None,2.223375
2.0,None,2.22325
2.0,None,2.22325
2.0,None,2.223625
2.0,None,2.223625
2.0,None,2.224
2.0,None,2.224375
2.0,None,2.22425
2.0,None,2.22375
2.0,None,2.223
2.0,None,2.222875
2.0,None,2.223125
2.0,None,2.22325
2.0,None,2.22275
2.0,None,2.22275
2.0,None,2.222875
2.0,None,2.223125
2.0,None,2.223375
2.0,None,2.22325
2.0,None,2.223375
2.0,None,2.2235
2.0,None,2.223625
2.0,None,2.224
2.0,None,2.224375
2.0,None,2.22425
2.0,None,2.22375
2.0,None,2.22325
2.0,None,2.223125
2.0,None,2.223375
2.0,None,2.223375
2.0,None,2.223375
2.0,None,2.222875
2.0,None,2.22275
2.0,None,2.223375
2.0,None,2.223375
2.0,None,2.223375
2.0,None,2.2235
2.0,None,2.223625
2.0,None,2.22375
2.0,None,2.224125
2.0,None,2.224375
2.0,None,2.224125
2.0,None,2.2235
2.0,None,2.222875
2.0,None,2.223125
2.0,None,2.22325
2.0,None,2.22325
2.0,None,2.223
2.0,None,2.22275
2.0,None,2.222625
2.0,None,2.22325
2.0,None,2.223
2.0,None,2.223125
2.0,None,2.2235
2.0,None,2.223625
2.0,None,2.22375
2.0,None,2.224375
2.0,None,2.224125
2.0,None,2.22375
2.0,None,2.223125
2.0,None,2.22275
2.0,None,2.223125
2.0,None,2.223375
2.0,None,2.223375
2.0,None,2.22325
2.0,None,2.22275
2.0,None,2.222875
2.0,None,2.223375
2.0,None,2.223375
2.0,None,2.223625
2.0,None,2.223625
2.0,None,2.223625
2.0,None,2.223875
2.0,None,2.22425
2.0,None,2.224125
2.0,None,2.223625
2.0,None,2.22325
2.0,None,2.22325
2.0,None,2.223625
2.0,None,2.223625
2.0,None,2.2235
2.0,None,2.223
2.0,None,2.22275
2.0,None,2.223
2.0,None,2.223375
2.0,None,2.22325
2.0,None,2.22325
2.0,None,2.2235
2.0,None,2.223625
2.0,None,2.224125
2.0,None,2.22425
2.0,None,2.224125
2.0,None,2.223625
2.0,None,2.222875
2.0,None,2.223125
2.0,None,2.223125
2.0,None,2.2235
2.0,None,2.22325
2.0,None,2.223
2.0,None,2.22325
2.0,None,2.223375
2.0,None,2.223375
2.0,None,2.22325
2.0,None,2.2235
2.0,None,2.2235
2.0,None,2.223625
2.0,None,2.224
2.0,None,2.224
2.0,None,2.223625
2.0,None,2.223125
2.0,None,2.223
2.0,None,2.223
2.0,None,2.223125
2.0,None,2.22325
2.0,None,2.223125
2.0,None,2.22275
2.0,None,2.223
2.0,None,2.22325
2.0,None,2.223125
2.0,None,2.22325
2.0,None,2.2235
2.0,None,2.223625
2.0,None,2.223875
2.0,None,2.224375
2.0,None,2.22425
2.0,None,2.223875
2.0,None,2.223125
2.0,None,2.223125
2.0,None,2.223
2.0,None,2.22325
2.0,None,2.22325
2.0,None,2.222875
2.0,None,2.22275
2.0,None,2.223125
2.0,None,2.22325
2.0,None,2.223375
2.0,None,2.223375
2.0,None,2.223625
2.0,None,2.223625
2.0,None,2.224
2.0,None,2.22425
2.0,None,2.224
2.0,None,2.22375
2.0,None,2.22375
2.0,None,2.223125
2.0,None,2.223125
2.0,None,2.223375
2.0,None,2.223125
2.0,None,2.222875
2.0,None,2.222625
2.0,None,2.223
2.0,None,2.2235
2.0,None,2.22325
2.0,None,2.223375
2.0,None,2.223375
2.0,None,2.223625
2.0,None,2.224
2.0,None,2.224
2.0,None,2.22375
2.0,None,2.22325
2.0,None,2.22325
2.0,None,2.222875
3.0,None,2.257375
3.0,None,2.25725
3.0,None,2.257375
3.0,None,2.257875
3.0,None,2.257875
3.0,None,2.25775
3.0,None,2.257125
3.0,None,2.257125
3.0,None,2.25675
3.0,None,2.257
3.0,None,2.257125
3.0,None,2.256875
3.0,None,2.256625
3.0,None,2.25675
3.0,None,2.257125
3.0,None,2.257
3.0,None,2.257125
3.0,None,2.257375
3.0,None,2.2575
3.0,None,2.25775
3.0,None,2.258125
3.0,None,2.257875
3.0,None,2.257625
3.0,None,2.257625
3.0,None,2.256875
3.0,None,2.256625
3.0,None,2.257125
3.0,None,2.25725
3.0,None,2.25675
3.0,None,2.256625
3.0,None,2.257125
3.0,None,2.257375
3.0,None,2.257125
3.0,None,2.257125
3.0,None,2.25725
3.0,None,2.257375
3.0,None,2.25775
3.0,None,2.258125
3.0,None,2.258
3.0,None,2.25775
3.0,None,2.25775
3.0,None,2.256875
3.0,None,2.256625
3.0,None,2.25725
3.0,None,2.257125
3.0,None,2.25675
3.0,None,2.25675
3.0,None,2.257
3.0,None,2.25725
3.0,None,2.25725
3.0,None,2.2575
3.0,None,2.2575
3.0,None,2.2575
3.0,None,2.258125
3.0,None,2.258125
3.0,None,2.25775
3.0,None,2.25775
3.0,None,2.257375
3.0,None,2.256875
3.0,None,2.257
3.0,None,2.257125
3.0,None,2.256875
3.0,None,2.2565
3.0,None,2.25675
3.0,None,2.257125
3.0,None,2.25725
3.0,None,2.25725
3.0,None,2.257375
3.0,None,2.257375
3.0,None,2.2575
3.0,None,2.258
3.0,None,2.258125
3.0,None,2.258125
3.0,None,2.258
3.0,None,2.257125
3.0,None,2.2565
3.0,None,2.25675
