ANGLE,CH0,CH1
0.0,3.562375,0.729875
0.0,3.562125,0.7295
0.0,3.561875,0.729625
0.0,3.56175,0.72975
0.0,3.563,0.729875
0.0,3.56375,0.73
0.0,3.563375,0.729875
0.0,3.563,0.72975
0.0,3.563,0.72975
0.0,3.56275,0.7295
0.0,3.562375,0.729625
0.0,3.56325,0.729625
0.0,3.564625,0.729375
0.0,3.565125,0.7295
0.0,3.56475,0.729625
0.0,3.563375,0.729625
0.0,3.562375,0.729375
0.0,3.562125,0.72975
0.0,3.562125,0.72975
0.0,3.561875,0.729875
0.0,3.562,0.72975
0.0,3.563,0.729875
0.0,3.56375,0.73
0.0,3.56325,0.729875
0.0,3.563,0.729875
0.0,3.563,0.7295
0.0,3.5625,0.729375
0.0,3.562375,0.7295
0.0,3.564,0.729625
0.0,3.565,0.7295
0.0,3.56475,0.729375
0.0,3.564,0.7295
0.0,3.562875,0.72975
0.0,3.562625,0.729625
0.0,3.562125,0.72975
0.0,3.56225,0.72975
0.0,3.562,0.72975
0.0,3.5625,0.729875
0.0,3.563625,0.730125
0.0,3.564,0.730125
0.0,3.563375,0.729625
0.0,3.563375,0.729625
0.0,3.562875,0.729375
0.0,3.56275,0.7295
0.0,3.562875,0.7295
0.0,3.56375,0.729625
0.0,3.564375,0.7295
0.0,3.564375,0.729375
0.0,3.5635,0.729625
0.0,3.562625,0.729625
0.0,3.5625,0.729625
0.0,3.5625,0.729875
0.0,3.561875,0.729875
0.0,3.561625,0.729875
0.0,3.562875,0.73
0.0,3.563875,0.729875
0.0,3.563375,0.73
0.0,3.563375,0.73
0.0,3.562875,0.729625
0.0,3.563,0.7295
0.0,3.562625,0.7295
0.0,3.563375,0.7295
0.0,3.56475,0.729375
0.0,3.565,0.729125
0.0,3.564625,0.729375
0.0,3.563625,0.729875
0.0,3.56275,0.72975
0.0,3.562375,0.72975
0.0,3.562125,0.72975
0.0,3.561625,0.729625
0.0,3.562125,0.729875
0.0,3.563,0.730125
0.0,3.56375,0.730375
0.0,3.56375,0.730375
0.0,3.56375,0.730125
0.0,3.56325,0.729875
0.0,3.563,0.729625
0.0,3.56275,0.729625
0.0,3.5635,0.72975
0.0,3.565,0.729625
0.0,3.565,0.7295
0.0,3.563875,0.7295
0.0,3.562875,0.72975
0.0,3.562625,0.72975
0.0,3.5625,0.729625
0.0,3.562125,0.729875
0.0,3.56175,0.729875
0.0,3.562125,0.729875
0.0,3.563625,0.729875
0.0,3.56375,0.729625
0.0,3.56375,0.729625
0.0,3.56325,0.7295
0.0,3.56325,0.729625
0.0,3.5625,0.72975
0.0,3.5625,0.729625
0.0,3.56425,0.7295
0.0,3.564875,0.729625
0.0,3.564375,0.72925
0.0,3.563875,0.729125
0.0,3.563125,0.7295
0.0,3.5625,0.7295
0.0,3.56275,0.72975
0.0,3.562,0.72975
0.0,3.561625,0.72975
0.0,3.562375,0.729875
0.0,3.5635,0.729875
0.0,3.5635,0.729875
0.0,3.563375,0.729875
0.0,3.56325,0.73
0.0,3.563,0.729625
0.0,3.562625,0.72975
0.0,3.56325,0.72975
0.0,3.564375,0.729625
0.0,3.564375,0.7295
0.0,3.563875,0.729375
0.0,3.56325,0.72975
0.0,3.563,0.729625
0.0,3.562875,0.729625
0.0,3.562625,0.729875
0.0,3.56225,0.72975
0.0,3.562125,0.729875
0.0,3.56325,0.73
0.0,3.56325,0.73
0.0,3.564,0.73
0.0,3.56375,0.73
0.0,3.5635,0.72975
0.0,3.563,0.729625
0.0,3.5625,0.729625
0.0,3.5635,0.7295
0.0,3.564375,0.7295
0.0,3.56475,0.729375
0.0,3.563875,0.729375
0.0,3.563,0.72975
0.0,3.56275,0.729875
0.0,3.562625,0.72975
0.0,3.5625,0.72975
0.0,3.561875,0.729625
0.0,3.562125,0.72975
0.0,3.562125,0.72975
0.0,3.563125,0.73
0.0,3.563625,0.73
0.0,3.563,0.729625
0.0,3.563,0.7295
0.0,3.562625,0.7295
0.0,3.56275,0.729625
0.0,3.56425,0.72975
0.0,3.565,0.7295
0.0,3.56475,0.7295
0.0,3.563875,0.729375
0.0,3.562875,0.729625
0.0,3.562,0.729625
0.0,3.56225,0.729875
0.0,3.561875,0.729875
0.0,3.561625,0.729625
0.0,3.562375,0.729625
0.0,3.562375,0.72975
0.0,3.563625,0.730125
0.0,3.56375,0.73025
0.0,3.562875,0.729875
0.0,3.562875,0.729625
0.0,3.563,0.729625
0.0,3.563125,0.729625
0.0,3.5645,0.729625
0.0,3.565125,0.7295
0.0,3.5645,0.729375
0.0,3.563625,0.729625
0.0,3.562625,0.72975
0.0,3.562375,0.729625
0.0,3.562125,0.72975
1.0,3.56275,0.681375
1.0,3.5625,0.6815
1.0,3.562125,0.681625
1.0,3.56175,0.6815
1.0,3.561375,0.681625
1.0,3.56175,0.68175
1.0,3.563,0.681875
1.0,3.563375,0.68175
1.0,3.563375,0.68175
1.0,3.56275,0.6815
1.0,3.563,0.681375
1.0,3.56325,0.681375
1.0,3.5635,0.6815
1.0,3.564625,0.68125
1.0,3.565,0.68125
1.0,3.5645,0.681375
1.0,3.56375,0.681625
1.0,3.56275,0.6815
1.0,3.56225,0.681625
1.0,3.561875,0.6815
1.0,3.561375,0.6815
1.0,3.561875,0.6815
