#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-04-30 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# HWP     : 0
# cycles  : 1
# step    : 1
# samples : 169
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
0.0       3.562375  0.729875  2024-04-30T14:04:30.394834
0.0       3.562125  0.7295    2024-04-30T14:04:30.394834
0.0       3.561875  0.729625  2024-04-30T14:04:30.394834
0.0       3.56175   0.72975   2024-04-30T14:04:30.394834
0.0       3.563     0.729875  2024-04-30T14:04:30.394834
0.0       3.56375   0.73      2024-04-30T14:04:30.394834
0.0       3.563375  0.729875  2024-04-30T14:04:30.394834
0.0       3.563     0.72975   2024-04-30T14:04:30.394834
0.0       3.563     0.72975   2024-04-30T14:04:30.394834
0.0       3.56275   0.7295    2024-04-30T14:04:30.394834
0.0       3.562375  0.729625  2024-04-30T14:04:30.394834
0.0       3.56325   0.729625  2024-04-30T14:04:30.394834
0.0       3.564625  0.729375  2024-04-30T14:04:30.394834
0.0       3.565125  0.7295    2024-04-30T14:04:30.394834
0.0       3.56475   0.729625  2024-04-30T14:04:30.394834
0.0       3.563375  0.729625  2024-04-30T14:04:30.394834
0.0       3.562375  0.729375  2024-04-30T14:04:30.394834
0.0       3.562125  0.72975   2024-04-30T14:04:30.394834
0.0       3.562125  0.72975   2024-04-30T14:04:30.394834
0.0       3.561875  0.729875  2024-04-30T14:04:30.394834
0.0       3.562     0.72975   2024-04-30T14:04:30.394834
0.0       3.563     0.729875  2024-04-30T14:04:30.394834
0.0       3.56375   0.73      2024-04-30T14:04:30.394834
0.0       3.56325   0.729875  2024-04-30T14:04:30.394834
0.0       3.563     0.729875  2024-04-30T14:04:30.394834
0.0       3.563     0.7295    2024-04-30T14:04:30.394834
0.0       3.5625    0.729375  2024-04-30T14:04:30.394834
0.0       3.562375  0.7295    2024-04-30T14:04:30.394834
0.0       3.564     0.729625  2024-04-30T14:04:30.394834
0.0       3.565     0.7295    2024-04-30T14:04:30.394834
0.0       3.56475   0.729375  2024-04-30T14:04:30.394834
0.0       3.564     0.7295    2024-04-30T14:04:30.394834
0.0       3.562875  0.72975   2024-04-30T14:04:30.394834
0.0       3.562625  0.729625  2024-04-30T14:04:30.394834
0.0       3.562125  0.72975   2024-04-30T14:04:30.394834
0.0       3.56225   0.72975   2024-04-30T14:04:30.394834
0.0       3.562     0.72975   2024-04-30T14:04:30.394834
0.0       3.5625    0.729875  2024-04-30T14:04:30.394834
0.0       3.563625  0.730125  2024-04-30T14:04:30.394834
0.0       3.564     0.730125  2024-04-30T14:04:30.394834
0.0       3.563375  0.729625  2024-04-30T14:04:30.394834
0.0       3.563375  0.729625  2024-04-30T14:04:30.394834
0.0       3.562875  0.729375  2024-04-30T14:04:30.394834
0.0       3.56275   0.7295    2024-04-30T14:04:30.394834
0.0       3.562875  0.7295    2024-04-30T14:04:30.394834
0.0       3.56375   0.729625  2024-04-30T14:04:30.394834
0.0       3.564375  0.7295    2024-04-30T14:04:30.394834
0.0       3.564375  0.729375  2024-04-30T14:04:30.394834
0.0       3.5635    0.729625  2024-04-30T14:04:30.394834
0.0       3.562625  0.729625  2024-04-30T14:04:30.394834
0.0       3.5625    0.729625  2024-04-30T14:04:30.394834
0.0       3.5625    0.729875  2024-04-30T14:04:30.394834
0.0       3.561875  0.729875  2024-04-30T14:04:30.394834
0.0       3.561625  0.729875  2024-04-30T14:04:30.394834
0.0       3.562875  0.73      2024-04-30T14:04:30.394834
0.0       3.563875  0.729875  2024-04-30T14:04:30.394834
0.0       3.563375  0.73      2024-04-30T14:04:30.394834
0.0       3.563375  0.73      2024-04-30T14:04:30.394834
0.0       3.562875  0.729625  2024-04-30T14:04:30.394834
0.0       3.563     0.7295    2024-04-30T14:04:30.394834
0.0       3.562625  0.7295    2024-04-30T14:04:30.394834
0.0       3.563375  0.7295    2024-04-30T14:04:30.394834
0.0       3.56475   0.729375  2024-04-30T14:04:30.394834
0.0       3.565     0.729125  2024-04-30T14:04:30.394834
0.0       3.564625  0.729375  2024-04-30T14:04:30.394834
0.0       3.563625  0.729875  2024-04-30T14:04:30.394834
0.0       3.56275   0.72975   2024-04-30T14:04:30.394834
0.0       3.562375  0.72975   2024-04-30T14:04:30.394834
0.0       3.562125  0.72975   2024-04-30T14:04:30.394834
0.0       3.561625  0.729625  2024-04-30T14:04:30.394834
0.0       3.562125  0.729875  2024-04-30T14:04:30.394834
0.0       3.563     0.730125  2024-04-30T14:04:30.394834
0.0       3.56375   0.730375  2024-04-30T14:04:30.394834
0.0       3.56375   0.730375  2024-04-30T14:04:30.394834
0.0       3.56375   0.730125  2024-04-30T14:04:30.394834
0.0       3.56325   0.729875  2024-04-30T14:04:30.394834
0.0       3.563     0.729625  2024-04-30T14:04:30.394834
0.0       3.56275   0.729625  2024-04-30T14:04:30.394834
0.0       3.5635    0.72975   2024-04-30T14:04:30.394834
0.0       3.565     0.729625  2024-04-30T14:04:30.394834
0.0       3.565     0.7295    2024-04-30T14:04:30.394834
0.0       3.563875  0.7295    2024-04-30T14:04:30.394834
0.0       3.562875  0.72975   2024-04-30T14:04:30.394834
0.0       3.562625  0.72975   2024-04-30T14:04:30.394834
0.0       3.5625    0.729625  2024-04-30T14:04:30.394834
0.0       3.562125  0.729875  2024-04-30T14:04:30.394834
0.0       3.56175   0.729875  2024-04-30T14:04:30.394834
0.0       3.562125  0.729875  2024-04-30T14:04:30.394834
0.0       3.563625  0.729875  2024-04-30T14:04:30.394834
0.0       3.56375   0.729625  2024-04-30T14:04:30.394834
0.0       3.56375   0.729625  2024-04-30T14:04:30.394834
0.0       3.56325   0.7295    2024-04-30T14:04:30.394834
0.0       3.56325   0.729625  2024-04-30T14:04:30.394834
0.0       3.5625    0.72975   2024-04-30T14:04:30.394834
0.0       3.5625    0.729625  2024-04-30T14:04:30.394834
0.0       3.56425   0.7295    2024-04-30T14:04:30.394834
0.0       3.564875  0.729625  2024-04-30T14:04:30.394834
0.0       3.564375  0.72925   2024-04-30T14:04:30.394834
