#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-05-21 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1
0.0,1.16025,0.13175
0.0,1.160125,0.131625
0.0,1.16025,0.13175
0.0,1.16075,0.1315
0.0,1.160625,0.131625
0.0,1.16025,0.131625
0.0,1.159875,0.131625
0.0,1.16,0.13175
0.0,1.16,0.13175
0.0,1.16025,0.13175
0.0,1.16025,0.13175
0.0,1.16,0.131875
0.0,1.159875,0.13175
0.0,1.16025,0.13175
0.0,1.160625,0.132
0.0,1.16025,0.1315
0.0,1.160125,0.1315
0.0,1.160375,0.131625
0.0,1.1605,0.13175
0.0,1.1605,0.13175
0.0,1.160625,0.131625
0.0,1.16025,0.131625
0.0,1.159875,0.1315
0.0,1.160125,0.131625
0.0,1.160125,0.13175
0.0,1.160125,0.13175
0.0,1.1605,0.131875
0.0,1.16025,0.131875
0.0,1.15975,0.131875
0.0,1.16,0.131875
0.0,1.160875,0.132
0.0,1.161,0.132
0.0,1.16075,0.132
0.0,1.160875,0.132
0.0,1.160875,0.131875
0.0,1.16075,0.131625
0.0,1.16075,0.131625
0.0,1.160875,0.1315
0.0,1.161,0.1315
0.0,1.160375,0.131375
0.0,1.16,0.1315
0.0,1.16,0.1315
0.0,1.160125,0.131875
0.0,1.160625,0.13175
0.0,1.160625,0.13175
0.0,1.160125,0.13175
0.0,1.160125,0.13175
0.0,1.160375,0.131625
0.0,1.161,0.13175
0.0,1.160625,0.13175
0.0,1.1605,0.131875
0.0,1.16025,0.13175
0.0,1.160125,0.13175
0.0,1.160625,0.13175
0.0,1.160875,0.13175
0.0,1.1605,0.131625
0.0,1.16025,0.131875
0.0,1.16025,0.131875
0.0,1.16,0.132
0.0,1.159875,0.131875
0.0,1.16,0.131875
0.0,1.160375,0.131875
0.0,1.1605,0.132
0.0,1.1605,0.131875
0.0,1.160375,0.132
0.0,1.160375,0.132125
0.0,1.160625,0.13175
0.0,1.160625,0.131625
0.0,1.160625,0.131625
0.0,1.161,0.131625
0.0,1.161375,0.1315
0.0,1.161625,0.131375
0.0,1.160875,0.131625
0.0,1.160875,0.131625
0.0,1.16025,0.13175
