#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-05-30 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1
0.0,0.926,0.1045
0.0,0.926,0.1045
0.0,0.925625,0.1045
0.0,0.9265,0.104625
0.0,0.926875,0.10425
0.0,0.925875,0.104
0.0,0.9265,0.104
0.0,0.926125,0.104125
0.0,0.9265,0.104125
0.0,0.92725,0.104
0.0,0.926875,0.104
0.0,0.925625,0.104
0.0,0.925375,0.104125
0.0,0.926125,0.10425
0.0,0.9265,0.1045
0.0,0.92625,0.104375
0.0,0.925,0.104125
0.0,0.925,0.104375
0.0,0.926,0.104625
0.0,0.92725,0.104625
0.0,0.926375,0.104125
0.0,0.92675,0.104
0.0,0.9265,0.103875
0.0,0.927125,0.104
0.0,0.92725,0.104125
0.0,0.92725,0.104125
0.0,0.927375,0.104125
0.0,0.926125,0.10425
0.0,0.925625,0.10425
0.0,0.926,0.104
0.0,0.926375,0.104125
0.0,0.9265,0.10425
0.0,0.92675,0.10425
0.0,0.92675,0.10425
0.0,0.926875,0.104375
0.0,0.92675,0.1045
0.0,0.927875,0.104625
0.0,0.927375,0.104375
0.0,0.9265,0.104125
0.0,0.92625,0.104125
0.0,0.92625,0.104125
0.0,0.926625,0.104125
0.0,0.92725,0.103875
0.0,0.927125,0.104
0.0,0.92525,0.104
0.0,0.9255,0.103875
0.0,0.92625,0.10425
0.0,0.926125,0.104125
0.0,0.926375,0.10425
0.0,0.926375,0.104125
0.0,0.927,0.104375
0.0,0.925875,0.104375
0.0,0.92525,0.104375
0.0,0.926625,0.10425
0.0,0.926375,0.103875
0.0,0.926125,0.103875
0.0,0.92625,0.104
0.0,0.9265,0.104
0.0,0.927625,0.104125
0.0,0.928875,0.104
0.0,0.92675,0.104
0.0,0.926,0.104
0.0,0.925375,0.104
0.0,0.925875,0.10425
0.0,0.926125,0.104375
0.0,0.926125,0.104125
0.0,0.926125,0.104125
0.0,0.926625,0.104375
0.0,0.925625,0.104125
0.0,0.925,0.10425
0.0,0.92575,0.104125
0.0,0.9265,0.104
0.0,0.92625,0.103875
0.0,0.926375,0.103875
0.0,0.92625,0.104
0.0,0.926375,0.10425
0.0,0.9275,0.10425
0.0,0.9265,0.10425
0.0,0.92575,0.104125
0.0,0.92625,0.103875
0.0,0.926125,0.104125
0.0,0.92675,0.104125
0.0,0.92675,0.10425
0.0,0.926375,0.10425
0.0,0.926875,0.104375
0.0,0.92575,0.104375
0.0,0.92625,0.104125
0.0,0.926375,0.104
0.0,0.927,0.104
0.0,0.92625,0.104125
0.0,0.926,0.104125
0.0,0.92725,0.104125
0.0,0.928,0.10425
0.0,0.927625,0.10425
0.0,0.926875,0.10425
0.0,0.92625,0.10425
0.0,0.925875,0.10425
0.0,0.92575,0.10425
0.0,0.92575,0.10425
0.0,0.926125,0.10425
0.0,0.92775,0.104375
0.0,0.928875,0.1045
0.0,0.92725,0.1045
0.0,0.926,0.10425
0.0,0.926125,0.104
0.0,0.92675,0.104
0.0,0.92625,0.104
0.0,0.926875,0.104
0.0,0.926875,0.104125
0.0,0.92625,0.10425
0.0,0.9255,0.10425
0.0,0.925625,0.104125
0.0,0.92575,0.104
0.0,0.92575,0.104125
0.0,0.92575,0.104125
0.0,0.926,0.10425
0.0,0.92575,0.104125
0.0,0.9245,0.104125
0.0,0.924625,0.104625
0.0,0.927,0.10475
0.0,0.927125,0.104625
0.0,0.927,0.104125
0.0,0.927,0.104125
0.0,0.92675,0.104
0.0,0.92625,0.104125
0.0,0.92675,0.104125
0.0,0.926625,0.104
0.0,0.925875,0.104
0.0,0.926125,0.104125
0.0,0.925875,0.104375
0.0,0.92575,0.104
0.0,0.92575,0.10425
0.0,0.925875,0.104125
0.0,0.926,0.104125
0.0,0.926625,0.104375
0.0,0.93,0.104625
0.0,0.929125,0.1045
0.0,0.92675,0.104125
0.0,0.927125,0.104125
0.0,0.926375,0.104
0.0,0.92675,0.104
0.0,0.926625,0.104125
0.0,0.92775,0.104125
0.0,0.92875,0.104125
0.0,0.928,0.104
0.0,0.92675,0.104125
0.0,0.925625,0.104125
0.0,0.925625,0.104375
0.0,0.925625,0.104375
0.0,0.925375,0.10425
0.0,0.92575,0.10425
0.0,0.926,0.104375
0.0,0.92625,0.104625
0.0,0.926125,0.1045
0.0,0.926125,0.104125
0.0,0.92675,0.104125
0.0,0.926875,0.104
0.0,0.9265,0.104
0.0,0.927125,0.104125
0.0,0.927125,0.104125
0.0,0.92675,0.104375
0.0,0.926375,0.10425
0.0,0.92575,0.10425
0.0,0.92575,0.104
0.0,0.92575,0.10425
0.0,0.9275,0.10425
0.0,0.927,0.104375
0.0,0.925,0.10425
0.0,0.92675,0.10425
1.0,0.978125,0.085875
1.0,0.978,0.086
1.0,0.97675,0.086
1.0,0.97625,0.085875
1.0,0.976375,0.08625
1.0,0.976375,0.08625
1.0,0.975875,0.086
1.0,0.976375,0.085875
1.0,0.976625,0.085875
1.0,0.976625,0.08575
1.0,0.977375,0.086125
1.0,0.976875,0.086
1.0,0.97675,0.085875
1.0,0.977625,0.08575
1.0,0.9775,0.08575
1.0,0.9775,0.085875
1.0,0.978625,0.085875
1.0,0.98,0.085875
1.0,0.977375,0.086
1.0,0.9775,0.086125
1.0,0.977625,0.086
1.0,0.9765,0.086
1.0,0.976625,0.086125
1.0,0.976125,0.086125
1.0,0.97475,0.086125
1.0,0.97475,0.086125
1.0,0.974,0.086
1.0,0.97525,0.086
1.0,0.97725,0.086375
1.0,0.977625,0.086125
1.0,0.977,0.08575
1.0,0.97725,0.08575
1.0,0.97675,0.085875
1.0,0.976,0.086
1.0,0.97725,0.086
1.0,0.97825,0.085875
1.0,0.9765,0.086
1.0,0.976,0.085875
1.0,0.976375,0.085875
1.0,0.975875,0.086125
1.0,0.976,0.086
1.0,0.976,0.086
1.0,0.975875,0.085875
1.0,0.976125,0.085625
1.0,0.975625,0.085625
1.0,0.97625,0.08575
1.0,0.977,0.085625
1.0,0.977125,0.085625
1.0,0.977125,0.08575
1.0,0.976625,0.085875
1.0,0.97625,0.08575
1.0,0.977125,0.085625
1.0,0.975875,0.086
1.0,0.976375,0.085875
1.0,0.97675,0.085875
1.0,0.976625,0.086125
1.0,0.9755,0.086
1.0,0.9755,0.086
1.0,0.9755,0.086125
1.0,0.97625,0.086125
1.0,0.976375,0.086125
1.0,0.976625,0.086125
1.0,0.976875,0.086
1.0,0.977,0.086
1.0,0.97725,0.08575
1.0,0.977375,0.08575
1.0,0.9775,0.086
1.0,0.976125,0.08575
1.0,0.97625,0.08575
1.0,0.97525,0.085875
1.0,0.976125,0.086125
1.0,0.977375,0.086125
1.0,0.97725,0.08575
1.0,0.97725,0.08575
1.0,0.976375,0.08575
1.0,0.97525,0.086
1.0,0.975625,0.08625
1.0,0.97725,0.086125
1.0,0.977,0.085875
1.0,0.977,0.086
1.0,0.976125,0.08575
1.0,0.97675,0.085875
1.0,0.978375,0.08575
1.0,0.978875,0.086
1.0,0.977125,0.086
1.0,0.97625,0.086
1.0,0.977375,0.086125
1.0,0.97775,0.08625
1.0,0.9775,0.086
1.0,0.97675,0.086125
1.0,0.97675,0.086125
1.0,0.976375,0.086
1.0,0.97725,0.086
1.0,0.97675,0.086125
1.0,0.9755,0.086
1.0,0.97575,0.086125
1.0,0.977125,0.085875
1.0,0.976375,0.08575
1.0,0.976625,0.08575
1.0,0.977,0.085875
1.0,0.97575,0.086
1.0,0.977375,0.085875
1.0,0.977375,0.085375
1.0,0.977375,0.085375
1.0,0.976625,0.085875
1.0,0.97625,0.086125
1.0,0.97625,0.086125
1.0,0.97675,0.086
1.0,0.976,0.085875
1.0,0.976,0.085875
1.0,0.977875,0.086125
1.0,0.97775,0.086125
1.0,0.977125,0.086
1.0,0.977,0.08575
1.0,0.976375,0.085625
1.0,0.976875,0.08575
1.0,0.978,0.085875
1.0,0.976,0.085875
1.0,0.976,0.085875
1.0,0.976,0.086125
1.0,0.975875,0.085875
1.0,0.976625,0.085875
1.0,0.976625,0.085875
1.0,0.976875,0.08625
1.0,0.977125,0.086125
1.0,0.97775,0.086
1.0,0.977875,0.085875
1.0,0.9765,0.086
1.0,0.97725,0.086
1.0,0.977375,0.085875
1.0,0.977375,0.085875
1.0,0.97775,0.08575
1.0,0.97725,0.085875
1.0,0.977625,0.086
1.0,0.97775,0.085625
1.0,0.977,0.085875
1.0,0.9775,0.085875
1.0,0.976375,0.086125
1.0,0.9765,0.086125
1.0,0.9765,0.086125
1.0,0.976625,0.086125
1.0,0.976375,0.08575
1.0,0.97725,0.085875
1.0,0.978375,0.086125
1.0,0.975625,0.086
1.0,0.975125,0.08575
1.0,0.97725,0.085875
1.0,0.977625,0.08575
1.0,0.977125,0.085625
1.0,0.97725,0.085875
1.0,0.976875,0.085875
1.0,0.977375,0.085875
1.0,0.97825,0.085875
1.0,0.977125,0.08575
1.0,0.976625,0.08575
1.0,0.976625,0.08575
1.0,0.977125,0.086
1.0,0.977,0.086125
1.0,0.97775,0.085875
1.0,0.9785,0.086
1.0,0.977625,0.086125
1.0,0.97725,0.086
1.0,0.977375,0.085875
1.0,0.97775,0.085625
1.0,0.97725,0.0855
1.0,0.977375,0.08575
1.0,0.976875,0.08575
1.0,0.976125,0.085875
1.0,0.97725,0.085875
2.0,1.030125,0.069375
2.0,1.02775,0.069375
2.0,1.027,0.069625
2.0,1.027875,0.0695
2.0,1.0285,0.069625
2.0,1.02875,0.069375
2.0,1.029375,0.069375
2.0,1.0285,0.069375
2.0,1.0285,0.069375
2.0,1.02975,0.069375
2.0,1.028625,0.06925
2.0,1.028375,0.069375
2.0,1.027875,0.069125
2.0,1.027125,0.069125
