#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-05-30 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1
0.0,0.925875,0.30925
0.0,0.925,0.30925
0.0,0.925375,0.309125
0.0,0.925375,0.30925
0.0,0.924375,0.309375
0.0,0.9255,0.309375
0.0,0.926125,0.309625
0.0,0.926,0.309625
0.0,0.926,0.309625
0.0,0.925,0.30925
0.0,0.924875,0.309125
0.0,0.92525,0.309125
0.0,0.92575,0.308875
0.0,0.926,0.309
0.0,0.92725,0.309125
0.0,0.92675,0.30925
0.0,0.924625,0.30925
0.0,0.925375,0.309375
0.0,0.92525,0.309375
0.0,0.92525,0.3095
0.0,0.925,0.309125
0.0,0.924375,0.309
0.0,0.924375,0.309375
0.0,0.9235,0.309375
0.0,0.9235,0.30925
0.0,0.922625,0.30925
0.0,0.92425,0.309125
0.0,0.925,0.30925
0.0,0.92475,0.309125
0.0,0.925,0.309
0.0,0.9255,0.309
0.0,0.92475,0.309125
0.0,0.923,0.309125
0.0,0.924375,0.309
0.0,0.925125,0.30925
0.0,0.925,0.309375
0.0,0.9245,0.309375
0.0,0.924125,0.30925
0.0,0.923875,0.3095
0.0,0.9255,0.3095
0.0,0.924625,0.309625
0.0,0.924625,0.309625
0.0,0.92525,0.309625
0.0,0.925,0.30925
0.0,0.925,0.309125
0.0,0.925375,0.309125
0.0,0.92475,0.30925
0.0,0.925375,0.309125
0.0,0.926625,0.308875
0.0,0.9245,0.309125
0.0,0.92475,0.30925
0.0,0.925125,0.309375
0.0,0.925125,0.3095
0.0,0.92425,0.309375
0.0,0.924625,0.309125
0.0,0.926125,0.3095
0.0,0.925875,0.309625
0.0,0.925875,0.309625
0.0,0.926,0.3095
0.0,0.925625,0.30925
0.0,0.92575,0.309
0.0,0.925,0.309125
0.0,0.92525,0.309125
0.0,0.9255,0.30925
0.0,0.92625,0.309
0.0,0.926,0.309
0.0,0.924125,0.309375
0.0,0.92475,0.309375
0.0,0.925375,0.309375
0.0,0.925625,0.309375
0.0,0.92525,0.309375
0.0,0.924625,0.30925
0.0,0.926625,0.309125
0.0,0.926625,0.309125
0.0,0.92725,0.309375
0.0,0.925875,0.309375
0.0,0.925375,0.30925
0.0,0.92525,0.309125
0.0,0.92575,0.30925
0.0,0.925625,0.309125
0.0,0.92425,0.309
0.0,0.924875,0.309125
0.0,0.925375,0.308875
0.0,0.924625,0.309375
0.0,0.924375,0.309375
0.0,0.925125,0.3095
0.0,0.92475,0.309375
0.0,0.925375,0.30925
0.0,0.92475,0.30925
0.0,0.92475,0.309375
0.0,0.9245,0.309375
0.0,0.926375,0.30975
0.0,0.9255,0.309125
0.0,0.924875,0.309125
0.0,0.924875,0.30925
0.0,0.925,0.309
0.0,0.925875,0.309125
0.0,0.925875,0.30925
0.0,0.926875,0.30925
0.0,0.92675,0.30925
0.0,0.92475,0.3095
0.0,0.924625,0.30925
0.0,0.925125,0.309375
0.0,0.924875,0.309625
0.0,0.924875,0.309375
0.0,0.92375,0.3095
0.0,0.92375,0.3095
0.0,0.92375,0.3095
0.0,0.923875,0.3095
0.0,0.9255,0.309375
0.0,0.92575,0.309
0.0,0.925,0.309125
0.0,0.925125,0.309
0.0,0.92475,0.309
0.0,0.925125,0.308875
0.0,0.925125,0.30875
0.0,0.924375,0.309125
0.0,0.923875,0.30925
0.0,0.92475,0.309375
0.0,0.925,0.309375
0.0,0.925375,0.309375
0.0,0.926,0.309375
0.0,0.926,0.309375
0.0,0.925375,0.3095
0.0,0.925,0.309875
0.0,0.924375,0.3095
0.0,0.925,0.309125
0.0,0.9255,0.309
0.0,0.92575,0.30925
0.0,0.92625,0.309375
0.0,0.92525,0.30925
0.0,0.926,0.30925
0.0,0.92575,0.309125
0.0,0.9265,0.309375
0.0,0.926125,0.309625
0.0,0.924625,0.309625
0.0,0.925,0.3095
0.0,0.92475,0.3095
0.0,0.92475,0.3095
0.0,0.924125,0.309375
0.0,0.92425,0.309375
0.0,0.926125,0.309125
0.0,0.9245,0.309
0.0,0.924625,0.309125
0.0,0.92525,0.309125
0.0,0.92475,0.309125
0.0,0.924375,0.30925
0.0,0.923875,0.309
0.0,0.92525,0.308875
0.0,0.92525,0.309
0.0,0.92475,0.309125
0.0,0.92525,0.30925
0.0,0.925625,0.309375
0.0,0.926,0.3095
0.0,0.926,0.309375
0.0,0.925,0.309375
0.0,0.924,0.3095
0.0,0.925125,0.3095
0.0,0.925875,0.3095
0.0,0.92625,0.309375
0.0,0.926,0.309125
0.0,0.925625,0.309
0.0,0.92525,0.308875
0.0,0.92475,0.309125
0.0,0.92425,0.30925
0.0,0.924875,0.309125
0.0,0.9235,0.30925
0.0,0.924375,0.30925
0.0,0.924375,0.309125
1.0,0.973875,0.281125
1.0,0.97575,0.281125
1.0,0.975375,0.281
1.0,0.974875,0.280875
1.0,0.9745,0.281
1.0,0.97425,0.280875
1.0,0.975,0.280875
1.0,0.975,0.2815
1.0,0.975,0.2815
1.0,0.975125,0.281375
1.0,0.974625,0.281125
1.0,0.974625,0.281125
1.0,0.97575,0.281125
1.0,0.974875,0.281125
1.0,0.973375,0.281125
1.0,0.975,0.281
1.0,0.97475,0.281
1.0,0.976,0.281
1.0,0.97575,0.281
1.0,0.975,0.281
1.0,0.975375,0.281125
1.0,0.975625,0.281
1.0,0.975625,0.280875
1.0,0.97575,0.281125
1.0,0.974625,0.281375
1.0,0.974625,0.281375
1.0,0.9745,0.281125
1.0,0.9745,0.281125
1.0,0.974625,0.28125
1.0,0.97425,0.281
1.0,0.97475,0.28125
1.0,0.975625,0.281375
1.0,0.9755,0.281125
1.0,0.975125,0.281
1.0,0.975375,0.281125
1.0,0.9755,0.281
1.0,0.975625,0.281
1.0,0.9765,0.281
1.0,0.97625,0.280875
1.0,0.97575,0.281125
1.0,0.975875,0.281125
1.0,0.975875,0.281125
1.0,0.9755,0.28075
1.0,0.97525,0.28125
1.0,0.97525,0.281375
1.0,0.974625,0.28125
1.0,0.97475,0.281
1.0,0.9745,0.281125
1.0,0.9735,0.28125
1.0,0.97575,0.28125
1.0,0.975875,0.281375
1.0,0.975125,0.281
1.0,0.974875,0.281
1.0,0.97475,0.280875
1.0,0.976125,0.280875
1.0,0.976125,0.281
1.0,0.97625,0.28125
1.0,0.97625,0.28125
1.0,0.97775,0.28125
1.0,0.976375,0.281125
1.0,0.9755,0.281125
1.0,0.975125,0.28125
1.0,0.975125,0.28125
1.0,0.974,0.281125
1.0,0.97325,0.28125
1.0,0.975,0.281125
1.0,0.977375,0.281125
1.0,0.97625,0.281375
1.0,0.975875,0.281
1.0,0.975875,0.281
1.0,0.975875,0.281
1.0,0.9755,0.281
1.0,0.9755,0.280875
1.0,0.97675,0.280875
1.0,0.97675,0.28125
1.0,0.975,0.28125
1.0,0.974625,0.281125
1.0,0.97525,0.28125
1.0,0.975,0.281
1.0,0.975125,0.281125
1.0,0.97525,0.28125
1.0,0.9745,0.281375
1.0,0.97425,0.2815
1.0,0.975625,0.28125
1.0,0.976,0.281125
1.0,0.975875,0.280875
1.0,0.975875,0.280875
1.0,0.976375,0.281
1.0,0.97725,0.281
1.0,0.9755,0.281
1.0,0.9755,0.281
1.0,0.975125,0.280875
1.0,0.976,0.281125
1.0,0.975,0.28125
1.0,0.974875,0.28125
1.0,0.975375,0.281125
1.0,0.9745,0.281125
1.0,0.974375,0.28125
1.0,0.975,0.28125
1.0,0.97375,0.2815
1.0,0.97425,0.28125
1.0,0.975375,0.281
1.0,0.975,0.28075
1.0,0.974875,0.280875
1.0,0.97625,0.281
1.0,0.97625,0.280875
1.0,0.97625,0.280875
1.0,0.976125,0.281
1.0,0.974875,0.280875
1.0,0.974125,0.281125
1.0,0.974875,0.28125
1.0,0.97525,0.281375
1.0,0.97525,0.28125
1.0,0.975375,0.28125
1.0,0.975375,0.281
1.0,0.9755,0.281
1.0,0.975625,0.281125
1.0,0.974625,0.281
1.0,0.975875,0.281125
1.0,0.9755,0.280875
1.0,0.97575,0.281
1.0,0.975875,0.281125
1.0,0.975875,0.281125
1.0,0.975375,0.281
1.0,0.976,0.281
1.0,0.976375,0.281125
1.0,0.975125,0.2815
1.0,0.975125,0.281375
1.0,0.9755,0.281375
1.0,0.975,0.28125
1.0,0.974125,0.281125
1.0,0.973,0.281125
1.0,0.97475,0.280875
1.0,0.976625,0.281
1.0,0.975125,0.281
1.0,0.97525,0.280875
1.0,0.97525,0.281
1.0,0.975875,0.281
1.0,0.975875,0.281
1.0,0.97625,0.280875
1.0,0.976625,0.28075
1.0,0.974875,0.281
1.0,0.97375,0.28125
1.0,0.97475,0.281125
1.0,0.975125,0.28125
1.0,0.975875,0.281375
1.0,0.975375,0.281375
1.0,0.9745,0.28125
1.0,0.974,0.281125
1.0,0.9745,0.281375
1.0,0.97525,0.281375
1.0,0.975625,0.281
1.0,0.975875,0.280875
1.0,0.976,0.280875
1.0,0.97575,0.280875
1.0,0.97575,0.281
1.0,0.976,0.281
1.0,0.97675,0.281125
1.0,0.97725,0.281125
1.0,0.97625,0.281125
1.0,0.975875,0.28125
1.0,0.975625,0.281375
1.0,0.975,0.28125
1.0,0.974375,0.281125
1.0,0.975375,0.281375
1.0,0.97525,0.281625
1.0,0.9745,0.2815
1.0,0.975375,0.281375
1.0,0.975625,0.280875
2.0,1.026,0.25375
2.0,1.027125,0.253875
2.0,1.027125,0.253875
2.0,1.026375,0.254
2.0,1.026,0.253875
2.0,1.02775,0.254
2.0,1.0275,0.254
2.0,1.02675,0.253875
2.0,1.02675,0.253875
2.0,1.02675,0.2535
2.0,1.027625,0.2535
2.0,1.02725,0.253625
2.0,1.02675,0.25375
2.0,1.025625,0.253625
2.0,1.0265,0.25375
2.0,1.025625,0.253875
2.0,1.025875,0.253875
2.0,1.025875,0.253875
2.0,1.02675,0.254
2.0,1.02725,0.254
2.0,1.026375,0.253875
2.0,1.02575,0.254
2.0,1.026,0.25425
2.0,1.02575,0.254
2.0,1.025125,0.25375
2.0,1.025125,0.25375
2.0,1.026375,0.2535
2.0,1.02675,0.253625
2.0,1.027375,0.253625
2.0,1.027625,0.253625
2.0,1.02675,0.253625
2.0,1.025875,0.253625
2.0,1.026875,0.253625
2.0,1.0265,0.2535
2.0,1.025875,0.253875
2.0,1.026125,0.253875
2.0,1.02625,0.254
2.0,1.026625,0.253875
2.0,1.02625,0.254
2.0,1.027625,0.254
2.0,1.028,0.25425
2.0,1.028,0.25425
2.0,1.02725,0.254125
2.0,1.027625,0.25375
2.0,1.026875,0.25375
2.0,1.026875,0.253625
2.0,1.02725,0.25375
2.0,1.026625,0.25375
2.0,1.028625,0.25375
2.0,1.02725,0.25375
2.0,1.027125,0.253875
2.0,1.026625,0.254
2.0,1.026375,0.254
2.0,1.026,0.25375
2.0,1.027,0.253875
2.0,1.028125,0.254
2.0,1.02725,0.254
2.0,1.02725,0.254
2.0,1.02675,0.254
2.0,1.02625,0.25375
2.0,1.027125,0.253875
2.0,1.027,0.25375
2.0,1.0275,0.25375
2.0,1.027125,0.25375
2.0,1.0265,0.253625
2.0,1.026375,0.253875
2.0,1.026375,0.253875
2.0,1.0265,0.253625
2.0,1.027125,0.254
2.0,1.0275,0.254
2.0,1.0265,0.25375
2.0,1.025625,0.253875
2.0,1.026,0.254
2.0,1.026,0.254
2.0,1.026375,0.254125
2.0,1.0265,0.25375
2.0,1.026625,0.253625
2.0,1.026875,0.2535
2.0,1.0265,0.2535
2.0,1.026375,0.253875
2.0,1.027375,0.253625
2.0,1.02775,0.2535
2.0,1.026625,0.253625
2.0,1.026875,0.253875
2.0,1.027,0.253875
2.0,1.02675,0.253875
2.0,1.026625,0.253875
2.0,1.026875,0.253875
2.0,1.027875,0.254
2.0,1.028125,0.253875
2.0,1.028125,0.253875
2.0,1.0275,0.254
2.0,1.0275,0.253875
2.0,1.02725,0.25375
2.0,1.027125,0.2535
2.0,1.0275,0.2535
2.0,1.028125,0.25375
2.0,1.0295,0.253625
2.0,1.02825,0.253625
2.0,1.02825,0.25375
2.0,1.02725,0.254
2.0,1.026375,0.254
2.0,1.02625,0.253875
2.0,1.025625,0.253875
2.0,1.024875,0.253875
2.0,1.02475,0.253875
2.0,1.02475,0.253875
2.0,1.027,0.254125
2.0,1.028625,0.254125
2.0,1.02725,0.254
2.0,1.02725,0.253625
2.0,1.02725,0.2535
2.0,1.02725,0.253625
2.0,1.027875,0.25375
2.0,1.028,0.253875
2.0,1.02525,0.25375
2.0,1.024375,0.253375
2.0,1.026,0.253625
2.0,1.026625,0.254
2.0,1.027,0.253875
2.0,1.026875,0.253875
2.0,1.026625,0.254
2.0,1.026625,0.254
2.0,1.02475,0.254125
2.0,1.02525,0.25375
2.0,1.0275,0.253625
2.0,1.0275,0.253875
2.0,1.027,0.253625
2.0,1.02725,0.253625
2.0,1.028125,0.25375
2.0,1.027,0.253625
2.0,1.02675,0.2535
2.0,1.02625,0.25375
2.0,1.02675,0.253875
2.0,1.02675,0.254125
2.0,1.026875,0.254125
2.0,1.027,0.25375
2.0,1.027375,0.25375
2.0,1.027375,0.25375
2.0,1.026875,0.253875
2.0,1.027125,0.25375
2.0,1.027625,0.254
2.0,1.025875,0.254
2.0,1.02675,0.254
2.0,1.02675,0.253625
2.0,1.027,0.2535
2.0,1.028375,0.25375
2.0,1.0285,0.25375
2.0,1.026,0.25375
2.0,1.028375,0.25375
2.0,1.028625,0.253875
2.0,1.0275,0.253875
2.0,1.027,0.253875
2.0,1.02675,0.254
2.0,1.02675,0.253875
2.0,1.027625,0.253875
2.0,1.027875,0.254
2.0,1.026875,0.254
2.0,1.026625,0.25375
2.0,1.0275,0.25375
2.0,1.027625,0.25375
2.0,1.0275,0.253625
2.0,1.02725,0.253875
