#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-05-30 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1
0.0,0.924,0.397
0.0,0.92375,0.396875
0.0,0.9235,0.396875
0.0,0.9235,0.396875
0.0,0.9245,0.396875
0.0,0.924,0.396875
0.0,0.924625,0.397125
0.0,0.925625,0.39725
0.0,0.925625,0.39725
0.0,0.9245,0.397
0.0,0.924875,0.397
0.0,0.925,0.397125
0.0,0.923375,0.397125
0.0,0.923875,0.397
0.0,0.92475,0.396875
0.0,0.92375,0.396625
0.0,0.924125,0.39675
0.0,0.923875,0.396875
0.0,0.92275,0.39675
0.0,0.923875,0.39675
0.0,0.92425,0.397
0.0,0.923875,0.397125
0.0,0.9235,0.397125
0.0,0.923625,0.397125
0.0,0.92375,0.397
0.0,0.92375,0.397
0.0,0.92375,0.396875
0.0,0.923,0.397125
0.0,0.924875,0.397375
0.0,0.924125,0.397
0.0,0.924625,0.39725
0.0,0.925,0.396625
0.0,0.92425,0.396625
0.0,0.924125,0.396625
0.0,0.924875,0.396625
0.0,0.92425,0.396875
0.0,0.9235,0.397
0.0,0.923875,0.397125
0.0,0.922625,0.396875
0.0,0.922875,0.396875
0.0,0.92325,0.397125
0.0,0.92325,0.397125
0.0,0.923,0.397125
0.0,0.9235,0.397
0.0,0.921875,0.397125
0.0,0.922625,0.39725
0.0,0.924875,0.39725
0.0,0.92525,0.396875
0.0,0.924875,0.396875
0.0,0.924625,0.397
0.0,0.9245,0.397
0.0,0.923875,0.397
0.0,0.921875,0.396875
0.0,0.9225,0.396875
0.0,0.92275,0.397
0.0,0.9235,0.397125
0.0,0.924,0.397125
0.0,0.924,0.397125
0.0,0.923875,0.39725
0.0,0.923125,0.397125
0.0,0.923,0.397
0.0,0.92425,0.39725
0.0,0.925875,0.39725
0.0,0.924,0.397
0.0,0.92375,0.397125
0.0,0.9245,0.397
0.0,0.925125,0.396875
0.0,0.92575,0.39675
0.0,0.925875,0.397
0.0,0.9245,0.39675
0.0,0.922,0.3965
0.0,0.9225,0.396875
0.0,0.923375,0.397
0.0,0.92375,0.397
0.0,0.92375,0.397375
0.0,0.924125,0.39725
0.0,0.923375,0.397
0.0,0.923875,0.397
0.0,0.923375,0.397125
0.0,0.9255,0.397
0.0,0.924375,0.397
0.0,0.923625,0.397125
0.0,0.924,0.397
0.0,0.924375,0.397
0.0,0.924125,0.397
0.0,0.9245,0.397
0.0,0.925125,0.397
0.0,0.924125,0.397
0.0,0.925125,0.397125
0.0,0.924125,0.397125
0.0,0.924125,0.39725
0.0,0.9235,0.39725
0.0,0.9235,0.39725
0.0,0.923875,0.397125
0.0,0.923875,0.39725
0.0,0.925375,0.397375
0.0,0.92525,0.39725
0.0,0.92375,0.397
0.0,0.92375,0.39675
0.0,0.924,0.396875
0.0,0.923625,0.39675
0.0,0.92425,0.396625
0.0,0.923625,0.3965
0.0,0.92475,0.39675
0.0,0.92425,0.396875
0.0,0.9235,0.397
0.0,0.9235,0.397
0.0,0.924375,0.396875
0.0,0.9235,0.397125
0.0,0.923125,0.397125
0.0,0.924125,0.397
0.0,0.92225,0.397125
0.0,0.923125,0.397
0.0,0.923625,0.397
0.0,0.923125,0.39675
0.0,0.924125,0.396875
0.0,0.923875,0.396875
0.0,0.9235,0.396875
0.0,0.92375,0.397
0.0,0.923875,0.396875
0.0,0.924125,0.397
0.0,0.923875,0.396875
0.0,0.923875,0.396875
0.0,0.9225,0.396875
0.0,0.922625,0.396875
0.0,0.922875,0.397
0.0,0.92275,0.396875
0.0,0.922875,0.396875
0.0,0.924,0.397125
0.0,0.924875,0.396875
0.0,0.92475,0.397
0.0,0.92475,0.396875
0.0,0.92475,0.396875
0.0,0.924625,0.396875
0.0,0.924375,0.397
0.0,0.925125,0.397
0.0,0.92575,0.396875
0.0,0.92725,0.39675
0.0,0.924625,0.39675
0.0,0.924625,0.397
0.0,0.9235,0.39725
0.0,0.923625,0.397375
0.0,0.923375,0.397
0.0,0.924375,0.397
0.0,0.923875,0.397125
0.0,0.9235,0.397125
0.0,0.923625,0.397375
0.0,0.923375,0.397375
0.0,0.924625,0.397
0.0,0.924375,0.39675
0.0,0.92425,0.396625
0.0,0.92425,0.396875
0.0,0.9245,0.396625
0.0,0.925375,0.396875
0.0,0.923875,0.396875
0.0,0.923875,0.397
0.0,0.923875,0.397125
0.0,0.924625,0.397
0.0,0.92425,0.397125
0.0,0.923875,0.396875
0.0,0.924125,0.397
0.0,0.92475,0.397
