#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-05-31 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1
0.0,1.01775,0.31125
0.0,1.01775,0.311125
0.0,1.018,0.311125
0.0,1.017875,0.31125
0.0,1.017875,0.31125
0.0,1.018,0.311375
0.0,1.018375,0.31125
0.0,1.018625,0.311375
0.0,1.018625,0.311375
0.0,1.018375,0.311125
0.0,1.017875,0.310875
0.0,1.018,0.310875
0.0,1.018375,0.311
0.0,1.0185,0.310875
0.0,1.0185,0.31075
0.0,1.01825,0.31075
0.0,1.018,0.31075
0.0,1.018,0.311125
0.0,1.01775,0.31125
0.0,1.018,0.311125
0.0,1.018125,0.311125
0.0,1.018125,0.31125
0.0,1.018125,0.311375
0.0,1.018,0.31125
0.0,1.018,0.31125
0.0,1.018125,0.31125
0.0,1.01825,0.311125
0.0,1.01825,0.311
0.0,1.018625,0.310875
0.0,1.018625,0.311
0.0,1.018375,0.310875
0.0,1.01825,0.31075
0.0,1.01825,0.31125
0.0,1.017875,0.311
0.0,1.01775,0.311
0.0,1.018,0.31125
0.0,1.018375,0.311125
0.0,1.018,0.311125
0.0,1.017875,0.31125
0.0,1.018125,0.311375
0.0,1.018125,0.311375
0.0,1.01825,0.311375
0.0,1.018,0.31125
0.0,1.018125,0.310875
0.0,1.01825,0.310875
0.0,1.01825,0.311
0.0,1.0185,0.311
0.0,1.0185,0.310875
0.0,1.0185,0.311
0.0,1.01825,0.311125
0.0,1.017875,0.31125
0.0,1.017875,0.31125
0.0,1.01825,0.31125
0.0,1.018125,0.311125
0.0,1.018375,0.31125
0.0,1.018375,0.3115
0.0,1.018125,0.3115
0.0,1.018125,0.3115
0.0,1.018375,0.31125
0.0,1.0185,0.311125
0.0,1.0185,0.311
0.0,1.018625,0.311
0.0,1.0185,0.311
0.0,1.018375,0.310875
0.0,1.0185,0.31075
0.0,1.01825,0.310625
0.0,1.01775,0.311
0.0,1.017625,0.311125
0.0,1.01825,0.311125
0.0,1.0185,0.311125
0.0,1.01775,0.311
0.0,1.017875,0.311125
0.0,1.018375,0.311375
0.0,1.018375,0.311375
0.0,1.018375,0.31125
0.0,1.018,0.31125
0.0,1.018125,0.311
0.0,1.018375,0.310875
0.0,1.018125,0.310875
0.0,1.01825,0.311
0.0,1.0185,0.310875
0.0,1.0185,0.311
0.0,1.017875,0.311125
0.0,1.017875,0.31125
0.0,1.018,0.311125
0.0,1.018375,0.31125
0.0,1.017875,0.31125
0.0,1.017375,0.31125
0.0,1.018125,0.311125
0.0,1.018125,0.3115
0.0,1.018625,0.3115
0.0,1.0185,0.311625
0.0,1.018375,0.31125
0.0,1.018375,0.310875
0.0,1.01825,0.310875
0.0,1.018375,0.310875
0.0,1.01875,0.311
0.0,1.01875,0.311
0.0,1.018375,0.311125
0.0,1.017875,0.311
0.0,1.017875,0.311125
0.0,1.018,0.311375
0.0,1.017875,0.31125
0.0,1.01775,0.311125
0.0,1.01775,0.31125
0.0,1.01775,0.31125
0.0,1.018125,0.31125
0.0,1.0185,0.311375
0.0,1.018,0.31125
0.0,1.017875,0.31125
0.0,1.018125,0.311125
0.0,1.0185,0.311125
0.0,1.0185,0.311
0.0,1.019125,0.311125
0.0,1.01875,0.311
0.0,1.01775,0.311125
0.0,1.01775,0.311125
0.0,1.018125,0.31125
0.0,1.018,0.311125
0.0,1.017875,0.311125
0.0,1.018,0.31125
0.0,1.018125,0.31125
0.0,1.018125,0.31125
0.0,1.01825,0.31125
0.0,1.01825,0.311375
0.0,1.018125,0.31125
0.0,1.018125,0.311125
0.0,1.0185,0.311
0.0,1.0185,0.311
0.0,1.0185,0.311
0.0,1.0185,0.311
0.0,1.01775,0.311
0.0,1.01775,0.311125
0.0,1.017875,0.31125
0.0,1.018,0.311375
0.0,1.017875,0.3115
0.0,1.017875,0.31125
0.0,1.01775,0.311
0.0,1.01775,0.311
0.0,1.017625,0.31125
0.0,1.018125,0.311375
0.0,1.018375,0.31125
0.0,1.01825,0.311125
0.0,1.018125,0.311
0.0,1.018375,0.311
0.0,1.018375,0.311125
0.0,1.018875,0.311
0.0,1.018625,0.311
0.0,1.018125,0.311
0.0,1.018,0.311
0.0,1.018125,0.311
0.0,1.017875,0.31125
0.0,1.018125,0.311125
0.0,1.017625,0.311125
0.0,1.017625,0.311125
0.0,1.017375,0.311125
0.0,1.018125,0.311
0.0,1.018375,0.311
0.0,1.018625,0.31125
0.0,1.018375,0.311125
0.0,1.01775,0.311125
0.0,1.018,0.311125
0.0,1.018625,0.311125
0.0,1.01825,0.311
0.0,1.01825,0.310875
0.0,1.018375,0.311
0.0,1.017875,0.311375
0.0,1.01775,0.31125
0.0,1.018,0.311375
1.0,1.072875,0.282625
1.0,1.07275,0.2825
1.0,1.07325,0.2825
1.0,1.0735,0.282625
1.0,1.07375,0.282625
1.0,1.073625,0.2825
1.0,1.07325,0.2825
1.0,1.073125,0.282375
1.0,1.073125,0.282375
1.0,1.0735,0.282375
