#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-06-04 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1
0.0,1.00525,0.261375
0.0,1.0055,0.26125
0.0,1.00525,0.26125
0.0,1.00525,0.261125
0.0,1.00525,0.26125
0.0,1.005875,0.261375
0.0,1.006,0.261125
0.0,1.006,0.261125
0.0,1.006,0.261125
0.0,1.005625,0.261625
0.0,1.00475,0.2615
0.0,1.004875,0.2615
0.0,1.00525,0.261375
0.0,1.005375,0.261625
0.0,1.004625,0.2615
0.0,1.005125,0.261375
0.0,1.0055,0.2615
0.0,1.00525,0.26175
0.0,1.00525,0.261625
0.0,1.005375,0.261375
0.0,1.005375,0.261375
0.0,1.005375,0.26125
0.0,1.00575,0.261125
0.0,1.006375,0.261125
0.0,1.006,0.261125
0.0,1.006,0.26125
0.0,1.005,0.2615
0.0,1.004625,0.26175
0.0,1.00475,0.261625
0.0,1.004875,0.261375
0.0,1.005,0.26125
0.0,1.005,0.261625
0.0,1.005125,0.261875
0.0,1.005375,0.261625
0.0,1.005625,0.261625
0.0,1.00525,0.261625
0.0,1.005125,0.261375
0.0,1.005375,0.26125
0.0,1.005875,0.261375
0.0,1.006,0.261375
0.0,1.006,0.261125
0.0,1.006,0.261125
0.0,1.00575,0.26125
0.0,1.005125,0.2615
0.0,1.00525,0.2615
0.0,1.00525,0.261375
0.0,1.005625,0.2615
0.0,1.005125,0.2615
0.0,1.004875,0.2615
0.0,1.00575,0.261625
0.0,1.005875,0.26175
0.0,1.005375,0.261625
0.0,1.00525,0.2615
0.0,1.005625,0.261375
0.0,1.005625,0.261125
0.0,1.00575,0.261375
0.0,1.00525,0.261125
0.0,1.00525,0.261125
0.0,1.005125,0.261125
0.0,1.004875,0.26125
0.0,1.00475,0.261375
0.0,1.005125,0.2615
0.0,1.005,0.261375
0.0,1.004875,0.2615
0.0,1.00475,0.261375
0.0,1.005375,0.261625
0.0,1.005625,0.26175
0.0,1.00525,0.2615
0.0,1.0055,0.261625
0.0,1.005875,0.261375
0.0,1.005625,0.26125
0.0,1.00575,0.26125
0.0,1.00575,0.261125
0.0,1.00575,0.261125
0.0,1.005625,0.261375
0.0,1.0055,0.261375
0.0,1.005,0.261375
0.0,1.004875,0.261625
0.0,1.005,0.2615
0.0,1.005125,0.261625
0.0,1.005,0.2615
0.0,1.004875,0.2615
0.0,1.005125,0.2615
0.0,1.00525,0.261625
0.0,1.005625,0.26175
0.0,1.005875,0.2615
0.0,1.00575,0.26125
0.0,1.0055,0.26125
0.0,1.00575,0.26125
0.0,1.00575,0.26125
0.0,1.00625,0.261375
0.0,1.005875,0.26125
0.0,1.005625,0.2615
0.0,1.00525,0.2615
0.0,1.005375,0.261125
0.0,1.005,0.2615
0.0,1.005,0.2615
0.0,1.005125,0.2615
0.0,1.005375,0.2615
0.0,1.00525,0.26175
0.0,1.005,0.261625
0.0,1.005375,0.2615
0.0,1.0055,0.26125
0.0,1.00525,0.26125
0.0,1.005,0.261125
0.0,1.00525,0.26125
0.0,1.00525,0.26125
0.0,1.0055,0.26125
0.0,1.005875,0.26125
0.0,1.0055,0.2615
0.0,1.004875,0.261625
0.0,1.004875,0.2615
0.0,1.005375,0.261625
0.0,1.005375,0.2615
0.0,1.005375,0.2615
0.0,1.005375,0.2615
