#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~~~~~~ RAPP measurements | INTI ~~~~~~~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1
0.0,0.9725,0.250375
0.0,0.97275,0.250375
0.0,0.972125,0.250625
0.0,0.971875,0.2505
0.0,0.971875,0.2505
0.0,0.971875,0.2505
0.0,0.971625,0.2505
0.0,0.971625,0.25075
0.0,0.971625,0.25075
0.0,0.972125,0.250875
0.0,0.972375,0.25075
0.0,0.972,0.2505
0.0,0.97225,0.250375
0.0,0.97225,0.250375
0.0,0.972375,0.250625
0.0,0.9725,0.2505
0.0,0.973125,0.2505
0.0,0.973125,0.250375
0.0,0.9725,0.250375
0.0,0.971875,0.2505
0.0,0.971875,0.250375
0.0,0.971875,0.250625
0.0,0.971875,0.250625
0.0,0.9715,0.250625
0.0,0.971625,0.25075
0.0,0.971625,0.25075
0.0,0.972125,0.25075
0.0,0.972375,0.250625
0.0,0.9725,0.25075
0.0,0.9725,0.25075
0.0,0.9725,0.250625
0.0,0.9725,0.2505
0.0,0.972625,0.2505
0.0,0.972375,0.250375
0.0,0.9725,0.250375
0.0,0.97225,0.250375
0.0,0.972125,0.2505
0.0,0.972,0.25075
0.0,0.972,0.25075
0.0,0.971875,0.250625
0.0,0.9715,0.25075
0.0,0.9715,0.25075
0.0,0.97175,0.25075
0.0,0.972125,0.25075
0.0,0.9725,0.250625
0.0,0.9725,0.250625
0.0,0.972375,0.250625
0.0,0.97225,0.250625
0.0,0.972,0.2505
0.0,0.972625,0.2505
0.0,0.973,0.250375
0.0,0.972375,0.25025
0.0,0.972,0.250375
0.0,0.97175,0.250375
0.0,0.97225,0.25075
0.0,0.971875,0.25075
0.0,0.9715,0.250625
0.0,0.9715,0.250625
0.0,0.9715,0.25075
0.0,0.972125,0.250875
0.0,0.97225,0.25075
0.0,0.972125,0.251
0.0,0.972125,0.251
0.0,0.972,0.251
0.0,0.972375,0.250625
0.0,0.9725,0.250375
0.0,0.97275,0.2505
0.0,0.972875,0.2505
0.0,0.972125,0.2505
0.0,0.97175,0.250375
0.0,0.97175,0.250375
0.0,0.972125,0.250625
0.0,0.97225,0.250625
0.0,0.97225,0.250625
0.0,0.972125,0.2505
0.0,0.972125,0.25075
0.0,0.972375,0.25075
0.0,0.972375,0.251
0.0,0.97225,0.25075
0.0,0.97225,0.2505
0.0,0.972625,0.250625
0.0,0.9725,0.2505
0.0,0.972875,0.250375
0.0,0.97275,0.2505
0.0,0.972625,0.250375
0.0,0.97275,0.25025
0.0,0.972375,0.2505
0.0,0.972,0.25075
0.0,0.971625,0.250875
0.0,0.971625,0.250875
0.0,0.97175,0.2505
0.0,0.972,0.250625
0.0,0.972125,0.250875
0.0,0.97175,0.250875
0.0,0.971875,0.250875
0.0,0.972,0.250875
0.0,0.972375,0.250625
0.0,0.972375,0.2505
0.0,0.972125,0.2505
0.0,0.9725,0.250375
0.0,0.972625,0.25025
0.0,0.972625,0.250125
0.0,0.972125,0.250375
0.0,0.971875,0.25075
0.0,0.971875,0.25075
0.0,0.971875,0.25075
0.0,0.972125,0.25075
0.0,0.972125,0.25075
0.0,0.971875,0.250875
0.0,0.972125,0.250875
0.0,0.972375,0.25075
0.0,0.972,0.2505
0.0,0.97225,0.2505
0.0,0.97225,0.250625
0.0,0.97225,0.250375
0.0,0.9725,0.250625
0.0,0.97275,0.250375
0.0,0.9725,0.25025
0.0,0.9725,0.25025
0.0,0.972375,0.2505
0.0,0.971875,0.250625
0.0,0.97225,0.250625
0.0,0.97225,0.250625
0.0,0.972,0.250625
0.0,0.97175,0.25075
0.0,0.971625,0.25075
0.0,0.971625,0.25075
0.0,0.972,0.250875
0.0,0.972375,0.251
0.0,0.9725,0.250625
0.0,0.9725,0.2505
0.0,0.97225,0.250625
0.0,0.972375,0.250625
0.0,0.972625,0.250375
0.0,0.973,0.250375
0.0,0.972625,0.250625
0.0,0.972125,0.251
0.0,0.97175,0.25075
0.0,0.97175,0.25075
0.0,0.971875,0.250625
0.0,0.972,0.2505
0.0,0.97175,0.250625
0.0,0.972125,0.25075
0.0,0.97225,0.250875
0.0,0.972125,0.250875
0.0,0.972125,0.250875
0.0,0.97225,0.250625
0.0,0.97225,0.250625
0.0,0.972375,0.250625
0.0,0.9725,0.250375
0.0,0.972875,0.25025
0.0,0.972625,0.250375
0.0,0.97225,0.250375
0.0,0.972,0.250375
0.0,0.972,0.250375
0.0,0.972,0.2505
0.0,0.97225,0.250625
0.0,0.972125,0.250625
0.0,0.972,0.250625
0.0,0.972125,0.250625
0.0,0.972,0.25075
0.0,0.97225,0.25075
0.0,0.971875,0.250625
0.0,0.97225,0.2505
0.0,0.972125,0.250625
0.0,0.97225,0.2505
0.0,0.972625,0.2505
0.0,0.972625,0.2505
0.0,0.972375,0.250625
1.0,1.024875,0.226375
1.0,1.025,0.226625
1.0,1.025,0.22675
1.0,1.025,0.2265
1.0,1.02525,0.226375
1.0,1.025125,0.226375
1.0,1.025125,0.226375
1.0,1.025625,0.226375
1.0,1.025625,0.226375
1.0,1.025625,0.226125
1.0,1.025,0.226125
1.0,1.024875,0.22625
1.0,1.02475,0.226375
1.0,1.024625,0.2265
1.0,1.024375,0.2265
1.0,1.024375,0.226375
1.0,1.0245,0.226375
1.0,1.024875,0.226625
1.0,1.024875,0.226625
1.0,1.024875,0.22675
1.0,1.024875,0.226375
1.0,1.025125,0.22625
1.0,1.025375,0.226375
1.0,1.025375,0.22625
1.0,1.02575,0.22625
1.0,1.02575,0.226125
1.0,1.025875,0.226125
1.0,1.0255,0.226125
1.0,1.025,0.22625
1.0,1.024625,0.22625
1.0,1.024625,0.22625
1.0,1.025,0.22625
1.0,1.02475,0.22625
1.0,1.024375,0.2265
1.0,1.02475,0.226625
1.0,1.025,0.226625
1.0,1.02475,0.226625
1.0,1.025125,0.22625
1.0,1.025,0.22625
1.0,1.02525,0.226125
1.0,1.0255,0.226125
1.0,1.0255,0.226125
1.0,1.026,0.226125
1.0,1.026,0.226
1.0,1.0255,0.226125
1.0,1.025,0.226125
1.0,1.024625,0.226375
1.0,1.024625,0.2265
1.0,1.024875,0.22625
1.0,1.024625,0.2265
1.0,1.0245,0.226625
1.0,1.02475,0.22675
1.0,1.02475,0.226625
1.0,1.02475,0.226625
1.0,1.025125,0.226375
1.0,1.025375,0.22625
1.0,1.025375,0.22625
1.0,1.025375,0.22625
1.0,1.025625,0.22625
1.0,1.025625,0.226125
1.0,1.0255,0.226125
1.0,1.025375,0.22625
1.0,1.024875,0.22625
1.0,1.0245,0.22625
1.0,1.02475,0.226375
1.0,1.024625,0.2265
1.0,1.0245,0.2265
1.0,1.024625,0.226625
1.0,1.024875,0.22675
1.0,1.02475,0.226875
1.0,1.025,0.22675
1.0,1.025125,0.2265
1.0,1.02525,0.2265
1.0,1.02525,0.2265
1.0,1.02525,0.22625
1.0,1.025375,0.22625
1.0,1.025625,0.226125
1.0,1.02525,0.22625
1.0,1.02475,0.226375
1.0,1.02475,0.22625
1.0,1.02475,0.226375
1.0,1.0245,0.226375
1.0,1.024125,0.2265
1.0,1.02425,0.226375
1.0,1.0245,0.226625
1.0,1.025,0.226625
1.0,1.025,0.22675
1.0,1.025,0.226625
1.0,1.025125,0.22625
1.0,1.025125,0.22625
1.0,1.02525,0.22625
1.0,1.025375,0.226375
1.0,1.02575,0.22625
1.0,1.02575,0.226125
1.0,1.025,0.226
1.0,1.02475,0.226125
1.0,1.025,0.226375
1.0,1.025125,0.226625
1.0,1.02475,0.2265
1.0,1.0245,0.22625
1.0,1.024375,0.226375
1.0,1.0245,0.2265
1.0,1.025,0.226625
1.0,1.025,0.226625
1.0,1.025,0.226625
1.0,1.02475,0.226625
1.0,1.02475,0.2265
1.0,1.02525,0.226375
1.0,1.02575,0.22625
1.0,1.02575,0.226125
1.0,1.02525,0.225875
1.0,1.025125,0.226
1.0,1.0245,0.22625
1.0,1.0245,0.226375
1.0,1.025,0.2265
1.0,1.02475,0.2265
1.0,1.0245,0.22625
1.0,1.0245,0.2265
1.0,1.025,0.226625
1.0,1.025,0.22675
1.0,1.025125,0.226375
1.0,1.025375,0.2265
1.0,1.025375,0.2265
1.0,1.025375,0.2265
1.0,1.02525,0.22625
1.0,1.02525,0.226375
1.0,1.025375,0.22625
1.0,1.025125,0.22625
1.0,1.025,0.2265
1.0,1.0245,0.2265
1.0,1.02475,0.2265
1.0,1.025,0.226375
1.0,1.02475,0.226375
1.0,1.024625,0.2265
1.0,1.024625,0.226625
1.0,1.025,0.226625
1.0,1.02525,0.226375
1.0,1.02475,0.226375
1.0,1.02475,0.226375
1.0,1.024875,0.226375
1.0,1.025,0.226375
1.0,1.025,0.2265
1.0,1.0255,0.22625
1.0,1.02575,0.22625
1.0,1.025375,0.226125
1.0,1.025125,0.226
1.0,1.02475,0.22625
1.0,1.024375,0.226375
1.0,1.024625,0.226375
1.0,1.02475,0.2265
1.0,1.024625,0.226625
1.0,1.0245,0.22675
1.0,1.0245,0.226625
1.0,1.025125,0.226375
1.0,1.025125,0.226375
1.0,1.025375,0.2265
1.0,1.0255,0.226375
1.0,1.0255,0.226125
1.0,1.025,0.226125
1.0,1.02525,0.226125
1.0,1.02575,0.226125
1.0,1.025625,0.226125
1.0,1.025125,0.226375
1.0,1.025,0.226375
1.0,1.02475,0.226625
1.0,1.024625,0.2265
1.0,1.024625,0.226375
1.0,1.02475,0.2265
1.0,1.02525,0.226625
2.0,1.079,0.203
2.0,1.07925,0.203125
2.0,1.0795,0.203125
2.0,1.0795,0.202625
2.0,1.07925,0.2025
2.0,1.079375,0.202375
2.0,1.079875,0.2025
2.0,1.079875,0.2025
2.0,1.079875,0.2025
2.0,1.0795,0.202625
2.0,1.0795,0.202625
2.0,1.07925,0.2025
2.0,1.079125,0.202625
2.0,1.079,0.20275
2.0,1.0785,0.20275
2.0,1.078625,0.202875
2.0,1.07925,0.203
2.0,1.0795,0.203
2.0,1.07975,0.20275
2.0,1.079375,0.202625
2.0,1.079125,0.202625
2.0,1.079,0.2025
2.0,1.0795,0.2025
2.0,1.079875,0.2025
2.0,1.079875,0.2025
2.0,1.07975,0.2025
2.0,1.0795,0.20275
2.0,1.079,0.202875
2.0,1.078875,0.20275
2.0,1.078875,0.2025
2.0,1.079,0.20275
2.0,1.079,0.202875
2.0,1.07875,0.202875
2.0,1.079125,0.202875
2.0,1.079625,0.20275
2.0,1.0795,0.20275
2.0,1.079625,0.202625
2.0,1.07925,0.202625
2.0,1.079125,0.20275
2.0,1.079,0.202625
2.0,1.0795,0.2025
2.0,1.0795,0.2025
2.0,1.079625,0.2025
2.0,1.079375,0.20275
2.0,1.079,0.202875
2.0,1.07875,0.202625
2.0,1.078875,0.202875
2.0,1.078875,0.202875
2.0,1.078625,0.202875
2.0,1.079125,0.202875
2.0,1.079375,0.202875
2.0,1.079375,0.202875
2.0,1.079375,0.20275
2.0,1.079125,0.20275
2.0,1.079125,0.202625
2.0,1.07925,0.202625
2.0,1.079625,0.202875
2.0,1.079625,0.202875
2.0,1.079375,0.2025
2.0,1.079375,0.202375
2.0,1.079,0.2025
2.0,1.078625,0.2025
2.0,1.078625,0.202625
2.0,1.078625,0.20275
2.0,1.078875,0.20275
2.0,1.078875,0.20275
2.0,1.07875,0.20275
2.0,1.078875,0.202875
2.0,1.079,0.202875
2.0,1.07875,0.202875
2.0,1.079125,0.202625
2.0,1.07925,0.202625
2.0,1.079125,0.202625
2.0,1.079125,0.202625
2.0,1.079375,0.202625
2.0,1.0795,0.202375
2.0,1.07925,0.2025
2.0,1.079,0.2025
2.0,1.07875,0.20275
2.0,1.078875,0.202625
2.0,1.07925,0.202625
2.0,1.079,0.202625
2.0,1.0785,0.2025
2.0,1.07875,0.203
2.0,1.079,0.202875
2.0,1.07925,0.202625
2.0,1.079,0.20275
2.0,1.07925,0.202625
2.0,1.079625,0.202625
2.0,1.079625,0.202625
2.0,1.0795,0.202625
2.0,1.079375,0.2025
2.0,1.0795,0.202625
2.0,1.079375,0.202875
2.0,1.07925,0.20275
2.0,1.07925,0.202625
2.0,1.07925,0.202625
2.0,1.079125,0.202875
2.0,1.078625,0.202625
2.0,1.0785,0.202875
2.0,1.079125,0.202875
2.0,1.0795,0.203125
2.0,1.079375,0.202875
2.0,1.07925,0.20275
2.0,1.079125,0.20275
2.0,1.079125,0.202625
2.0,1.0795,0.202625
2.0,1.079625,0.2025
2.0,1.079875,0.2025
2.0,1.07925,0.2025
2.0,1.07875,0.2025
2.0,1.078625,0.20275
2.0,1.078875,0.2025
2.0,1.079,0.202625
2.0,1.07925,0.202875
2.0,1.07875,0.20275
2.0,1.07875,0.20275
2.0,1.079,0.20275
2.0,1.07925,0.20275
2.0,1.07925,0.202625
2.0,1.079,0.203
2.0,1.079,0.20275
2.0,1.079,0.20275
2.0,1.079375,0.202625
2.0,1.0795,0.2025
2.0,1.079875,0.202375
2.0,1.079625,0.202375
2.0,1.079,0.202375
2.0,1.07875,0.202625
2.0,1.07875,0.202875
2.0,1.079,0.202875
2.0,1.079,0.20275
2.0,1.079,0.202875
2.0,1.07925,0.202875
2.0,1.0795,0.202875
2.0,1.079375,0.202875
2.0,1.079625,0.203
2.0,1.079375,0.202875
2.0,1.079375,0.202875
2.0,1.079125,0.202625
2.0,1.079625,0.202625
2.0,1.079625,0.202375
2.0,1.079875,0.2025
2.0,1.07975,0.202625
2.0,1.079375,0.20275
2.0,1.079125,0.202625
2.0,1.078875,0.20275
2.0,1.079,0.20275
2.0,1.07875,0.20275
2.0,1.0785,0.202875
2.0,1.078875,0.203
2.0,1.079125,0.202875
2.0,1.078875,0.20275
2.0,1.078875,0.202625
2.0,1.078875,0.202625
2.0,1.079375,0.202375
2.0,1.0795,0.2025
2.0,1.07975,0.202625
2.0,1.08,0.202375
2.0,1.079625,0.20225
2.0,1.079125,0.20275
2.0,1.078875,0.20275
2.0,1.079125,0.20275
2.0,1.079,0.202625
2.0,1.079,0.202875
2.0,1.0785,0.202875
2.0,1.078375,0.20275
2.0,1.079,0.202875
2.0,1.079375,0.20275
3.0,1.13425,0.1805
3.0,1.134,0.18025
3.0,1.134375,0.180375
3.0,1.134625,0.1805
3.0,1.1345,0.18025
3.0,1.13425,0.18025
3.0,1.133625,0.180375
3.0,1.133625,0.1805
3.0,1.133625,0.1805
3.0,1.1335,0.180375
3.0,1.133375,0.180625
3.0,1.1335,0.18075
3.0,1.1335,0.180625
3.0,1.13375,0.180625
3.0,1.134,0.180625
3.0,1.133875,0.1805
3.0,1.133875,0.180375
3.0,1.13425,0.1805
3.0,1.134,0.180375
3.0,1.133875,0.180375
3.0,1.134,0.180375
3.0,1.13375,0.180125
3.0,1.134,0.180375
3.0,1.133625,0.18075
3.0,1.133625,0.18075
3.0,1.1335,0.180625
3.0,1.133375,0.180375
3.0,1.13375,0.180375
3.0,1.133125,0.1805
3.0,1.133625,0.180625
3.0,1.134,0.1805
3.0,1.13425,0.18075
3.0,1.134,0.180875
3.0,1.134125,0.18075
3.0,1.134375,0.1805
3.0,1.13425,0.180375
3.0,1.1345,0.1805
3.0,1.1345,0.18025
3.0,1.1345,0.180375
3.0,1.13375,0.180375
3.0,1.133625,0.180625
3.0,1.133625,0.180625
3.0,1.133875,0.180625
3.0,1.1335,0.1805
3.0,1.13325,0.1805
3.0,1.13325,0.180625
3.0,1.133625,0.18075
3.0,1.133875,0.18075
3.0,1.134125,0.18075
3.0,1.134375,0.1805
3.0,1.134125,0.180625
3.0,1.134125,0.18025
3.0,1.134375,0.180375
3.0,1.1345,0.18025
3.0,1.1345,0.18025
3.0,1.133875,0.180375
3.0,1.1335,0.1805
3.0,1.1335,0.1805
3.0,1.133375,0.1805
3.0,1.13375,0.180375
3.0,1.133875,0.180375
