#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~~~~~~ RAPP measurements | INTI ~~~~~~~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1
0.0,0.970625,0.2505
0.0,0.97075,0.250375
0.0,0.97075,0.250625
0.0,0.970625,0.250375
0.0,0.970625,0.250125
0.0,0.971,0.250125
0.0,0.971125,0.249875
0.0,0.9715,0.25
0.0,0.9715,0.25
0.0,0.971375,0.25
0.0,0.971,0.25
0.0,0.970625,0.250125
0.0,0.97025,0.250125
0.0,0.970375,0.25025
0.0,0.97075,0.250375
0.0,0.97075,0.250375
0.0,0.97075,0.25025
0.0,0.971,0.250625
0.0,0.970875,0.2505
0.0,0.97075,0.25025
0.0,0.971,0.250375
0.0,0.971375,0.25025
0.0,0.97125,0.25
0.0,0.9715,0.250125
0.0,0.9715,0.25
0.0,0.971375,0.25
0.0,0.971,0.249875
0.0,0.970875,0.250125
0.0,0.970875,0.250125
0.0,0.970875,0.25
0.0,0.970625,0.25
0.0,0.9705,0.250125
0.0,0.9705,0.25025
0.0,0.9705,0.2505
0.0,0.97075,0.250375
0.0,0.971,0.25025
0.0,0.970875,0.250125
0.0,0.971125,0.250125
0.0,0.971125,0.25025
0.0,0.970875,0.250125
0.0,0.970875,0.250125
0.0,0.970875,0.250125
0.0,0.971125,0.25
0.0,0.970875,0.250125
0.0,0.9705,0.2505
0.0,0.9705,0.25025
0.0,0.97075,0.25025
0.0,0.971,0.250375
0.0,0.9705,0.250125
0.0,0.970375,0.250375
0.0,0.97075,0.250625
0.0,0.971,0.250625
0.0,0.971,0.250625
0.0,0.971125,0.25025
0.0,0.971125,0.25025
0.0,0.971125,0.25025
0.0,0.971125,0.25
0.0,0.971125,0.25
0.0,0.971,0.249875
0.0,0.971,0.24975
0.0,0.970875,0.249875
0.0,0.97075,0.250375
0.0,0.97125,0.250375
0.0,0.970875,0.250375
0.0,0.97075,0.250375
0.0,0.970625,0.250375
0.0,0.970875,0.2505
0.0,0.971,0.2505
0.0,0.971375,0.2505
0.0,0.971,0.250375
0.0,0.97075,0.250125
0.0,0.97075,0.25
0.0,0.971,0.25
0.0,0.971,0.25
0.0,0.97125,0.25
0.0,0.971625,0.249875
0.0,0.971375,0.249875
0.0,0.971,0.25
0.0,0.970875,0.25
0.0,0.970875,0.25025
0.0,0.970625,0.25025
0.0,0.97025,0.250375
0.0,0.9705,0.250375
0.0,0.9705,0.2505
0.0,0.971,0.2505
0.0,0.97125,0.2505
0.0,0.970875,0.25025
0.0,0.970875,0.25025
0.0,0.97075,0.25025
0.0,0.97075,0.25025
0.0,0.97075,0.250125
0.0,0.971125,0.250125
0.0,0.9715,0.25
0.0,0.971375,0.250125
0.0,0.970625,0.250375
0.0,0.9705,0.2505
0.0,0.970625,0.250375
0.0,0.970875,0.250375
0.0,0.9705,0.250125
0.0,0.97025,0.250375
0.0,0.970375,0.250375
0.0,0.9705,0.250125
0.0,0.970875,0.250375
0.0,0.971,0.25025
0.0,0.971,0.250375
0.0,0.971,0.250125
0.0,0.971125,0.250125
0.0,0.97125,0.25
0.0,0.971375,0.25
0.0,0.971375,0.24975
0.0,0.971375,0.25
0.0,0.971,0.25025
0.0,0.971375,0.250375
0.0,0.971125,0.25025
0.0,0.971,0.25025
0.0,0.970625,0.250375
0.0,0.97075,0.25025
0.0,0.970625,0.2505
0.0,0.97075,0.250625
0.0,0.970875,0.2505
0.0,0.971125,0.25
0.0,0.971125,0.249875
0.0,0.970875,0.249875
0.0,0.970875,0.250125
0.0,0.971125,0.250125
0.0,0.97125,0.25
0.0,0.97125,0.250125
0.0,0.970625,0.25025
0.0,0.9705,0.250125
0.0,0.970625,0.250125
0.0,0.970625,0.250125
0.0,0.970875,0.250125
0.0,0.970625,0.25025
0.0,0.970625,0.25025
0.0,0.97075,0.25025
0.0,0.9705,0.250375
0.0,0.9705,0.250375
0.0,0.970625,0.250375
0.0,0.970625,0.250375
0.0,0.97075,0.25025
0.0,0.970875,0.25
0.0,0.971375,0.250125
0.0,0.97125,0.249875
0.0,0.97075,0.25
0.0,0.970875,0.25025
0.0,0.970625,0.25025
0.0,0.970625,0.25025
0.0,0.97075,0.250375
0.0,0.970625,0.250375
0.0,0.970625,0.250375
0.0,0.970625,0.2505
0.0,0.970875,0.250375
0.0,0.970625,0.2505
0.0,0.970375,0.25025
0.0,0.970375,0.25025
0.0,0.971,0.250125
0.0,0.97125,0.25025
0.0,0.971125,0.25025
0.0,0.971125,0.250125
0.0,0.971125,0.25
0.0,0.970875,0.250125
0.0,0.9705,0.25025
0.0,0.970875,0.25025
0.0,0.97075,0.25025
0.0,0.970625,0.250375
0.0,0.970125,0.250125
0.0,0.97025,0.25025
0.0,0.971,0.250375
0.0,0.971125,0.2505
1.0,1.023875,0.225875
1.0,1.023875,0.225625
1.0,1.024125,0.225375
1.0,1.024125,0.225375
1.0,1.02375,0.2255
1.0,1.0235,0.2255
1.0,1.023125,0.225625
1.0,1.023125,0.225625
1.0,1.023125,0.225625
1.0,1.0235,0.225875
1.0,1.02325,0.22575
1.0,1.023625,0.22575
1.0,1.02375,0.225875
1.0,1.023875,0.226
1.0,1.0235,0.22575
1.0,1.023625,0.225875
1.0,1.024,0.22575
1.0,1.023875,0.225625
1.0,1.023875,0.225625
1.0,1.024125,0.2255
1.0,1.024375,0.225375
1.0,1.023875,0.2255
1.0,1.023375,0.225625
1.0,1.02325,0.22575
1.0,1.02325,0.225625
1.0,1.023375,0.225625
1.0,1.02375,0.225625
1.0,1.0235,0.2255
1.0,1.023375,0.22575
1.0,1.0235,0.225875
1.0,1.024,0.225875
1.0,1.024,0.22575
1.0,1.023625,0.22575
1.0,1.023875,0.22575
1.0,1.024125,0.22575
1.0,1.024375,0.225625
1.0,1.0245,0.2255
1.0,1.0245,0.225625
1.0,1.024125,0.2255
1.0,1.023875,0.2255
1.0,1.02375,0.2255
1.0,1.02375,0.2255
1.0,1.02375,0.225625
1.0,1.02375,0.225625
1.0,1.023375,0.225625
1.0,1.023625,0.225875
1.0,1.023875,0.226125
1.0,1.02375,0.22575
1.0,1.023625,0.225625
1.0,1.023875,0.225625
1.0,1.023875,0.225625
1.0,1.02375,0.2255
1.0,1.024125,0.225625
1.0,1.024125,0.225625
1.0,1.023875,0.225625
1.0,1.02375,0.22575
1.0,1.02325,0.22575
1.0,1.02325,0.22575
1.0,1.02325,0.225875
1.0,1.02325,0.22575
1.0,1.023125,0.225625
1.0,1.022875,0.22575
1.0,1.023125,0.225875
1.0,1.023875,0.225875
1.0,1.024,0.22575
1.0,1.024,0.22575
1.0,1.024,0.225625
1.0,1.024125,0.2255
1.0,1.024375,0.225625
1.0,1.0245,0.225375
1.0,1.02475,0.225375
1.0,1.023625,0.2255
1.0,1.023375,0.22575
1.0,1.023375,0.22575
1.0,1.023625,0.225875
1.0,1.023625,0.225875
1.0,1.023625,0.225625
1.0,1.0235,0.225875
1.0,1.0235,0.225875
1.0,1.023875,0.22625
1.0,1.02425,0.22625
1.0,1.024125,0.225875
1.0,1.023875,0.225625
1.0,1.023625,0.225625
1.0,1.02375,0.225625
1.0,1.024,0.2255
1.0,1.02425,0.2255
1.0,1.0245,0.225625
1.0,1.023875,0.225625
1.0,1.023875,0.225625
1.0,1.0235,0.2255
1.0,1.023625,0.225625
1.0,1.023875,0.225875
1.0,1.02375,0.225875
1.0,1.023375,0.225875
1.0,1.0235,0.226
1.0,1.0235,0.226125
1.0,1.023625,0.226
1.0,1.024,0.22575
1.0,1.024,0.2255
1.0,1.023875,0.2255
1.0,1.023875,0.2255
1.0,1.024375,0.2255
1.0,1.024375,0.225625
1.0,1.024125,0.225625
1.0,1.024125,0.225625
1.0,1.023625,0.225625
1.0,1.023625,0.22575
1.0,1.02375,0.225625
1.0,1.0235,0.22575
1.0,1.02325,0.22575
1.0,1.02325,0.22575
1.0,1.02325,0.226
1.0,1.02375,0.225875
1.0,1.02375,0.225875
1.0,1.02375,0.225875
1.0,1.024125,0.225875
1.0,1.02375,0.225625
1.0,1.023625,0.225625
1.0,1.024125,0.2255
1.0,1.024,0.2255
1.0,1.024,0.225625
1.0,1.024125,0.225625
1.0,1.024,0.22575
1.0,1.023625,0.22575
1.0,1.023375,0.225875
1.0,1.023375,0.225875
1.0,1.023125,0.225875
1.0,1.023375,0.22575
1.0,1.023375,0.225875
1.0,1.02375,0.226
1.0,1.023875,0.22575
1.0,1.02425,0.225875
1.0,1.02425,0.225625
1.0,1.024,0.225625
1.0,1.023875,0.2255
1.0,1.024,0.2255
1.0,1.02425,0.225375
1.0,1.02425,0.225375
1.0,1.024125,0.2255
1.0,1.023875,0.225875
1.0,1.02375,0.226
1.0,1.0235,0.226
1.0,1.02325,0.225875
1.0,1.02325,0.22575
1.0,1.0235,0.225875
1.0,1.023875,0.226125
1.0,1.024125,0.226
1.0,1.02425,0.22575
1.0,1.0245,0.22575
1.0,1.024,0.22575
1.0,1.023875,0.225625
1.0,1.02425,0.22575
1.0,1.024,0.2255
1.0,1.024,0.2255
1.0,1.024,0.225625
1.0,1.024125,0.2255
1.0,1.023625,0.225625
1.0,1.023375,0.22575
1.0,1.0235,0.226
1.0,1.023375,0.225875
1.0,1.023125,0.225875
1.0,1.023375,0.225875
1.0,1.02375,0.226
1.0,1.02425,0.225625
1.0,1.024,0.225625
1.0,1.024,0.22575
1.0,1.024125,0.225625
1.0,1.02425,0.225625
2.0,1.07725,0.2025
2.0,1.077625,0.2025
2.0,1.077625,0.2025
2.0,1.07775,0.20225
2.0,1.077625,0.202375
2.0,1.07725,0.20225
2.0,1.077625,0.20225
2.0,1.078125,0.20225
2.0,1.078125,0.20225
2.0,1.0785,0.202125
2.0,1.078125,0.2025
2.0,1.077625,0.202375
2.0,1.077125,0.202375
2.0,1.0775,0.202375
2.0,1.077625,0.20225
2.0,1.077375,0.202375
