#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-28 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
3443.0    1.732375  1.77875   2023-12-28T16:59:32.608500
3443.0    1.73275   1.778875  2023-12-28T16:59:32.608500
3443.0    1.733     1.779125  2023-12-28T16:59:32.608500
3443.0    1.732875  1.7795    2023-12-28T16:59:32.608500
3443.0    1.73225   1.7795    2023-12-28T16:59:32.608500
3443.0    1.73175   1.7795    2023-12-28T16:59:32.608500
3443.0    1.732     1.7795    2023-12-28T16:59:32.608500
3443.0    1.73225   1.7795    2023-12-28T16:59:32.608500
3443.0    1.73225   1.7795    2023-12-28T16:59:32.608500
3443.0    1.731875  1.7795    2023-12-28T16:59:32.608500
3443.0    1.7315    1.778625  2023-12-28T16:59:32.608500
3443.0    1.731625  1.778375  2023-12-28T16:59:32.608500
3443.0    1.732125  1.7785    2023-12-28T16:59:32.608500
3443.0    1.73225   1.778875  2023-12-28T16:59:32.608500
3443.0    1.73225   1.778625  2023-12-28T16:59:32.608500
3443.0    1.732375  1.77825   2023-12-28T16:59:32.608500
3443.0    1.73225   1.7785    2023-12-28T16:59:32.608500
3443.0    1.7325    1.779     2023-12-28T16:59:32.608500
3443.0    1.73275   1.779375  2023-12-28T16:59:32.608500
3443.0    1.732875  1.779125  2023-12-28T16:59:32.608500
3443.0    1.7325    1.779125  2023-12-28T16:59:32.608500
3443.0    1.732     1.77925   2023-12-28T16:59:32.608500
3443.0    1.73175   1.7795    2023-12-28T16:59:32.608500
3443.0    1.73175   1.7795    2023-12-28T16:59:32.608500
3443.0    1.731875  1.780125  2023-12-28T16:59:32.608500
3443.0    1.731875  1.77975   2023-12-28T16:59:32.608500
3443.0    1.7315    1.77925   2023-12-28T16:59:32.608500
3443.0    1.731375  1.7785    2023-12-28T16:59:32.608500
3443.0    1.7315    1.77825   2023-12-28T16:59:32.608500
3443.0    1.732125  1.7785    2023-12-28T16:59:32.608500
3443.0    1.731875  1.778625  2023-12-28T16:59:32.608500
3443.0    1.73225   1.778125  2023-12-28T16:59:32.608500
3443.0    1.732375  1.778125  2023-12-28T16:59:32.608500
3443.0    1.732375  1.778625  2023-12-28T16:59:32.608500
3443.0    1.7325    1.779125  2023-12-28T16:59:32.608500
3443.0    1.733     1.77925   2023-12-28T16:59:32.608500
3443.0    1.73275   1.779625  2023-12-28T16:59:32.608500
3443.0    1.7325    1.77975   2023-12-28T16:59:32.608500
3443.0    1.7325    1.77975   2023-12-28T16:59:32.608500
3443.0    1.732     1.7795    2023-12-28T16:59:32.608500
3443.0    1.732     1.779875  2023-12-28T16:59:32.608500
3443.0    1.732     1.77975   2023-12-28T16:59:32.608500
3443.0    1.732     1.7795    2023-12-28T16:59:32.608500
3443.0    1.731625  1.77875   2023-12-28T16:59:32.608500
3443.0    1.731375  1.778375  2023-12-28T16:59:32.608500
3443.0    1.731875  1.7785    2023-12-28T16:59:32.608500
3443.0    1.732125  1.7785    2023-12-28T16:59:32.608500
3443.0    1.731875  1.77825   2023-12-28T16:59:32.608500
3443.0    1.732     1.778     2023-12-28T16:59:32.608500
3443.0    1.73225   1.778125  2023-12-28T16:59:32.608500
3444.0    1.773     1.749375  2023-12-28T16:59:34.655375
3444.0    1.773     1.74975   2023-12-28T16:59:34.655375
3444.0    1.773125  1.75025   2023-12-28T16:59:34.655375
3444.0    1.773375  1.7505    2023-12-28T16:59:34.655375
3444.0    1.773875  1.750875  2023-12-28T16:59:34.655375
3444.0    1.773625  1.751125  2023-12-28T16:59:34.655375
3444.0    1.773125  1.751     2023-12-28T16:59:34.655375
3444.0    1.7725    1.751     2023-12-28T16:59:34.655375
3444.0    1.7725    1.751     2023-12-28T16:59:34.655375
3444.0    1.772625  1.751375  2023-12-28T16:59:34.655375
3444.0    1.773     1.751125  2023-12-28T16:59:34.655375
3444.0    1.77275   1.750875  2023-12-28T16:59:34.655375
3444.0    1.7725    1.750625  2023-12-28T16:59:34.655375
3444.0    1.77225   1.75025   2023-12-28T16:59:34.655375
3444.0    1.772625  1.75025   2023-12-28T16:59:34.655375
3444.0    1.77275   1.750125  2023-12-28T16:59:34.655375
3444.0    1.772625  1.74975   2023-12-28T16:59:34.655375
3444.0    1.77275   1.7495    2023-12-28T16:59:34.655375
3444.0    1.773125  1.749875  2023-12-28T16:59:34.655375
3444.0    1.77325   1.750625  2023-12-28T16:59:34.655375
3444.0    1.773625  1.750625  2023-12-28T16:59:34.655375
3444.0    1.773625  1.750625  2023-12-28T16:59:34.655375
3444.0    1.7735    1.75125   2023-12-28T16:59:34.655375
3444.0    1.7735    1.75125   2023-12-28T16:59:34.655375
3444.0    1.772875  1.751125  2023-12-28T16:59:34.655375
3444.0    1.7725    1.75125   2023-12-28T16:59:34.655375
3444.0    1.77275   1.7515    2023-12-28T16:59:34.655375
3444.0    1.773     1.75125   2023-12-28T16:59:34.655375
3444.0    1.772875  1.750875  2023-12-28T16:59:34.655375
3444.0    1.77225   1.750625  2023-12-28T16:59:34.655375
3444.0    1.772375  1.75      2023-12-28T16:59:34.655375
3444.0    1.77275   1.75025   2023-12-28T16:59:34.655375
3444.0    1.77275   1.750125  2023-12-28T16:59:34.655375
3444.0    1.772875  1.749625  2023-12-28T16:59:34.655375
3444.0    1.773     1.7495    2023-12-28T16:59:34.655375
3444.0    1.773     1.750375  2023-12-28T16:59:34.655375
3444.0    1.77325   1.751     2023-12-28T16:59:34.655375
