#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-28 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
2002.001  2.387     1.752375  2023-12-28T16:08:05.014750
2002.001  2.387     1.752875  2023-12-28T16:08:05.014750
2002.001  2.38725   1.75325   2023-12-28T16:08:05.014750
2002.001  2.38775   1.753375  2023-12-28T16:08:05.014750
2002.001  2.38775   1.7535    2023-12-28T16:08:05.014750
2002.001  2.38725   1.7535    2023-12-28T16:08:05.014750
2002.001  2.386625  1.75325   2023-12-28T16:08:05.014750
2002.001  2.386375  1.753625  2023-12-28T16:08:05.014750
2002.001  2.386375  1.753625  2023-12-28T16:08:05.014750
2002.001  2.38675   1.754125  2023-12-28T16:08:05.014750
2002.001  2.387     1.75375   2023-12-28T16:08:05.030375
2002.001  2.3865    1.75325   2023-12-28T16:08:05.030375
2002.001  2.386     1.753     2023-12-28T16:08:05.030375
2002.001  2.386375  1.753     2023-12-28T16:08:05.030375
2002.001  2.38675   1.753125  2023-12-28T16:08:05.030375
2002.001  2.386625  1.752625  2023-12-28T16:08:05.030375
2002.001  2.38675   1.75175   2023-12-28T16:08:05.030375
2002.001  2.387     1.75175   2023-12-28T16:08:05.030375
2002.001  2.387125  1.753     2023-12-28T16:08:05.030375
2002.001  2.3875    1.75325   2023-12-28T16:08:05.030375
2002.001  2.38775   1.753125  2023-12-28T16:08:05.030375
2002.001  2.387625  1.752875  2023-12-28T16:08:05.030375
2002.001  2.387125  1.753125  2023-12-28T16:08:05.030375
2002.001  2.387125  1.753125  2023-12-28T16:08:05.030375
2002.001  2.3865    1.7535    2023-12-28T16:08:05.030375
2002.001  2.3865    1.75375   2023-12-28T16:08:05.030375
2002.001  2.38675   1.753625  2023-12-28T16:08:05.030375
2002.001  2.386625  1.75375   2023-12-28T16:08:05.030375
2002.001  2.38625   1.7535    2023-12-28T16:08:05.030375
2002.001  2.386     1.752875  2023-12-28T16:08:05.030375
2002.001  2.386375  1.7525    2023-12-28T16:08:05.030375
2002.001  2.38675   1.7525    2023-12-28T16:08:05.030375
2002.001  2.38675   1.7525    2023-12-28T16:08:05.030375
2002.001  2.387     1.75225   2023-12-28T16:08:05.030375
2002.001  2.386875  1.752375  2023-12-28T16:08:05.030375
2002.001  2.387125  1.75325   2023-12-28T16:08:05.030375
2002.001  2.387625  1.753375  2023-12-28T16:08:05.030375
2002.001  2.388     1.75325   2023-12-28T16:08:05.030375
2002.001  2.388     1.75325   2023-12-28T16:08:05.030375
2002.001  2.387625  1.753375  2023-12-28T16:08:05.030375
2002.001  2.387     1.75325   2023-12-28T16:08:05.030375
2002.001  2.386375  1.753     2023-12-28T16:08:05.030375
2002.001  2.386625  1.75375   2023-12-28T16:08:05.030375
2002.001  2.386875  1.754     2023-12-28T16:08:05.030375
2002.001  2.386875  1.7535    2023-12-28T16:08:05.030375
2002.001  2.38625   1.753     2023-12-28T16:08:05.030375
2002.001  2.386125  1.7525    2023-12-28T16:08:05.030375
2002.001  2.386625  1.752875  2023-12-28T16:08:05.030375
