#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-29 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
2010.0    1.059     1.00525   2023-12-29T16:44:58.109375
2010.0    1.059375  1.00525   2023-12-29T16:44:58.109375
2010.0    1.06      1.0055    2023-12-29T16:44:58.109375
2010.0    1.06      1.00575   2023-12-29T16:44:58.109375
2010.0    1.06025   1.00575   2023-12-29T16:44:58.109375
2010.0    1.06      1.00575   2023-12-29T16:44:58.109375
2010.0    1.059625  1.005125  2023-12-29T16:44:58.109375
2010.0    1.0595    1.005     2023-12-29T16:44:58.109375
2010.0    1.0595    1.005     2023-12-29T16:44:58.109375
2010.0    1.060375  1.005125  2023-12-29T16:44:58.109375
2010.0    1.06075   1.005375  2023-12-29T16:44:58.109375
2010.0    1.06      1.005     2023-12-29T16:44:58.109375
2010.0    1.059625  1.004875  2023-12-29T16:44:58.109375
2010.0    1.059625  1.00475   2023-12-29T16:44:58.109375
2010.0    1.059375  1.004875  2023-12-29T16:44:58.109375
2010.0    1.058875  1.005125  2023-12-29T16:44:58.109375
2010.0    1.05875   1.004875  2023-12-29T16:44:58.109375
2010.0    1.05925   1.005125  2023-12-29T16:44:58.109375
2010.0    1.0595    1.005125  2023-12-29T16:44:58.109375
2010.0    1.05975   1.00525   2023-12-29T16:44:58.109375
2010.0    1.060125  1.005625  2023-12-29T16:44:58.109375
2010.0    1.06      1.005625  2023-12-29T16:44:58.109375
2010.0    1.06      1.0055    2023-12-29T16:44:58.109375
2010.0    1.06025   1.0055    2023-12-29T16:44:58.109375
2010.0    1.060375  1.00525   2023-12-29T16:44:58.109375
2010.0    1.0605    1.005125  2023-12-29T16:44:58.109375
2010.0    1.060625  1.00525   2023-12-29T16:44:58.109375
2010.0    1.060125  1.00525   2023-12-29T16:44:58.109375
