#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-29 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
570.0     0.0       1.004125  2023-12-29T15:49:17.968750
570.0     1.04175   1.00425   2023-12-29T15:49:17.968750
570.0     1.04175   1.00425   2023-12-29T15:49:17.968750
570.0     1.04175   1.003875  2023-12-29T15:49:17.968750
570.0     1.041625  1.003625  2023-12-29T15:49:17.968750
570.0     1.042     1.00375   2023-12-29T15:49:17.968750
570.0     1.041875  1.00375   2023-12-29T15:49:17.968750
570.0     1.04175   1.003625  2023-12-29T15:49:17.968750
570.0     1.041375  1.003625  2023-12-29T15:49:17.968750
570.0     1.0415    1.003375  2023-12-29T15:49:17.968750
570.0     1.041375  1.003375  2023-12-29T15:49:17.968750
570.0     1.040875  1.003625  2023-12-29T15:49:17.968750
570.0     1.040625  1.00375   2023-12-29T15:49:17.968750
570.0     1.0405    1.00375   2023-12-29T15:49:17.968750
570.0     1.041     1.003875  2023-12-29T15:49:17.968750
570.0     1.041     1.00375   2023-12-29T15:49:17.968750
570.0     1.041875  1.004125  2023-12-29T15:49:17.968750
570.0     1.041625  1.00425   2023-12-29T15:49:17.968750
570.0     1.041375  1.00425   2023-12-29T15:49:17.968750
570.0     1.041875  1.003875  2023-12-29T15:49:17.968750
570.0     1.04175   1.00375   2023-12-29T15:49:17.968750
570.0     1.04175   1.003375  2023-12-29T15:49:17.968750
570.0     1.04225   1.0035    2023-12-29T15:49:17.968750
570.0     1.042     1.0035    2023-12-29T15:49:17.968750
570.0     1.0415    1.0035    2023-12-29T15:49:17.968750
570.0     1.041125  1.0035    2023-12-29T15:49:17.968750
570.0     1.041125  1.003375  2023-12-29T15:49:17.968750
570.0     1.041125  1.003625  2023-12-29T15:49:17.968750
570.0     1.041     1.003625  2023-12-29T15:49:17.968750
570.0     1.040625  1.00375   2023-12-29T15:49:17.968750
570.0     1.040625  1.00375   2023-12-29T15:49:17.968750
570.0     1.040625  1.003625  2023-12-29T15:49:17.968750
570.0     1.041125  1.003625  2023-12-29T15:49:17.968750
570.0     1.041625  1.004125  2023-12-29T15:49:17.968750
570.0     1.041625  1.004375  2023-12-29T15:49:17.968750
570.0     1.04125   1.00425   2023-12-29T15:49:17.968750
570.0     1.041375  1.004     2023-12-29T15:49:17.968750
570.0     1.04175   1.00375   2023-12-29T15:49:17.968750
570.0     1.04225   1.00375   2023-12-29T15:49:17.968750
570.0     1.04225   1.00375   2023-12-29T15:49:17.968750
570.0     1.04175   1.00375   2023-12-29T15:49:17.968750
570.0     1.041375  1.00375   2023-12-29T15:49:17.968750
570.0     1.041     1.0035    2023-12-29T15:49:17.968750
570.0     1.041     1.003375  2023-12-29T15:49:17.968750
570.0     1.041125  1.003625  2023-12-29T15:49:17.968750
570.0     1.041125  1.00375   2023-12-29T15:49:17.968750
570.0     1.041125  1.00375   2023-12-29T15:49:17.968750
570.0     1.040875  1.00375   2023-12-29T15:49:17.968750
570.0     1.041     1.003875  2023-12-29T15:49:17.968750
570.0     1.0415    1.003875  2023-12-29T15:49:17.968750
571.0     1.00425   0.96075   2023-12-29T15:49:19.828125
571.0     1.003875  0.960625  2023-12-29T15:49:19.828125
571.0     1.00375   0.960875  2023-12-29T15:49:19.828125
571.0     1.00375   0.961     2023-12-29T15:49:19.828125
571.0     1.003875  0.960875  2023-12-29T15:49:19.828125
571.0     1.003625  0.961125  2023-12-29T15:49:19.828125
571.0     1.004     0.961125  2023-12-29T15:49:19.828125
571.0     1.00475   0.961125  2023-12-29T15:49:19.828125
571.0     1.00475   0.961125  2023-12-29T15:49:19.828125
571.0     1.004625  0.961375  2023-12-29T15:49:19.828125
571.0     1.0045    0.961375  2023-12-29T15:49:19.828125
571.0     1.004875  0.9615    2023-12-29T15:49:19.828125
571.0     1.004625  0.96125   2023-12-29T15:49:19.828125
571.0     1.004625  0.961     2023-12-29T15:49:19.828125
571.0     1.00475   0.961     2023-12-29T15:49:19.828125
571.0     1.0045    0.961125  2023-12-29T15:49:19.828125
571.0     1.00425   0.96075   2023-12-29T15:49:19.828125
571.0     1.00425   0.960625  2023-12-29T15:49:19.828125
571.0     1.00425   0.960625  2023-12-29T15:49:19.828125
571.0     1.004125  0.960875  2023-12-29T15:49:19.828125
571.0     1.003625  0.961     2023-12-29T15:49:19.843750
571.0     1.003375  0.961     2023-12-29T15:49:19.843750
571.0     1.003625  0.961125  2023-12-29T15:49:19.843750
571.0     1.003625  0.961125  2023-12-29T15:49:19.843750
571.0     1.003875  0.96125   2023-12-29T15:49:19.843750
571.0     1.00425   0.96125   2023-12-29T15:49:19.843750
571.0     1.004375  0.961375  2023-12-29T15:49:19.843750
571.0     1.0045    0.9615    2023-12-29T15:49:19.843750
571.0     1.0045    0.961375  2023-12-29T15:49:19.843750
571.0     1.005     0.961     2023-12-29T15:49:19.843750
571.0     1.005     0.961     2023-12-29T15:49:19.843750
571.0     1.005125  0.961     2023-12-29T15:49:19.843750
571.0     1.004875  0.961     2023-12-29T15:49:19.843750
571.0     1.00425   0.960875  2023-12-29T15:49:19.843750
571.0     1.004125  0.960625  2023-12-29T15:49:19.843750
571.0     1.004     0.96075   2023-12-29T15:49:19.843750
571.0     1.00425   0.960875  2023-12-29T15:49:19.843750
571.0     1.003875  0.960875  2023-12-29T15:49:19.843750
571.0     1.003875  0.960875  2023-12-29T15:49:19.843750
571.0     1.003625  0.961     2023-12-29T15:49:19.843750
571.0     1.003625  0.96125   2023-12-29T15:49:19.843750
571.0     1.004     0.96125   2023-12-29T15:49:19.843750
571.0     1.004625  0.961375  2023-12-29T15:49:19.843750
571.0     1.004625  0.961625  2023-12-29T15:49:19.843750
571.0     1.005125  0.961625  2023-12-29T15:49:19.843750
571.0     1.004875  0.961375  2023-12-29T15:49:19.843750
571.0     1.0045    0.960875  2023-12-29T15:49:19.843750
571.0     1.004875  0.96075   2023-12-29T15:49:19.843750
571.0     1.005     0.961     2023-12-29T15:49:19.843750
571.0     1.005125  0.961     2023-12-29T15:49:19.843750
572.0     0.96675   0.918875  2023-12-29T15:49:21.703125
572.0     0.96675   0.91875   2023-12-29T15:49:21.703125
572.0     0.96675   0.918375  2023-12-29T15:49:21.703125
572.0     0.967     0.918     2023-12-29T15:49:21.703125
572.0     0.96775   0.91825   2023-12-29T15:49:21.703125
572.0     0.9675    0.918125  2023-12-29T15:49:21.703125
572.0     0.966875  0.918     2023-12-29T15:49:21.703125
572.0     0.966625  0.91775   2023-12-29T15:49:21.703125
572.0     0.966625  0.91775   2023-12-29T15:49:21.703125
572.0     0.96625   0.91775   2023-12-29T15:49:21.703125
572.0     0.966375  0.917875  2023-12-29T15:49:21.703125
572.0     0.96625   0.918     2023-12-29T15:49:21.703125
572.0     0.966375  0.91825   2023-12-29T15:49:21.703125
572.0     0.966375  0.91825   2023-12-29T15:49:21.703125
572.0     0.966625  0.91825   2023-12-29T15:49:21.703125
572.0     0.96675   0.918375  2023-12-29T15:49:21.703125
572.0     0.966625  0.918625  2023-12-29T15:49:21.703125
572.0     0.967125  0.918625  2023-12-29T15:49:21.703125
572.0     0.967125  0.918375  2023-12-29T15:49:21.703125
572.0     0.96675   0.91825   2023-12-29T15:49:21.703125
572.0     0.967     0.918125  2023-12-29T15:49:21.703125
572.0     0.967125  0.918     2023-12-29T15:49:21.703125
572.0     0.967125  0.918125  2023-12-29T15:49:21.703125
572.0     0.967125  0.918125  2023-12-29T15:49:21.703125
572.0     0.966375  0.917875  2023-12-29T15:49:21.703125
572.0     0.966     0.91775   2023-12-29T15:49:21.703125
572.0     0.966125  0.918     2023-12-29T15:49:21.703125
572.0     0.966375  0.91825   2023-12-29T15:49:21.703125
572.0     0.965875  0.91825   2023-12-29T15:49:21.703125
572.0     0.9655    0.918125  2023-12-29T15:49:21.703125
572.0     0.96625   0.91825   2023-12-29T15:49:21.703125
572.0     0.966875  0.918375  2023-12-29T15:49:21.703125
572.0     0.967     0.9185    2023-12-29T15:49:21.703125
572.0     0.966625  0.918875  2023-12-29T15:49:21.703125
572.0     0.966625  0.918625  2023-12-29T15:49:21.703125
572.0     0.9665    0.9185    2023-12-29T15:49:21.703125
572.0     0.9665    0.918125  2023-12-29T15:49:21.703125
572.0     0.967     0.918125  2023-12-29T15:49:21.703125
572.0     0.967     0.918125  2023-12-29T15:49:21.703125
572.0     0.9675    0.91825   2023-12-29T15:49:21.703125
572.0     0.967     0.91825   2023-12-29T15:49:21.703125
572.0     0.9665    0.917875  2023-12-29T15:49:21.703125
572.0     0.966375  0.91775   2023-12-29T15:49:21.703125
572.0     0.966125  0.918125  2023-12-29T15:49:21.703125
572.0     0.96625   0.918125  2023-12-29T15:49:21.703125
572.0     0.966375  0.918125  2023-12-29T15:49:21.703125
572.0     0.966125  0.918125  2023-12-29T15:49:21.703125
572.0     0.966375  0.918375  2023-12-29T15:49:21.703125
572.0     0.96675   0.918375  2023-12-29T15:49:21.703125
572.0     0.966625  0.918625  2023-12-29T15:49:21.703125
573.0     0.9295    0.876125  2023-12-29T15:49:23.796875
573.0     0.9295    0.875875  2023-12-29T15:49:23.796875
573.0     0.929875  0.875625  2023-12-29T15:49:23.796875
573.0     0.93      0.87575   2023-12-29T15:49:23.796875
573.0     0.9295    0.87575   2023-12-29T15:49:23.796875
573.0     0.9295    0.8755    2023-12-29T15:49:23.796875
573.0     0.929125  0.87525   2023-12-29T15:49:23.796875
573.0     0.92925   0.875125  2023-12-29T15:49:23.796875
573.0     0.92925   0.875125  2023-12-29T15:49:23.796875
573.0     0.929     0.875375  2023-12-29T15:49:23.796875
573.0     0.928875  0.875625  2023-12-29T15:49:23.796875
573.0     0.928875  0.875625  2023-12-29T15:49:23.796875
573.0     0.928875  0.87575   2023-12-29T15:49:23.796875
573.0     0.929375  0.8755    2023-12-29T15:49:23.796875
573.0     0.929625  0.8755    2023-12-29T15:49:23.796875
573.0     0.92975   0.876     2023-12-29T15:49:23.796875
