ANGLE	A0	A1	DATETIME
19.0	0.0	1.78425	2023-12-06T14:55:52.937500
19.0	1.753875	1.7844375	2023-12-06T14:55:52.937500
19.0	1.7540625	1.7844375	2023-12-06T14:55:52.937500
19.0	1.755	1.7840625	2023-12-06T14:55:52.937500
19.0	1.754625	1.7835	2023-12-06T14:55:52.937500
19.0	1.7544375	1.7833125	2023-12-06T14:55:52.937500
19.0	1.754625	1.783875	2023-12-06T14:55:52.937500
19.0	1.755	1.783875	2023-12-06T14:55:52.937500
19.0	1.7544375	1.783875	2023-12-06T14:55:52.937500
19.0	1.7535	1.7835	2023-12-06T14:55:52.937500
19.0	1.7536875	1.7829375	2023-12-06T14:55:52.937500
19.0	1.7540625	1.7835	2023-12-06T14:55:52.937500
19.0	1.7540625	1.783875	2023-12-06T14:55:52.953125
19.0	1.7529375	1.783875	2023-12-06T14:55:52.953125
19.0	1.7529375	1.783875	2023-12-06T14:55:52.953125
19.0	1.7525625	1.7840625	2023-12-06T14:55:52.953125
19.0	1.7535	1.783875	2023-12-06T14:55:52.953125
19.0	1.755	1.78425	2023-12-06T14:55:52.953125
19.0	1.754625	1.7844375	2023-12-06T14:55:52.953125
19.0	1.7540625	1.78425	2023-12-06T14:55:52.953125
19.0	1.7544375	1.7840625	2023-12-06T14:55:52.953125
19.0	1.7548125	1.7840625	2023-12-06T14:55:52.953125
19.0	1.75575	1.7835	2023-12-06T14:55:52.953125
19.0	1.755	1.7833125	2023-12-06T14:55:52.953125
19.0	1.7544375	1.7836875	2023-12-06T14:55:52.953125
19.0	1.753875	1.7835	2023-12-06T14:55:52.953125
19.0	1.7540625	1.783125	2023-12-06T14:55:52.953125
19.0	1.7540625	1.783125	2023-12-06T14:55:52.953125
19.0	1.753125	1.7835	2023-12-06T14:55:52.953125
19.0	1.753125	1.7836875	2023-12-06T14:55:52.953125
19.0	1.75275	1.7835	2023-12-06T14:55:52.953125
19.0	1.7533125	1.783875	2023-12-06T14:55:52.953125
19.0	1.753875	1.783875	2023-12-06T14:55:52.968750
19.0	1.7535	1.7840625	2023-12-06T14:55:52.968750
19.0	1.753875	1.7844375	2023-12-06T14:55:52.968750
19.0	1.75425	1.784625	2023-12-06T14:55:52.968750
19.0	1.7551875	1.784625	2023-12-06T14:55:52.968750
19.0	1.754625	1.7844375	2023-12-06T14:55:52.968750
19.0	1.7544375	1.783875	2023-12-06T14:55:52.968750
19.0	1.7548125	1.7835	2023-12-06T14:55:52.968750
19.0	1.7551875	1.7835	2023-12-06T14:55:52.968750
19.0	1.75425	1.783875	2023-12-06T14:55:52.968750
19.0	1.753125	1.7833125	2023-12-06T14:55:52.968750
19.0	1.753125	1.7829375	2023-12-06T14:55:52.968750
19.0	1.7529375	1.783125	2023-12-06T14:55:52.968750
19.0	1.7536875	1.7836875	2023-12-06T14:55:52.968750
19.0	1.75425	1.7836875	2023-12-06T14:55:52.968750
19.0	1.7533125	1.7836875	2023-12-06T14:55:52.968750
19.0	1.7529375	1.7836875	2023-12-06T14:55:52.968750
19.0	1.7529375	1.783875	2023-12-06T14:55:52.968750
20.0	1.752375	1.783125	2023-12-06T14:55:55.296875
20.0	1.75275	1.7835	2023-12-06T14:55:55.296875
20.0	1.753125	1.783875	2023-12-06T14:55:55.296875
20.0	1.752375	1.783875	2023-12-06T14:55:55.296875
20.0	1.752375	1.7840625	2023-12-06T14:55:55.296875
