ANGLE,CH0,CH1
0,3.691125,1.65975
0,3.690875,1.6585
0,3.6915,1.65875
0,3.691,1.65925
0,3.691875,1.65925
0,3.691375,1.659625
0,3.69175,1.659625
0,3.691125,1.659625
0,3.68975,1.659625
0,3.6915,1.65925
0,3.692625,1.659125
0,3.693625,1.659625
0,3.693,1.65975
0,3.6925,1.659625
0,3.691375,1.65975
0,3.69125,1.659375
0,3.691,1.65925
0,3.691,1.6595
0,3.691625,1.65975
0,3.691375,1.659625
0,3.691,1.659625
0,3.690875,1.65975
0,3.691375,1.65975
0,3.69125,1.659625
0,3.69175,1.659625
0,3.691875,1.66025
0,3.69125,1.65975
0,3.691375,1.659625
0,3.691625,1.659875
0,3.692,1.659375
0,3.69225,1.66
0,3.692125,1.660125
0,3.6915,1.659625
0,3.69075,1.65975
0,3.69175,1.659875
0,3.691375,1.659625
0,3.692125,1.66025
0,3.69225,1.66
0,3.69175,1.66
0,3.691,1.66025
0,3.6915,1.660375
0,3.691625,1.66
0,3.692,1.66025
0,3.6925,1.660125
0,3.69225,1.660375
0,3.691375,1.660375
0,3.691,1.660375
0,3.6915,1.6605
0,3.69225,1.660125
0,3.69225,1.66025
0,3.692625,1.6605
0,3.69175,1.660375
0,3.691375,1.6605
0,3.691875,1.660375
0,3.69225,1.660125
0,3.69225,1.660625
0,3.692375,1.660625
0,3.692375,1.6605
0,3.691375,1.66075
0,3.6915,1.660625
0,3.6915,1.660125
0,3.692125,1.6605
0,3.692375,1.660625
0,3.69275,1.661
0,3.6915,1.66075
0,3.6915,1.660625
0,3.69225,1.660375
0,3.693,1.6605
0,3.69275,1.66075
0,3.692875,1.660875
0,3.69275,1.660625
0,3.691625,1.661
0,3.692125,1.6605
0,3.6925,1.66025
0,3.693125,1.660625
0,3.692875,1.66075
0,3.692375,1.66075
0,3.691375,1.660625
0,3.691875,1.66075
0,3.692125,1.66025
0,3.69275,1.660375
0,3.69275,1.66075
0,3.693,1.6605
0,3.692625,1.66075
0,3.692625,1.66075
0,3.693125,1.66075
0,3.69375,1.660625
0,3.69375,1.660375
0,3.693125,1.660625
0,3.693,1.66075
0,3.69275,1.66075
0,3.693125,1.660625
0,3.69375,1.660625
0,3.694375,1.66075
0,3.693625,1.660625
0,3.69425,1.661
0,3.693625,1.66075
0,3.6935,1.66075
0,3.693625,1.6605
0,3.6945,1.6605
0,3.69475,1.660875
0,3.694125,1.661
0,3.69375,1.661
0,3.69375,1.660875
0,3.69375,1.660375
0,3.6945,1.6605
0,3.694625,1.661
0,3.6945,1.66075
0,3.694125,1.661
0,3.693875,1.66075
0,3.69425,1.6605
0,3.694875,1.660875
0,3.69525,1.660875
0,3.694875,1.661
0,3.695,1.661125
0,3.694,1.66075
0,3.694875,1.660625
0,3.695,1.66075
0,3.6955,1.660625
0,3.695125,1.661
0,3.6955,1.660875
0,3.695,1.660875
0,3.694875,1.660875
0,3.695,1.660625
0,3.695875,1.6605
0,3.696,1.66075
0,3.695875,1.660875
0,3.69575,1.661
0,3.694875,1.66075
0,3.695625,1.660625
0,3.6955,1.6605
0,3.696375,1.660875
0,3.696375,1.66075
0,3.696125,1.661
0,3.694875,1.660625
0,3.695375,1.660625
0,3.69625,1.66075
0,3.69625,1.660625
0,3.696375,1.660625
0,3.69675,1.661
0,3.695625,1.660625
0,3.696,1.660875
0,3.69625,1.6605
0,3.6965,1.66025
0,3.696125,1.660875
0,3.6965,1.660875
0,3.695875,1.6605
0,3.695125,1.6605
0,3.6955,1.66025
0,3.695125,1.659875
0,3.695625,1.6605
0,3.696,1.660625
0,3.695875,1.660625
0,3.69525,1.660875
0,3.695375,1.66025
0,3.695125,1.660375
0,3.696,1.660625
0,3.696125,1.6605
0,3.695875,1.66075
0,3.695375,1.66075
0,3.695,1.660375
0,3.69575,1.660625
0,3.696125,1.66075
0,3.695375,1.66025
0,3.695375,1.660625
0,3.695125,1.6605
0,3.694,1.66
0,3.694875,1.66
0,3.6945,1.66
0,3.694625,1.66025
0,3.694875,1.6605
0,3.69525,1.660375
0,3.693875,1.660375
0,3.694375,1.660375
0,3.694875,1.660125
0,3.693,1.660375
0,3.692125,1.6605
0,3.693625,1.6605
0,3.694125,1.660375
0,3.69375,1.660375
0,3.694,1.66025
0,3.69475,1.66025
0,3.694625,1.660375
0,3.69425,1.6605
0,3.693875,1.660375
0,3.69325,1.66025
0,3.6935,1.6605
0,3.694,1.660125
0,3.69375,1.660125
0,3.6925,1.66025
0,3.69125,1.66
0,3.690875,1.659875
0,3.69175,1.660125
0,3.692375,1.65975
0,3.69325,1.660125
0,3.692875,1.660375
0,3.6925,1.660125
0,3.692,1.660375
0,3.692,1.65975
0,3.691625,1.65975
0,3.69225,1.66025
0,3.692375,1.660375
0,3.6915,1.66025
0,3.691375,1.660125
0,3.691625,1.660125
0,3.69175,1.66
0,3.69225,1.66
0,3.692,1.660125
0,3.6915,1.660375
0,3.69125,1.66025
0,3.691125,1.66
0,3.692,1.66025
0,3.691375,1.66
0,3.691375,1.66
