ANGLE CH0 CH1 DATETIME
0 -0.000375 -0.002500 2023-10-30T13:05:28.687500
0 -0.000500 -0.002750 2023-10-30T13:05:28.703125
0 0.000250 -0.002750 2023-10-30T13:05:28.718750
0 -0.000250 -0.002750 2023-10-30T13:05:28.734375
0 -0.000250 -0.002625 2023-10-30T13:05:28.750000
0 -0.001000 -0.002625 2023-10-30T13:05:28.765625
0 -0.000625 -0.002750 2023-10-30T13:05:28.781250
0 -0.000625 -0.002625 2023-10-30T13:05:28.796875
0 -0.000125 -0.002750 2023-10-30T13:05:28.812500
0 -0.000125 -0.002500 2023-10-30T13:05:28.828125
0 -0.000375 -0.002500 2023-10-30T13:05:28.859375
0 -0.000500 -0.002500 2023-10-30T13:05:28.875000
0 -0.000750 -0.002625 2023-10-30T13:05:28.890625
0 -0.000500 -0.002750 2023-10-30T13:05:28.906250
0 -0.000375 -0.002750 2023-10-30T13:05:28.921875
0 0.000375 -0.002750 2023-10-30T13:05:28.937500
0 -0.000250 -0.002625 2023-10-30T13:05:28.953125
0 -0.000250 -0.002500 2023-10-30T13:05:28.968750
0 -0.001125 -0.002750 2023-10-30T13:05:28.984375
0 -0.000625 -0.002500 2023-10-30T13:05:29
0 -0.000375 -0.002875 2023-10-30T13:05:29.015625
0 0.000125 -0.002750 2023-10-30T13:05:29.031250
0 -0.000375 -0.002625 2023-10-30T13:05:29.046875
0 -0.000500 -0.002500 2023-10-30T13:05:29.062500
0 -0.000750 -0.002750 2023-10-30T13:05:29.078125
0 -0.000625 -0.002750 2023-10-30T13:05:29.109375
0 -0.000375 -0.002750 2023-10-30T13:05:29.125000
0 -0.000125 -0.002875 2023-10-30T13:05:29.140625
0 0.000000 -0.002375 2023-10-30T13:05:29.156250
0 -0.000375 -0.002625 2023-10-30T13:05:29.171875
0 -0.000625 -0.002625 2023-10-30T13:05:29.187500
0 -0.000750 -0.002750 2023-10-30T13:05:29.203125
0 -0.000500 -0.003000 2023-10-30T13:05:29.218750
0 -0.000125 -0.002750 2023-10-30T13:05:29.234375
0 0.000125 -0.002625 2023-10-30T13:05:29.250000
0 -0.000250 -0.002625 2023-10-30T13:05:29.265625
0 -0.000375 -0.002375 2023-10-30T13:05:29.281250
0 -0.000875 -0.002625 2023-10-30T13:05:29.296875
0 -0.000625 -0.002750 2023-10-30T13:05:29.328125
0 -0.000375 -0.002875 2023-10-30T13:05:29.343750
0 0.000125 -0.002750 2023-10-30T13:05:29.359375
0 0.000000 -0.002500 2023-10-30T13:05:29.375000
0 -0.000125 -0.002625 2023-10-30T13:05:29.390625
0 -0.000875 -0.002500 2023-10-30T13:05:29.406250
0 -0.000750 -0.002750 2023-10-30T13:05:29.421875
0 -0.000375 -0.002750 2023-10-30T13:05:29.437500
0 0.000000 -0.002750 2023-10-30T13:05:29.453125
0 -0.000125 -0.002500 2023-10-30T13:05:29.468750
0 0.000000 -0.002500 2023-10-30T13:05:29.484375
0 -0.000500 -0.002375 2023-10-30T13:05:29.500000
0 -0.000750 -0.002625 2023-10-30T13:05:29.515625
0 -0.000500 -0.003000 2023-10-30T13:05:29.546875
0 -0.000125 -0.002875 2023-10-30T13:05:29.562500
0 0.000125 -0.002750 2023-10-30T13:05:29.578125
0 -0.000375 -0.002625 2023-10-30T13:05:29.593750
0 -0.000625 -0.002625 2023-10-30T13:05:29.609375
0 -0.000875 -0.002500 2023-10-30T13:05:29.625000
0 -0.000750 -0.002750 2023-10-30T13:05:29.640625
0 -0.000375 -0.002625 2023-10-30T13:05:29.656250
0 0.000000 -0.002500 2023-10-30T13:05:29.671875
0 -0.000250 -0.002625 2023-10-30T13:05:29.687500
0 -0.000500 -0.002500 2023-10-30T13:05:29.703125
0 -0.001000 -0.002625 2023-10-30T13:05:29.718750
0 -0.000375 -0.002875 2023-10-30T13:05:29.734375
0 -0.000250 -0.002750 2023-10-30T13:05:29.750000
0 0.000125 -0.002750 2023-10-30T13:05:29.765625
0 0.000000 -0.002500 2023-10-30T13:05:29.796875
0 -0.000125 -0.002500 2023-10-30T13:05:29.812500
0 -0.001000 -0.002625 2023-10-30T13:05:29.828125
0 -0.000750 -0.002750 2023-10-30T13:05:29.843750
0 -0.000500 -0.002875 2023-10-30T13:05:29.859375
0 0.000000 -0.002875 2023-10-30T13:05:29.875000
0 -0.000125 -0.002625 2023-10-30T13:05:29.890625
0 -0.000625 -0.002625 2023-10-30T13:05:29.906250
0 -0.000625 -0.002500 2023-10-30T13:05:29.921875
0 -0.000875 -0.002875 2023-10-30T13:05:29.937500
0 -0.000625 -0.002750 2023-10-30T13:05:29.953125
0 -0.000250 -0.002625 2023-10-30T13:05:29.968750
0 0.000125 -0.002500 2023-10-30T13:05:29.984375
0 -0.000250 -0.002500 2023-10-30T13:05:30.015625
0 -0.000625 -0.002625 2023-10-30T13:05:30.031250
0 -0.000875 -0.002500 2023-10-30T13:05:30.046875
0 -0.000500 -0.002625 2023-10-30T13:05:30.062500
0 0.000000 -0.002875 2023-10-30T13:05:30.078125
0 0.000000 -0.002750 2023-10-30T13:05:30.093750
0 -0.000125 -0.002750 2023-10-30T13:05:30.109375
0 -0.000250 -0.002500 2023-10-30T13:05:30.125000
0 -0.001000 -0.002500 2023-10-30T13:05:30.140625
0 -0.000625 -0.002875 2023-10-30T13:05:30.156250
0 -0.000375 -0.002625 2023-10-30T13:05:30.171875
0 -0.000125 -0.002625 2023-10-30T13:05:30.187500
0 0.000000 -0.002625 2023-10-30T13:05:30.218750
0 -0.000250 -0.002625 2023-10-30T13:05:30.234375
0 -0.001000 -0.002625 2023-10-30T13:05:30.250000
0 -0.000375 -0.002750 2023-10-30T13:05:30.265625
0 -0.000500 -0.002875 2023-10-30T13:05:30.281250
0 0.000125 -0.002750 2023-10-30T13:05:30.296875
