#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-22 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 1
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
2160.003  2.119875  2.48025   2023-12-22T14:59:32.234375
2161.003  2.12425   2.467625  2023-12-22T14:59:33.984375
2162.003  2.131     2.45275   2023-12-22T14:59:35.734375
2163.003  2.133875  2.436875  2023-12-22T14:59:37.609375
2164.003  2.13625   2.420875  2023-12-22T14:59:39.515625
2165.003  2.136625  2.402125  2023-12-22T14:59:41.250000
2166.003  2.13475   2.382375  2023-12-22T14:59:43.015625
2167.003  2.131125  2.36125   2023-12-22T14:59:44.750000
2168.003  2.128125  2.339875  2023-12-22T14:59:46.875000
2169.003  2.122625  2.314625  2023-12-22T14:59:48.609375
2170.003  2.1145    2.291     2023-12-22T14:59:50.500000
2171.003  2.106375  2.265625  2023-12-22T14:59:52.250000
2172.003  2.09625   2.23625   2023-12-22T14:59:54.234375
2173.003  2.085375  2.207875  2023-12-22T14:59:56.109375
2174.003  2.072375  2.176625  2023-12-22T14:59:57.843750
2175.003  2.057875  2.145375  2023-12-22T14:59:59.609375
2176.003  2.04125   2.11425   2023-12-22T15:00:01.390625
2177.003  2.023875  2.080375  2023-12-22T15:00:03.140625
2178.003  2.006125  2.046375  2023-12-22T15:00:04.921875
2179.003  1.98625   2.01125   2023-12-22T15:00:06.656250
2180.003  1.966125  1.975125  2023-12-22T15:00:08.687500
2181.003  1.944375  1.937     2023-12-22T15:00:10.437500
2182.003  1.921375  1.899625  2023-12-22T15:00:12.203125
2183.003  1.897125  1.862     2023-12-22T15:00:13.968750
2184.003  1.872875  1.821875  2023-12-22T15:00:15.953125
2185.003  1.846625  1.782125  2023-12-22T15:00:17.687500
2186.003  1.82      1.741     2023-12-22T15:00:19.437500
2187.003  1.7915    1.70025   2023-12-22T15:00:21.187500
