#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-22 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
360.001   2.111375  2.312375  2023-12-22T13:02:18.640625
360.001   2.111625  2.312625  2023-12-22T13:02:18.640625
360.001   2.1125    2.31275   2023-12-22T13:02:18.640625
360.001   2.113125  2.313125  2023-12-22T13:02:18.640625
360.001   2.113     2.3135    2023-12-22T13:02:18.640625
360.001   2.113     2.313375  2023-12-22T13:02:18.640625
360.001   2.112875  2.313125  2023-12-22T13:02:18.640625
360.001   2.113375  2.312375  2023-12-22T13:02:18.640625
360.001   2.113375  2.312375  2023-12-22T13:02:18.640625
360.001   2.113875  2.312125  2023-12-22T13:02:18.640625
360.001   2.114     2.312375  2023-12-22T13:02:18.640625
360.001   2.11325   2.3125    2023-12-22T13:02:18.640625
360.001   2.1125    2.312     2023-12-22T13:02:18.640625
360.001   2.112125  2.311625  2023-12-22T13:02:18.640625
360.001   2.111875  2.312     2023-12-22T13:02:18.640625
360.001   2.111875  2.312375  2023-12-22T13:02:18.640625
360.001   2.111625  2.31225   2023-12-22T13:02:18.640625
360.001   2.111375  2.31225   2023-12-22T13:02:18.640625
360.001   2.11175   2.3125    2023-12-22T13:02:18.640625
360.001   2.112375  2.312625  2023-12-22T13:02:18.640625
360.001   2.11325   2.313125  2023-12-22T13:02:18.640625
360.001   2.11325   2.313375  2023-12-22T13:02:18.640625
360.001   2.113     2.313375  2023-12-22T13:02:18.640625
360.001   2.113     2.313375  2023-12-22T13:02:18.640625
360.001   2.112875  2.31275   2023-12-22T13:02:18.640625
360.001   2.113125  2.312125  2023-12-22T13:02:18.640625
360.001   2.113375  2.312     2023-12-22T13:02:18.640625
360.001   2.1135    2.3125    2023-12-22T13:02:18.640625
360.001   2.113375  2.3125    2023-12-22T13:02:18.640625
360.001   2.112625  2.311875  2023-12-22T13:02:18.640625
360.001   2.111875  2.311625  2023-12-22T13:02:18.640625
360.001   2.112     2.312     2023-12-22T13:02:18.640625
360.001   2.112     2.312375  2023-12-22T13:02:18.640625
360.001   2.112375  2.31225   2023-12-22T13:02:18.640625
360.001   2.112125  2.312375  2023-12-22T13:02:18.640625
360.001   2.1125    2.3125    2023-12-22T13:02:18.640625
360.001   2.112875  2.312625  2023-12-22T13:02:18.640625
360.001   2.112625  2.31325   2023-12-22T13:02:18.640625
360.001   2.112625  2.31325   2023-12-22T13:02:18.640625
360.001   2.112625  2.3135    2023-12-22T13:02:18.640625
360.001   2.112875  2.31325   2023-12-22T13:02:18.640625
360.001   2.11325   2.312625  2023-12-22T13:02:18.640625
360.001   2.113375  2.312125  2023-12-22T13:02:18.640625
360.001   2.113375  2.312     2023-12-22T13:02:18.640625
360.001   2.113375  2.31225   2023-12-22T13:02:18.640625
360.001   2.112875  2.312125  2023-12-22T13:02:18.640625
360.001   2.112125  2.311625  2023-12-22T13:02:18.640625
360.001   2.111875  2.3115    2023-12-22T13:02:18.640625
360.001   2.112125  2.312     2023-12-22T13:02:18.640625
360.001   2.11225   2.31225   2023-12-22T13:02:18.640625
361.001   2.119125  2.2875    2023-12-22T13:02:20.515625
361.001   2.118625  2.286875  2023-12-22T13:02:20.515625
361.001   2.118     2.286625  2023-12-22T13:02:20.515625
361.001   2.118     2.287125  2023-12-22T13:02:20.515625
361.001   2.11825   2.2875    2023-12-22T13:02:20.515625
361.001   2.11775   2.287375  2023-12-22T13:02:20.515625
361.001   2.11725   2.2875    2023-12-22T13:02:20.515625
361.001   2.117875  2.287625  2023-12-22T13:02:20.515625
361.001   2.117875  2.287625  2023-12-22T13:02:20.515625
361.001   2.118875  2.28775   2023-12-22T13:02:20.515625
361.001   2.119     2.288375  2023-12-22T13:02:20.515625
361.001   2.119     2.288625  2023-12-22T13:02:20.515625
361.001   2.118625  2.28825   2023-12-22T13:02:20.515625
361.001   2.1185    2.287625  2023-12-22T13:02:20.515625
361.001   2.119125  2.287     2023-12-22T13:02:20.515625
361.001   2.11975   2.28725   2023-12-22T13:02:20.515625
361.001   2.119875  2.287625  2023-12-22T13:02:20.515625
361.001   2.118875  2.287375  2023-12-22T13:02:20.515625
361.001   2.118375  2.286875  2023-12-22T13:02:20.515625
361.001   2.118125  2.287     2023-12-22T13:02:20.515625
361.001   2.118375  2.2875    2023-12-22T13:02:20.515625
361.001   2.11825   2.287625  2023-12-22T13:02:20.515625
361.001   2.11775   2.287375  2023-12-22T13:02:20.515625
361.001   2.11775   2.287375  2023-12-22T13:02:20.515625
361.001   2.11775   2.2875    2023-12-22T13:02:20.515625
361.001   2.118375  2.28775   2023-12-22T13:02:20.515625
361.001   2.118875  2.288     2023-12-22T13:02:20.515625
361.001   2.118875  2.2885    2023-12-22T13:02:20.515625
361.001   2.119     2.2885    2023-12-22T13:02:20.515625
361.001   2.119125  2.288     2023-12-22T13:02:20.515625
361.001   2.118875  2.2875    2023-12-22T13:02:20.515625
361.001   2.1195    2.28725   2023-12-22T13:02:20.515625
361.001   2.120125  2.2875    2023-12-22T13:02:20.515625
361.001   2.119875  2.28775   2023-12-22T13:02:20.515625
361.001   2.119     2.287375  2023-12-22T13:02:20.515625
361.001   2.117875  2.286875  2023-12-22T13:02:20.515625
361.001   2.117875  2.287125  2023-12-22T13:02:20.515625
361.001   2.117875  2.2875    2023-12-22T13:02:20.515625
361.001   2.117875  2.2875    2023-12-22T13:02:20.515625
361.001   2.1175    2.287625  2023-12-22T13:02:20.515625
361.001   2.117375  2.2875    2023-12-22T13:02:20.515625
361.001   2.1175    2.28775   2023-12-22T13:02:20.515625
361.001   2.11825   2.28775   2023-12-22T13:02:20.515625
361.001   2.119125  2.288125  2023-12-22T13:02:20.515625
361.001   2.119125  2.28875   2023-12-22T13:02:20.515625
361.001   2.119125  2.288625  2023-12-22T13:02:20.515625
361.001   2.119125  2.288125  2023-12-22T13:02:20.515625
361.001   2.119125  2.287375  2023-12-22T13:02:20.515625
361.001   2.12      2.287125  2023-12-22T13:02:20.515625
361.001   2.119875  2.2875    2023-12-22T13:02:20.515625
362.001   2.123875  2.26175   2023-12-22T13:02:22.390625
362.001   2.12425   2.261125  2023-12-22T13:02:22.390625
362.001   2.124625  2.260625  2023-12-22T13:02:22.390625
362.001   2.12475   2.260875  2023-12-22T13:02:22.390625
362.001   2.1245    2.261     2023-12-22T13:02:22.390625
362.001   2.12425   2.260875  2023-12-22T13:02:22.390625
362.001   2.123625  2.260375  2023-12-22T13:02:22.390625
362.001   2.123     2.2605    2023-12-22T13:02:22.390625
362.001   2.123     2.2605    2023-12-22T13:02:22.390625
362.001   2.123     2.260875  2023-12-22T13:02:22.390625
362.001   2.123375  2.260875  2023-12-22T13:02:22.390625
362.001   2.12325   2.260875  2023-12-22T13:02:22.390625
362.001   2.123125  2.261125  2023-12-22T13:02:22.390625
362.001   2.123375  2.26125   2023-12-22T13:02:22.390625
362.001   2.12375   2.261375  2023-12-22T13:02:22.390625
362.001   2.12375   2.261875  2023-12-22T13:02:22.390625
362.001   2.123625  2.26225   2023-12-22T13:02:22.390625
362.001   2.124125  2.26175   2023-12-22T13:02:22.390625
362.001   2.12425   2.261125  2023-12-22T13:02:22.390625
362.001   2.124625  2.260625  2023-12-22T13:02:22.390625
362.001   2.12475   2.261     2023-12-22T13:02:22.390625
362.001   2.1245    2.261125  2023-12-22T13:02:22.390625
362.001   2.124     2.260625  2023-12-22T13:02:22.390625
362.001   2.124     2.260625  2023-12-22T13:02:22.390625
362.001   2.123625  2.26025   2023-12-22T13:02:22.390625
362.001   2.123625  2.2605    2023-12-22T13:02:22.390625
362.001   2.123375  2.261125  2023-12-22T13:02:22.390625
362.001   2.12325   2.261125  2023-12-22T13:02:22.390625
