#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-22 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
1800.003  2.12125   2.473625  2023-12-22T14:10:06.234375
1800.003  2.121125  2.474     2023-12-22T14:10:06.234375
1800.003  2.121125  2.474375  2023-12-22T14:10:06.234375
1800.003  2.121     2.47425   2023-12-22T14:10:06.234375
1800.003  2.1205    2.474375  2023-12-22T14:10:06.234375
1800.003  2.12025   2.47475   2023-12-22T14:10:06.234375
1800.003  2.120875  2.474875  2023-12-22T14:10:06.234375
1800.003  2.12125   2.47525   2023-12-22T14:10:06.234375
1800.003  2.12125   2.47525   2023-12-22T14:10:06.234375
1800.003  2.12125   2.47575   2023-12-22T14:10:06.234375
1800.003  2.121875  2.475625  2023-12-22T14:10:06.234375
1800.003  2.12225   2.475     2023-12-22T14:10:06.234375
1800.003  2.122     2.4745    2023-12-22T14:10:06.234375
1800.003  2.12225   2.474375  2023-12-22T14:10:06.234375
1800.003  2.1225    2.474625  2023-12-22T14:10:06.234375
1800.003  2.122     2.47475   2023-12-22T14:10:06.234375
1800.003  2.121     2.47425   2023-12-22T14:10:06.234375
1800.003  2.120875  2.473875  2023-12-22T14:10:06.234375
1800.003  2.121125  2.474125  2023-12-22T14:10:06.234375
1800.003  2.121125  2.474375  2023-12-22T14:10:06.234375
1800.003  2.120875  2.474375  2023-12-22T14:10:06.234375
1800.003  2.120625  2.4745    2023-12-22T14:10:06.234375
1800.003  2.120625  2.474625  2023-12-22T14:10:06.234375
1800.003  2.120625  2.474625  2023-12-22T14:10:06.234375
1800.003  2.121375  2.474625  2023-12-22T14:10:06.234375
1800.003  2.12175   2.475125  2023-12-22T14:10:06.234375
1800.003  2.121625  2.475625  2023-12-22T14:10:06.234375
1800.003  2.122125  2.4755    2023-12-22T14:10:06.234375
1800.003  2.122125  2.474875  2023-12-22T14:10:06.234375
1800.003  2.122375  2.474125  2023-12-22T14:10:06.234375
1800.003  2.12275   2.474125  2023-12-22T14:10:06.234375
1800.003  2.1225    2.474375  2023-12-22T14:10:06.234375
1800.003  2.122125  2.474375  2023-12-22T14:10:06.234375
1800.003  2.121375  2.474     2023-12-22T14:10:06.234375
1800.003  2.121125  2.47375   2023-12-22T14:10:06.234375
1800.003  2.12125   2.474375  2023-12-22T14:10:06.234375
1800.003  2.121     2.4745    2023-12-22T14:10:06.234375
1800.003  2.12025   2.474375  2023-12-22T14:10:06.234375
1800.003  2.12025   2.474375  2023-12-22T14:10:06.234375
1800.003  2.120375  2.474625  2023-12-22T14:10:06.234375
1800.003  2.121     2.47475   2023-12-22T14:10:06.234375
1800.003  2.1215    2.47475   2023-12-22T14:10:06.234375
1800.003  2.121375  2.475375  2023-12-22T14:10:06.234375
1800.003  2.12175   2.4755    2023-12-22T14:10:06.234375
1800.003  2.122125  2.475125  2023-12-22T14:10:06.234375
1800.003  2.122     2.474625  2023-12-22T14:10:06.234375
1800.003  2.122     2.474125  2023-12-22T14:10:06.234375
1800.003  2.123     2.4745    2023-12-22T14:10:06.234375
1800.003  2.12275   2.47475   2023-12-22T14:10:06.234375
1800.003  2.12175   2.4745    2023-12-22T14:10:06.234375
