#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-28 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
407.001   0.93525   1.133875  2023-12-28T15:10:25.999125
407.001   0.934875  1.13375   2023-12-28T15:10:25.999125
407.001   0.93475   1.133625  2023-12-28T15:10:25.999125
407.001   0.934625  1.13375   2023-12-28T15:10:25.999125
407.001   0.9345    1.134     2023-12-28T15:10:25.999125
407.001   0.934375  1.133875  2023-12-28T15:10:25.999125
407.001   0.93425   1.133875  2023-12-28T15:10:25.999125
407.001   0.93425   1.133875  2023-12-28T15:10:25.999125
407.001   0.93425   1.13375   2023-12-28T15:10:25.999125
407.001   0.934625  1.134     2023-12-28T15:10:25.999125
407.001   0.935125  1.13425   2023-12-28T15:10:25.999125
407.001   0.93525   1.1345    2023-12-28T15:10:25.999125
407.001   0.935     1.1345    2023-12-28T15:10:25.999125
407.001   0.935     1.134125  2023-12-28T15:10:25.999125
407.001   0.93525   1.133875  2023-12-28T15:10:25.999125
407.001   0.935375  1.133875  2023-12-28T15:10:25.999125
407.001   0.935125  1.134125  2023-12-28T15:10:25.999125
407.001   0.9345    1.134     2023-12-28T15:10:25.999125
407.001   0.9345    1.1335    2023-12-28T15:10:25.999125
407.001   0.93475   1.1335    2023-12-28T15:10:25.999125
407.001   0.934875  1.133625  2023-12-28T15:10:25.999125
407.001   0.934375  1.133875  2023-12-28T15:10:25.999125
407.001   0.933875  1.133875  2023-12-28T15:10:25.999125
407.001   0.933875  1.133875  2023-12-28T15:10:25.999125
407.001   0.934     1.133875  2023-12-28T15:10:25.999125
407.001   0.934625  1.133875  2023-12-28T15:10:25.999125
407.001   0.935125  1.134     2023-12-28T15:10:25.999125
407.001   0.935125  1.13425   2023-12-28T15:10:25.999125
407.001   0.935125  1.1345    2023-12-28T15:10:25.999125
407.001   0.93475   1.1345    2023-12-28T15:10:25.999125
407.001   0.935     1.134     2023-12-28T15:10:25.999125
407.001   0.93525   1.13375   2023-12-28T15:10:25.999125
407.001   0.935125  1.13375   2023-12-28T15:10:25.999125
407.001   0.935125  1.134125  2023-12-28T15:10:25.999125
407.001   0.935125  1.13375   2023-12-28T15:10:25.999125
407.001   0.934625  1.133625  2023-12-28T15:10:25.999125
407.001   0.93425   1.133625  2023-12-28T15:10:25.999125
407.001   0.93425   1.133875  2023-12-28T15:10:25.999125
407.001   0.93425   1.133875  2023-12-28T15:10:25.999125
407.001   0.9345    1.133875  2023-12-28T15:10:25.999125
407.001   0.93425   1.13375   2023-12-28T15:10:25.999125
407.001   0.934375  1.134     2023-12-28T15:10:25.999125
407.001   0.934625  1.134     2023-12-28T15:10:25.999125
407.001   0.93475   1.134125  2023-12-28T15:10:25.999125
407.001   0.934875  1.134375  2023-12-28T15:10:25.999125
407.001   0.935     1.1345    2023-12-28T15:10:25.999125
407.001   0.93475   1.134375  2023-12-28T15:10:25.999125
407.001   0.93475   1.134     2023-12-28T15:10:25.999125
407.001   0.9355    1.13375   2023-12-28T15:10:25.999125
407.001   0.935625  1.133875  2023-12-28T15:10:25.999125
408.001   0.898875  1.09025   2023-12-28T15:10:28.264750
408.001   0.8985    1.09025   2023-12-28T15:10:28.264750
408.001   0.898125  1.090125  2023-12-28T15:10:28.264750
408.001   0.897625  1.08975   2023-12-28T15:10:28.264750
408.001   0.897875  1.08975   2023-12-28T15:10:28.264750
408.001   0.897625  1.090125  2023-12-28T15:10:28.264750
408.001   0.8975    1.090125  2023-12-28T15:10:28.264750
408.001   0.897375  1.09025   2023-12-28T15:10:28.264750
408.001   0.897375  1.09025   2023-12-28T15:10:28.264750
408.001   0.897625  1.09025   2023-12-28T15:10:28.264750
408.001   0.898375  1.09025   2023-12-28T15:10:28.264750
408.001   0.898375  1.0905    2023-12-28T15:10:28.264750
408.001   0.89825   1.09075   2023-12-28T15:10:28.264750
408.001   0.898375  1.09075   2023-12-28T15:10:28.264750
408.001   0.89875   1.0905    2023-12-28T15:10:28.264750
408.001   0.8985    1.09      2023-12-28T15:10:28.264750
408.001   0.89875   1.09      2023-12-28T15:10:28.264750
408.001   0.899125  1.09025   2023-12-28T15:10:28.264750
408.001   0.89875   1.090125  2023-12-28T15:10:28.264750
408.001   0.898125  1.09      2023-12-28T15:10:28.264750
408.001   0.89775   1.089875  2023-12-28T15:10:28.264750
408.001   0.8975    1.090125  2023-12-28T15:10:28.264750
408.001   0.897625  1.090125  2023-12-28T15:10:28.264750
408.001   0.897625  1.090125  2023-12-28T15:10:28.264750
408.001   0.89775   1.090125  2023-12-28T15:10:28.264750
408.001   0.89775   1.09025   2023-12-28T15:10:28.264750
408.001   0.897875  1.090125  2023-12-28T15:10:28.264750
408.001   0.89825   1.09025   2023-12-28T15:10:28.264750
408.001   0.898     1.090625  2023-12-28T15:10:28.264750
408.001   0.898375  1.091     2023-12-28T15:10:28.264750
408.001   0.898625  1.0905    2023-12-28T15:10:28.264750
408.001   0.898625  1.09025   2023-12-28T15:10:28.264750
408.001   0.8985    1.09      2023-12-28T15:10:28.264750
408.001   0.898625  1.09      2023-12-28T15:10:28.264750
408.001   0.8985    1.09025   2023-12-28T15:10:28.264750
408.001   0.898125  1.090125  2023-12-28T15:10:28.264750
408.001   0.89775   1.08975   2023-12-28T15:10:28.264750
408.001   0.897875  1.089625  2023-12-28T15:10:28.264750
408.001   0.897875  1.089625  2023-12-28T15:10:28.264750
408.001   0.89775   1.09      2023-12-28T15:10:28.264750
408.001   0.897625  1.090125  2023-12-28T15:10:28.264750
408.001   0.897375  1.089875  2023-12-28T15:10:28.264750
408.001   0.8975    1.09025   2023-12-28T15:10:28.264750
408.001   0.897875  1.09025   2023-12-28T15:10:28.264750
408.001   0.898     1.09025   2023-12-28T15:10:28.264750
408.001   0.898375  1.0905    2023-12-28T15:10:28.264750
408.001   0.89825   1.09075   2023-12-28T15:10:28.264750
408.001   0.89875   1.090625  2023-12-28T15:10:28.264750
408.001   0.898625  1.09025   2023-12-28T15:10:28.264750
408.001   0.89875   1.09      2023-12-28T15:10:28.264750
409.001   0.861625  1.045875  2023-12-28T15:10:30.639750
409.001   0.861375  1.046125  2023-12-28T15:10:30.639750
409.001   0.861375  1.046     2023-12-28T15:10:30.639750
409.001   0.86125   1.046     2023-12-28T15:10:30.639750
409.001   0.861625  1.046125  2023-12-28T15:10:30.639750
409.001   0.86175   1.04625   2023-12-28T15:10:30.639750
409.001   0.862125  1.0465    2023-12-28T15:10:30.639750
409.001   0.862125  1.046875  2023-12-28T15:10:30.639750
409.001   0.862125  1.046875  2023-12-28T15:10:30.639750
409.001   0.86225   1.04675   2023-12-28T15:10:30.639750
409.001   0.86225   1.04625   2023-12-28T15:10:30.639750
409.001   0.862375  1.046     2023-12-28T15:10:30.639750
409.001   0.8625    1.045875  2023-12-28T15:10:30.639750
409.001   0.8625    1.04625   2023-12-28T15:10:30.639750
409.001   0.86225   1.04625   2023-12-28T15:10:30.639750
409.001   0.861875  1.045875  2023-12-28T15:10:30.639750
409.001   0.862     1.04575   2023-12-28T15:10:30.639750
409.001   0.86175   1.045875  2023-12-28T15:10:30.639750
409.001   0.8615    1.046125  2023-12-28T15:10:30.639750
409.001   0.8615    1.046125  2023-12-28T15:10:30.639750
