#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-21 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
9.014     2.5       2.49375   2023-12-21T15:20:42.292228
9.014     2.093375  2.49375   2023-12-21T15:20:42.292228
9.014     2.093125  2.493625  2023-12-21T15:20:42.292228
9.014     2.092625  2.494     2023-12-21T15:20:42.292228
9.014     2.093125  2.494     2023-12-21T15:20:42.292228
9.014     2.093625  2.494375  2023-12-21T15:20:42.292228
9.014     2.09375   2.49475   2023-12-21T15:20:42.292228
9.014     2.093375  2.49475   2023-12-21T15:20:42.292228
9.014     2.093625  2.49475   2023-12-21T15:20:42.292228
9.014     2.09425   2.49425   2023-12-21T15:20:42.292228
9.014     2.0945    2.4935    2023-12-21T15:20:42.292228
9.014     2.09425   2.49325   2023-12-21T15:20:42.292228
9.014     2.09425   2.49375   2023-12-21T15:20:42.292228
9.014     2.094375  2.494     2023-12-21T15:20:42.292228
9.014     2.093875  2.4935    2023-12-21T15:20:42.292228
9.014     2.093875  2.493125  2023-12-21T15:20:42.292228
9.014     2.093     2.4935    2023-12-21T15:20:42.292228
9.014     2.093125  2.493875  2023-12-21T15:20:42.292228
9.014     2.0935    2.49375   2023-12-21T15:20:42.292228
9.014     2.092875  2.493875  2023-12-21T15:20:42.292228
9.014     2.092875  2.493875  2023-12-21T15:20:42.292228
9.014     2.09325   2.494     2023-12-21T15:20:42.292228
9.014     2.094125  2.494     2023-12-21T15:20:42.292228
9.014     2.094125  2.494375  2023-12-21T15:20:42.292228
9.014     2.09425   2.49475   2023-12-21T15:20:42.292228
9.014     2.093875  2.494625  2023-12-21T15:20:42.292228
9.014     2.093625  2.494125  2023-12-21T15:20:42.292228
9.014     2.094125  2.4935    2023-12-21T15:20:42.292228
9.014     2.094625  2.493375  2023-12-21T15:20:42.292228
9.014     2.094625  2.493875  2023-12-21T15:20:42.292228
9.014     2.094625  2.494     2023-12-21T15:20:42.292228
9.014     2.09425   2.493375  2023-12-21T15:20:42.292228
9.014     2.0935    2.493125  2023-12-21T15:20:42.292228
9.014     2.093625  2.493625  2023-12-21T15:20:42.292228
9.014     2.0935    2.494     2023-12-21T15:20:42.292228
9.014     2.09325   2.493875  2023-12-21T15:20:42.292228
9.014     2.09275   2.494     2023-12-21T15:20:42.292228
9.014     2.093125  2.494125  2023-12-21T15:20:42.292228
9.014     2.093625  2.494125  2023-12-21T15:20:42.292228
9.014     2.094     2.494375  2023-12-21T15:20:42.292228
9.014     2.0935    2.49475   2023-12-21T15:20:42.292228
9.014     2.093625  2.495     2023-12-21T15:20:42.292228
9.014     2.093875  2.494625  2023-12-21T15:20:42.292228
9.014     2.094375  2.493875  2023-12-21T15:20:42.292228
9.014     2.09475   2.4935    2023-12-21T15:20:42.292228
9.014     2.09475   2.49375   2023-12-21T15:20:42.292228
9.014     2.09475   2.493875  2023-12-21T15:20:42.292228
9.014     2.094375  2.493875  2023-12-21T15:20:42.292228
9.014     2.094     2.493375  2023-12-21T15:20:42.292228
9.014     2.093375  2.49325   2023-12-21T15:20:42.292228
10.014    2.091875  2.488125  2023-12-21T15:20:44.182695
