#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-22 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
284.057   2.087125  2.50975   2023-12-22T12:13:05.765625
284.057   2.0865    2.509625  2023-12-22T12:13:05.765625
284.057   2.08625   2.50975   2023-12-22T12:13:05.765625
284.057   2.087     2.50975   2023-12-22T12:13:05.765625
284.057   2.088     2.510125  2023-12-22T12:13:05.765625
284.057   2.08775   2.510625  2023-12-22T12:13:05.765625
284.057   2.087625  2.51075   2023-12-22T12:13:05.765625
284.057   2.087375  2.510375  2023-12-22T12:13:05.765625
284.057   2.087375  2.510375  2023-12-22T12:13:05.765625
284.057   2.0875    2.509625  2023-12-22T12:13:05.765625
284.057   2.088125  2.50925   2023-12-22T12:13:05.765625
284.057   2.08825   2.5095    2023-12-22T12:13:05.765625
284.057   2.087875  2.509625  2023-12-22T12:13:05.765625
284.057   2.087375  2.50925   2023-12-22T12:13:05.765625
284.057   2.087125  2.508875  2023-12-22T12:13:05.765625
284.057   2.087125  2.509125  2023-12-22T12:13:05.765625
284.057   2.087375  2.5095    2023-12-22T12:13:05.765625
284.057   2.087125  2.5095    2023-12-22T12:13:05.765625
284.057   2.086375  2.509375  2023-12-22T12:13:05.765625
284.057   2.086625  2.50975   2023-12-22T12:13:05.765625
284.057   2.08725   2.509875  2023-12-22T12:13:05.765625
284.057   2.0875    2.51025   2023-12-22T12:13:05.765625
284.057   2.0875    2.510625  2023-12-22T12:13:05.765625
284.057   2.0875    2.510625  2023-12-22T12:13:05.765625
284.057   2.08775   2.51075   2023-12-22T12:13:05.765625
284.057   2.088125  2.51025   2023-12-22T12:13:05.765625
