ANGLE	CH0	CH1	DATETIME
0.0	4.410375	4.837875	2023-12-04T15:38:51.898995
0.0	4.410375	4.837875	2023-12-04T15:38:51.898995
0.0	4.4109375	4.8375	2023-12-04T15:38:51.898995
0.0	4.4115	4.83825	2023-12-04T15:38:51.898995
0.0	4.411125	4.8388125	2023-12-04T15:38:51.898995
0.0	4.4101875	4.83825	2023-12-04T15:38:51.898995
0.0	4.408875	4.8373125	2023-12-04T15:38:51.898995
0.0	4.408875	4.8373125	2023-12-04T15:38:51.898995
0.0	4.4086875	4.8376875	2023-12-04T15:38:51.898995
0.0	4.40925	4.8384375	2023-12-04T15:38:51.898995
0.0	4.4086875	4.8384375	2023-12-04T15:38:51.898995
0.0	4.4075625	4.8384375	2023-12-04T15:38:51.898995
0.0	4.4079375	4.8384375	2023-12-04T15:38:51.898995
0.0	4.408875	4.8388125	2023-12-04T15:38:51.898995
0.0	4.40925	4.8399375	2023-12-04T15:38:51.898995
0.0	4.40925	4.8410625	2023-12-04T15:38:51.898995
0.0	4.410375	4.8406875	2023-12-04T15:38:51.898995
0.0	4.4098125	4.8395625	2023-12-04T15:38:51.898995
0.0	4.41	4.8388125	2023-12-04T15:38:51.898995
0.0	4.411125	4.839	2023-12-04T15:38:51.898995
0.0	4.4109375	4.8395625	2023-12-04T15:38:51.898995
0.0	4.4109375	4.8395625	2023-12-04T15:38:51.898995
0.0	4.4101875	4.8399375	2023-12-04T15:38:51.898995
0.0	4.408875	4.8391875	2023-12-04T15:38:51.898995
0.0	4.408125	4.8384375	2023-12-04T15:38:51.898995
0.0	4.4085	4.839	2023-12-04T15:38:51.898995
0.0	4.4085	4.839375	2023-12-04T15:38:51.898995
0.0	4.40775	4.8384375	2023-12-04T15:38:51.898995
0.0	4.407375	4.838625	2023-12-04T15:38:51.898995
0.0	4.408125	4.83975	2023-12-04T15:38:51.898995
0.0	4.4086875	4.840125	2023-12-04T15:38:51.898995
0.0	4.4090625	4.8410625	2023-12-04T15:38:51.898995
0.0	4.4094375	4.842	2023-12-04T15:38:51.898995
0.0	4.4094375	4.841625	2023-12-04T15:38:51.898995
0.0	4.4094375	4.8406875	2023-12-04T15:38:51.898995
0.0	4.41	4.8395625	2023-12-04T15:38:51.898995
0.0	4.41	4.8395625	2023-12-04T15:38:51.898995
0.0	4.410375	4.83975	2023-12-04T15:38:51.898995
0.0	4.4101875	4.8405	2023-12-04T15:38:51.898995
0.0	4.409625	4.8403125	2023-12-04T15:38:51.898995
0.0	4.408125	4.839375	2023-12-04T15:38:51.898995
0.0	4.4079375	4.8388125	2023-12-04T15:38:51.898995
0.0	4.4083125	4.8388125	2023-12-04T15:38:51.898995
0.0	4.4085	4.8388125	2023-12-04T15:38:51.898995
0.0	4.40775	4.838625	2023-12-04T15:38:51.898995
0.0	4.407	4.8391875	2023-12-04T15:38:51.898995
0.0	4.408125	4.840125	2023-12-04T15:38:51.898995
0.0	4.4090625	4.840875	2023-12-04T15:38:51.898995
0.0	4.4086875	4.8418125	2023-12-04T15:38:51.898995
0.0	4.408875	4.8421875	2023-12-04T15:38:51.898995
1.0	4.466625	4.8759375	2023-12-04T15:38:53.992745
1.0	4.465875	4.8765	2023-12-04T15:38:53.992745
1.0	4.464375	4.8763125	2023-12-04T15:38:53.992745
1.0	4.4634375	4.8759375	2023-12-04T15:38:53.992745
1.0	4.463625	4.8765	2023-12-04T15:38:53.992745
1.0	4.464	4.8763125	2023-12-04T15:38:53.992745
1.0	4.4634375	4.87575	2023-12-04T15:38:53.992745
1.0	4.4634375	4.87575	2023-12-04T15:38:53.992745
1.0	4.4625	4.8766875	2023-12-04T15:38:53.992745
1.0	4.4630625	4.877625	2023-12-04T15:38:53.992745
1.0	4.464	4.8781875	2023-12-04T15:38:53.992745
1.0	4.4641875	4.8785625	2023-12-04T15:38:53.992745
1.0	4.464375	4.8793125	2023-12-04T15:38:53.992745
1.0	4.465125	4.879125	2023-12-04T15:38:53.992745
1.0	4.4649375	4.877625	2023-12-04T15:38:53.992745
1.0	4.4656875	4.8766875	2023-12-04T15:38:53.992745
1.0	4.4664375	4.8774375	2023-12-04T15:38:53.992745
1.0	4.46625	4.878	2023-12-04T15:38:53.992745
1.0	4.46475	4.8778125	2023-12-04T15:38:53.992745
1.0	4.4634375	4.8766875	2023-12-04T15:38:53.992745
1.0	4.46325	4.8763125	2023-12-04T15:38:53.992745
1.0	4.46325	4.8763125	2023-12-04T15:38:53.992745
1.0	4.4634375	4.8763125	2023-12-04T15:38:53.992745
1.0	4.464	4.8765	2023-12-04T15:38:53.992745
1.0	4.463625	4.87725	2023-12-04T15:38:53.992745
1.0	4.46325	4.8778125	2023-12-04T15:38:53.992745
1.0	4.464	4.878	2023-12-04T15:38:53.992745
1.0	4.4649375	4.8785625	2023-12-04T15:38:53.992745
1.0	4.4645625	4.879125	2023-12-04T15:38:53.992745
1.0	4.4649375	4.8793125	2023-12-04T15:38:53.992745
1.0	4.4655	4.8789375	2023-12-04T15:38:53.992745
1.0	4.4653125	4.878	2023-12-04T15:38:53.992745
1.0	4.465875	4.8774375	2023-12-04T15:38:53.992745
1.0	4.4668125	4.878	2023-12-04T15:38:53.992745
1.0	4.4660625	4.878375	2023-12-04T15:38:53.992745
1.0	4.4660625	4.877625	2023-12-04T15:38:53.992745
1.0	4.46475	4.877625	2023-12-04T15:38:53.992745
1.0	4.463625	4.8766875	2023-12-04T15:38:53.992745
1.0	4.4638125	4.8763125	2023-12-04T15:38:53.992745
1.0	4.464375	4.8770625	2023-12-04T15:38:53.992745
1.0	4.464	4.87725	2023-12-04T15:38:53.992745
1.0	4.462875	4.8774375	2023-12-04T15:38:53.992745
1.0	4.462875	4.877625	2023-12-04T15:38:53.992745
1.0	4.464	4.8778125	2023-12-04T15:38:53.992745
1.0	4.46475	4.87875	2023-12-04T15:38:53.992745
1.0	4.46475	4.8796875	2023-12-04T15:38:53.992745
1.0	4.4649375	4.8796875	2023-12-04T15:38:53.992745
1.0	4.4655	4.879125	2023-12-04T15:38:53.992745
1.0	4.4656875	4.8781875	2023-12-04T15:38:53.992745
1.0	4.466625	4.877625	2023-12-04T15:38:53.992745
2.0	4.5178125	4.9104375	2023-12-04T15:38:55.867745
2.0	4.5178125	4.9115625	2023-12-04T15:38:55.867745
2.0	4.518375	4.9115625	2023-12-04T15:38:55.867745
2.0	4.518375	4.911375	2023-12-04T15:38:55.867745
2.0	4.5189375	4.9108125	2023-12-04T15:38:55.867745
2.0	4.519875	4.910625	2023-12-04T15:38:55.867745
2.0	4.519875	4.911375	2023-12-04T15:38:55.867745
2.0	4.519875	4.911375	2023-12-04T15:38:55.867745
2.0	4.5189375	4.911375	2023-12-04T15:38:55.867745
2.0	4.51725	4.9104375	2023-12-04T15:38:55.867745
2.0	4.5163125	4.9093125	2023-12-04T15:38:55.867745
2.0	4.516875	4.909875	2023-12-04T15:38:55.867745
2.0	4.517625	4.9108125	2023-12-04T15:38:55.867745
2.0	4.516875	4.9111875	2023-12-04T15:38:55.867745
2.0	4.5159375	4.911375	2023-12-04T15:38:55.867745
2.0	4.516125	4.911375	2023-12-04T15:38:55.867745
2.0	4.5178125	4.91175	2023-12-04T15:38:55.867745
2.0	4.518	4.9126875	2023-12-04T15:38:55.867745
2.0	4.5178125	4.9138125	2023-12-04T15:38:55.867745
2.0	4.518	4.913625	2023-12-04T15:38:55.867745
2.0	4.5178125	4.9130625	2023-12-04T15:38:55.867745
2.0	4.5178125	4.9130625	2023-12-04T15:38:55.867745
2.0	4.51875	4.912125	2023-12-04T15:38:55.867745
2.0	4.5196875	4.91175	2023-12-04T15:38:55.867745
2.0	4.5195	4.9119375	2023-12-04T15:38:55.867745
2.0	4.51875	4.911375	2023-12-04T15:38:55.867745
2.0	4.51725	4.9104375	2023-12-04T15:38:55.867745
2.0	4.5163125	4.9108125	2023-12-04T15:38:55.867745
2.0	4.5170625	4.9115625	2023-12-04T15:38:55.867745
2.0	4.51725	4.911375	2023-12-04T15:38:55.867745
2.0	4.5166875	4.9111875	2023-12-04T15:38:55.867745
2.0	4.516125	4.9119375	2023-12-04T15:38:55.867745
2.0	4.5170625	4.9123125	2023-12-04T15:38:55.867745
2.0	4.518	4.9126875	2023-12-04T15:38:55.867745
2.0	4.518	4.9138125	2023-12-04T15:38:55.867745
2.0	4.518	4.914	2023-12-04T15:38:55.867745
2.0	4.518	4.914	2023-12-04T15:38:55.867745
2.0	4.518375	4.9134375	2023-12-04T15:38:55.867745
2.0	4.5181875	4.912875	2023-12-04T15:38:55.867745
2.0	4.5193125	4.912125	2023-12-04T15:38:55.867745
2.0	4.52025	4.9119375	2023-12-04T15:38:55.867745
2.0	4.5195	4.9119375	2023-12-04T15:38:55.867745
2.0	4.518	4.91175	2023-12-04T15:38:55.867745
2.0	4.5163125	4.9111875	2023-12-04T15:38:55.867745
2.0	4.516875	4.9108125	2023-12-04T15:38:55.867745
2.0	4.517625	4.9111875	2023-12-04T15:38:55.867745
2.0	4.5174375	4.9115625	2023-12-04T15:38:55.867745
2.0	4.5166875	4.91175	2023-12-04T15:38:55.867745
2.0	4.5163125	4.912125	2023-12-04T15:38:55.867745
2.0	4.517625	4.9123125	2023-12-04T15:38:55.867745
3.0	4.561125	4.9426875	2023-12-04T15:38:58.180245
3.0	4.5598125	4.942875	2023-12-04T15:38:58.180245
3.0	4.5590625	4.94325	2023-12-04T15:38:58.180245
3.0	4.5594375	4.9438125	2023-12-04T15:38:58.180245
3.0	4.5598125	4.9445625	2023-12-04T15:38:58.180245
3.0	4.5590625	4.945125	2023-12-04T15:38:58.180245
3.0	4.5585	4.9455	2023-12-04T15:38:58.180245
3.0	4.5585	4.9455	2023-12-04T15:38:58.180245
3.0	4.5594375	4.9456875	2023-12-04T15:38:58.180245
3.0	4.5605625	4.94625	2023-12-04T15:38:58.180245
3.0	4.560375	4.9475625	2023-12-04T15:38:58.180245
3.0	4.56	4.9479375	2023-12-04T15:38:58.180245
3.0	4.5601875	4.9475625	2023-12-04T15:38:58.180245
3.0	4.5609375	4.946625	2023-12-04T15:38:58.180245
3.0	4.561875	4.9456875	2023-12-04T15:38:58.180245
3.0	4.562625	4.9456875	2023-12-04T15:38:58.180245
3.0	4.5620625	4.94625	2023-12-04T15:38:58.180245
3.0	4.561125	4.94625	2023-12-04T15:38:58.180245
3.0	4.5594375	4.9460625	2023-12-04T15:38:58.180245
3.0	4.55925	4.945875	2023-12-04T15:38:58.180245
3.0	4.559625	4.9460625	2023-12-04T15:38:58.180245
3.0	4.559625	4.9460625	2023-12-04T15:38:58.180245
3.0	4.55925	4.9455	2023-12-04T15:38:58.180245
3.0	4.5586875	4.9464375	2023-12-04T15:38:58.180245
3.0	4.5583125	4.947375	2023-12-04T15:38:58.180245
3.0	4.559625	4.9471875	2023-12-04T15:38:58.180245
3.0	4.560375	4.948125	2023-12-04T15:38:58.180245
3.0	4.56075	4.94925	2023-12-04T15:38:58.180245
3.0	4.5609375	4.948875	2023-12-04T15:38:58.180245
3.0	4.560375	4.9483125	2023-12-04T15:38:58.180245
3.0	4.56075	4.9471875	2023-12-04T15:38:58.180245
3.0	4.561875	4.9464375	2023-12-04T15:38:58.180245
3.0	4.56225	4.947375	2023-12-04T15:38:58.180245
3.0	4.561125	4.948125	2023-12-04T15:38:58.180245
3.0	4.5598125	4.9475625	2023-12-04T15:38:58.180245
3.0	4.5598125	4.946625	2023-12-04T15:38:58.180245
3.0	4.5590625	4.946625	2023-12-04T15:38:58.180245
3.0	4.559625	4.9468125	2023-12-04T15:38:58.180245
3.0	4.5598125	4.9475625	2023-12-04T15:38:58.195870
3.0	4.5590625	4.947	2023-12-04T15:38:58.195870
3.0	4.5585	4.947375	2023-12-04T15:38:58.195870
3.0	4.5586875	4.9483125	2023-12-04T15:38:58.195870
3.0	4.5601875	4.948125	2023-12-04T15:38:58.195870
3.0	4.560375	4.9486875	2023-12-04T15:38:58.195870
3.0	4.5601875	4.949625	2023-12-04T15:38:58.195870
3.0	4.5605625	4.94925	2023-12-04T15:38:58.195870
3.0	4.5609375	4.948125	2023-12-04T15:38:58.195870
3.0	4.561125	4.94775	2023-12-04T15:38:58.195870
3.0	4.56225	4.9479375	2023-12-04T15:38:58.195870
3.0	4.5620625	4.9483125	2023-12-04T15:38:58.195870
4.0	4.6003125	4.9734375	2023-12-04T15:39:00.070870
4.0	4.6006875	4.9734375	2023-12-04T15:39:00.070870
4.0	4.601625	4.9741875	2023-12-04T15:39:00.070870
4.0	4.602	4.975125	2023-12-04T15:39:00.070870
4.0	4.60125	4.9760625	2023-12-04T15:39:00.070870
4.0	4.5999375	4.9755	2023-12-04T15:39:00.070870
4.0	4.598625	4.9745625	2023-12-04T15:39:00.070870
4.0	4.598625	4.9745625	2023-12-04T15:39:00.070870
4.0	4.598625	4.97475	2023-12-04T15:39:00.070870
4.0	4.599375	4.9755	2023-12-04T15:39:00.070870
4.0	4.5995625	4.9749375	2023-12-04T15:39:00.070870
4.0	4.5988125	4.9756875	2023-12-04T15:39:00.070870
4.0	4.599	4.976625	2023-12-04T15:39:00.070870
4.0	4.59975	4.976625	2023-12-04T15:39:00.070870
4.0	4.5999375	4.9771875	2023-12-04T15:39:00.070870
4.0	4.5999375	4.9775625	2023-12-04T15:39:00.070870
4.0	4.6003125	4.977375	2023-12-04T15:39:00.070870
4.0	4.600875	4.9771875	2023-12-04T15:39:00.070870
4.0	4.6010625	4.977	2023-12-04T15:39:00.070870
4.0	4.602	4.9764375	2023-12-04T15:39:00.070870
4.0	4.602	4.9768125	2023-12-04T15:39:00.070870
4.0	4.602	4.9768125	2023-12-04T15:39:00.070870
4.0	4.60125	4.977375	2023-12-04T15:39:00.086495
4.0	4.5995625	4.9768125	2023-12-04T15:39:00.086495
4.0	4.5988125	4.9764375	2023-12-04T15:39:00.086495
4.0	4.599375	4.976625	2023-12-04T15:39:00.086495
4.0	4.5991875	4.9764375	2023-12-04T15:39:00.086495
4.0	4.5988125	4.9755	2023-12-04T15:39:00.086495
4.0	4.59825	4.97625	2023-12-04T15:39:00.086495
4.0	4.599	4.977	2023-12-04T15:39:00.086495
4.0	4.6003125	4.976625	2023-12-04T15:39:00.086495
4.0	4.6005	4.977	2023-12-04T15:39:00.086495
