ANGLE	CH0	CH1	DATETIME
378.0	1.3445625	1.6074375	2023-12-06T16:17:07.453125
378.0	1.3273125	1.6075625	2023-12-06T16:17:07.453125
378.0	1.3273125	1.6076875	2023-12-06T16:17:07.468750
378.0	1.3269375	1.6075	2023-12-06T16:17:07.468750
378.0	1.3266875	1.607125	2023-12-06T16:17:07.468750
378.0	1.326125	1.607125	2023-12-06T16:17:07.468750
378.0	1.326125	1.6075	2023-12-06T16:17:07.468750
378.0	1.32575	1.6075	2023-12-06T16:17:07.468750
378.0	1.3251875	1.607625	2023-12-06T16:17:07.468750
378.0	1.3253125	1.6076875	2023-12-06T16:17:07.468750
378.0	1.326125	1.6078125	2023-12-06T16:17:07.468750
378.0	1.3265625	1.6076875	2023-12-06T16:17:07.468750
378.0	1.3264375	1.607875	2023-12-06T16:17:07.468750
378.0	1.326375	1.6083125	2023-12-06T16:17:07.468750
378.0	1.3266875	1.6084375	2023-12-06T16:17:07.468750
378.0	1.3266875	1.60825	2023-12-06T16:17:07.468750
378.0	1.3266875	1.60775	2023-12-06T16:17:07.468750
378.0	1.3269375	1.6074375	2023-12-06T16:17:07.468750
378.0	1.3274375	1.607625	2023-12-06T16:17:07.468750
378.0	1.327125	1.60775	2023-12-06T16:17:07.468750
378.0	1.3264375	1.6075	2023-12-06T16:17:07.468750
378.0	1.325875	1.6075	2023-12-06T16:17:07.468750
378.0	1.3255625	1.6071875	2023-12-06T16:17:07.484375
378.0	1.3259375	1.6071875	2023-12-06T16:17:07.484375
378.0	1.3256875	1.6076875	2023-12-06T16:17:07.484375
378.0	1.3258125	1.6076875	2023-12-06T16:17:07.484375
378.0	1.3258125	1.60775	2023-12-06T16:17:07.484375
378.0	1.32625	1.6078125	2023-12-06T16:17:07.484375
378.0	1.3266875	1.6078125	2023-12-06T16:17:07.484375
378.0	1.3266875	1.6080625	2023-12-06T16:17:07.484375
378.0	1.3265	1.6084375	2023-12-06T16:17:07.484375
378.0	1.3266875	1.6084375	2023-12-06T16:17:07.484375
378.0	1.32675	1.608125	2023-12-06T16:17:07.484375
378.0	1.32675	1.6075	2023-12-06T16:17:07.484375
378.0	1.3270625	1.607375	2023-12-06T16:17:07.484375
378.0	1.32775	1.6076875	2023-12-06T16:17:07.484375
378.0	1.327375	1.6076875	2023-12-06T16:17:07.484375
378.0	1.3265	1.6076875	2023-12-06T16:17:07.484375
378.0	1.325875	1.6073125	2023-12-06T16:17:07.484375
378.0	1.32575	1.6071875	2023-12-06T16:17:07.484375
378.0	1.326	1.607375	2023-12-06T16:17:07.484375
378.0	1.3259375	1.607625	2023-12-06T16:17:07.484375
378.0	1.3256875	1.607625	2023-12-06T16:17:07.500000
378.0	1.3256875	1.60775	2023-12-06T16:17:07.500000
378.0	1.32575	1.6076875	2023-12-06T16:17:07.500000
378.0	1.326125	1.6076875	2023-12-06T16:17:07.500000
378.0	1.3266875	1.6081875	2023-12-06T16:17:07.500000
378.0	1.326875	1.608625	2023-12-06T16:17:07.500000
378.0	1.327125	1.608375	2023-12-06T16:17:07.500000
378.0	1.327125	1.6078125	2023-12-06T16:17:07.500000
379.0	1.3264375	1.6086875	2023-12-06T16:17:09.375000
379.0	1.3268125	1.608875	2023-12-06T16:17:09.375000
379.0	1.326875	1.6093125	2023-12-06T16:17:09.375000
379.0	1.327	1.6093125	2023-12-06T16:17:09.375000
379.0	1.327125	1.609	2023-12-06T16:17:09.375000
379.0	1.32725	1.6085625	2023-12-06T16:17:09.375000
379.0	1.3273125	1.608375	2023-12-06T16:17:09.375000
379.0	1.3273125	1.608375	2023-12-06T16:17:09.375000
379.0	1.327375	1.6085625	2023-12-06T16:17:09.375000
379.0	1.32725	1.608625	2023-12-06T16:17:09.375000
379.0	1.32675	1.6083125	2023-12-06T16:17:09.375000
379.0	1.32625	1.6079375	2023-12-06T16:17:09.375000
379.0	1.3265	1.608125	2023-12-06T16:17:09.375000
379.0	1.3265625	1.6085625	2023-12-06T16:17:09.375000
379.0	1.326125	1.608625	2023-12-06T16:17:09.390625
379.0	1.3258125	1.608625	2023-12-06T16:17:09.390625
379.0	1.3261875	1.6086875	2023-12-06T16:17:09.390625
379.0	1.3265625	1.6088125	2023-12-06T16:17:09.390625
379.0	1.326625	1.609	2023-12-06T16:17:09.390625
379.0	1.3265	1.6093125	2023-12-06T16:17:09.390625
379.0	1.32675	1.60925	2023-12-06T16:17:09.390625
379.0	1.32675	1.60925	2023-12-06T16:17:09.390625
379.0	1.3269375	1.609	2023-12-06T16:17:09.390625
379.0	1.3274375	1.608375	2023-12-06T16:17:09.390625
379.0	1.327625	1.60825	2023-12-06T16:17:09.390625
379.0	1.3274375	1.6085625	2023-12-06T16:17:09.390625
379.0	1.3273125	1.6085625	2023-12-06T16:17:09.390625
379.0	1.326375	1.608125	2023-12-06T16:17:09.390625
379.0	1.3259375	1.6079375	2023-12-06T16:17:09.390625
379.0	1.3261875	1.60825	2023-12-06T16:17:09.390625
379.0	1.326625	1.6085625	2023-12-06T16:17:09.390625
379.0	1.3261875	1.6085625	2023-12-06T16:17:09.390625
379.0	1.326125	1.6086875	2023-12-06T16:17:09.390625
379.0	1.3264375	1.60875	2023-12-06T16:17:09.390625
379.0	1.3268125	1.60875	2023-12-06T16:17:09.406250
379.0	1.326875	1.609125	2023-12-06T16:17:09.406250
379.0	1.326875	1.609125	2023-12-06T16:17:09.406250
379.0	1.327	1.6095	2023-12-06T16:17:09.406250
379.0	1.3271875	1.609375	2023-12-06T16:17:09.406250
379.0	1.327125	1.6088125	2023-12-06T16:17:09.406250
379.0	1.327375	1.608375	2023-12-06T16:17:09.406250
379.0	1.3276875	1.608375	2023-12-06T16:17:09.406250
379.0	1.327375	1.6086875	2023-12-06T16:17:09.406250
379.0	1.327	1.608375	2023-12-06T16:17:09.406250
379.0	1.3264375	1.6080625	2023-12-06T16:17:09.406250
379.0	1.32625	1.6079375	2023-12-06T16:17:09.406250
379.0	1.32625	1.6085	2023-12-06T16:17:09.406250
379.0	1.3260625	1.60875	2023-12-06T16:17:09.406250
379.0	1.3256875	1.6085625	2023-12-06T16:17:09.406250
379.0	1.3258125	1.6086875	2023-12-06T16:17:09.406250
380.0	1.325875	1.60875	2023-12-06T16:17:11.281250
