#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-21 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 1
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
729.014   2.085375  2.485875  2023-12-21T15:45:33.510181
729.014   2.085125  2.48575   2023-12-21T15:45:33.510181
729.014   2.085375  2.48625   2023-12-21T15:45:33.510181
729.014   2.08525   2.486625  2023-12-21T15:45:33.510181
729.014   2.0845    2.486625  2023-12-21T15:45:33.510181
729.014   2.08475   2.48675   2023-12-21T15:45:33.510181
729.014   2.0855    2.486625  2023-12-21T15:45:33.510181
729.014   2.085875  2.487     2023-12-21T15:45:33.510181
729.014   2.085875  2.487     2023-12-21T15:45:33.510181
729.014   2.086     2.4875    2023-12-21T15:45:33.510181
729.014   2.08625   2.487625  2023-12-21T15:45:33.510181
729.014   2.086125  2.48725   2023-12-21T15:45:33.510181
729.014   2.086125  2.4865    2023-12-21T15:45:33.510181
729.014   2.086625  2.486     2023-12-21T15:45:33.510181
729.014   2.08675   2.486375  2023-12-21T15:45:33.510181
729.014   2.086625  2.486625  2023-12-21T15:45:33.510181
729.014   2.08625   2.486     2023-12-21T15:45:33.510181
729.014   2.085625  2.485625  2023-12-21T15:45:33.510181
729.014   2.085375  2.485875  2023-12-21T15:45:33.510181
729.014   2.08575   2.4865    2023-12-21T15:45:33.510181
729.014   2.085625  2.4865    2023-12-21T15:45:33.510181
729.014   2.085     2.486625  2023-12-21T15:45:33.510181
729.014   2.085125  2.487     2023-12-21T15:45:33.510181
729.014   2.085125  2.487     2023-12-21T15:45:33.510181
729.014   2.085375  2.48675   2023-12-21T15:45:33.510181
729.014   2.086125  2.48725   2023-12-21T15:45:33.510181
729.014   2.085875  2.487625  2023-12-21T15:45:33.510181
729.014   2.086     2.4875    2023-12-21T15:45:33.510181
729.014   2.086     2.487     2023-12-21T15:45:33.510181
729.014   2.086125  2.48625   2023-12-21T15:45:33.510181
729.014   2.08675   2.486125  2023-12-21T15:45:33.510181
729.014   2.087     2.4865    2023-12-21T15:45:33.510181
729.014   2.086625  2.4865    2023-12-21T15:45:33.510181
729.014   2.0855    2.486     2023-12-21T15:45:33.510181
729.014   2.085     2.485625  2023-12-21T15:45:33.510181
729.014   2.085     2.486     2023-12-21T15:45:33.510181
729.014   2.085375  2.486625  2023-12-21T15:45:33.510181
729.014   2.085125  2.4865    2023-12-21T15:45:33.510181
729.014   2.085125  2.4865    2023-12-21T15:45:33.510181
729.014   2.08475   2.486625  2023-12-21T15:45:33.510181
729.014   2.08525   2.48675   2023-12-21T15:45:33.510181
729.014   2.08575   2.487     2023-12-21T15:45:33.510181
729.014   2.086125  2.487625  2023-12-21T15:45:33.510181
729.014   2.0865    2.487875  2023-12-21T15:45:33.510181
729.014   2.086625  2.4875    2023-12-21T15:45:33.510181
729.014   2.0865    2.487     2023-12-21T15:45:33.510181
729.014   2.086625  2.486375  2023-12-21T15:45:33.510181
729.014   2.08675   2.486375  2023-12-21T15:45:33.510181
729.014   2.08675   2.486625  2023-12-21T15:45:33.510181
729.014   2.08675   2.486625  2023-12-21T15:45:33.510181
730.014   2.083875  2.48075   2023-12-21T15:45:35.385073
730.014   2.0835    2.480625  2023-12-21T15:45:35.385073
730.014   2.083375  2.480875  2023-12-21T15:45:35.385073
730.014   2.08425   2.481     2023-12-21T15:45:35.385073
730.014   2.084875  2.48125   2023-12-21T15:45:35.385073
730.014   2.084625  2.48175   2023-12-21T15:45:35.385073
730.014   2.0845    2.481875  2023-12-21T15:45:35.385073
730.014   2.08475   2.481375  2023-12-21T15:45:35.385073
730.014   2.08475   2.481375  2023-12-21T15:45:35.385073
730.014   2.08475   2.4805    2023-12-21T15:45:35.385073
730.014   2.085125  2.480125  2023-12-21T15:45:35.385073
730.014   2.085625  2.4805    2023-12-21T15:45:35.385073
730.014   2.08525   2.480625  2023-12-21T15:45:35.385073
730.014   2.084375  2.480375  2023-12-21T15:45:35.385073
730.014   2.084125  2.48      2023-12-21T15:45:35.385073
730.014   2.084125  2.480125  2023-12-21T15:45:35.385073
730.014   2.08425   2.48075   2023-12-21T15:45:35.385073
730.014   2.084     2.4805    2023-12-21T15:45:35.385073
730.014   2.083125  2.4805    2023-12-21T15:45:35.385073
730.014   2.083375  2.480625  2023-12-21T15:45:35.385073
730.014   2.08425   2.48075   2023-12-21T15:45:35.385073
730.014   2.08475   2.481     2023-12-21T15:45:35.385073
730.014   2.084875  2.481625  2023-12-21T15:45:35.385073
730.014   2.084875  2.481625  2023-12-21T15:45:35.385073
730.014   2.085     2.481625  2023-12-21T15:45:35.385073
730.014   2.085     2.481125  2023-12-21T15:45:35.385073
730.014   2.084625  2.48025   2023-12-21T15:45:35.385073
730.014   2.085125  2.48      2023-12-21T15:45:35.385073
730.014   2.0855    2.480375  2023-12-21T15:45:35.385073
730.014   2.084875  2.4805    2023-12-21T15:45:35.385073
730.014   2.08475   2.48      2023-12-21T15:45:35.385073
730.014   2.084375  2.47975   2023-12-21T15:45:35.385073
