ANGLE,CH0,CH1
0.0,1.144625,0.347375
0.0,1.1445,0.34725
0.0,1.14425,0.347375
0.0,1.144,0.34725
0.0,1.143875,0.34725
0.0,1.144125,0.34725
0.0,1.144625,0.34725
0.0,1.144875,0.347125
0.0,1.145,0.34725
0.0,1.144875,0.34725
0.0,1.145125,0.34725
0.0,1.145125,0.347375
0.0,1.14525,0.347375
0.0,1.144875,0.34725
0.0,1.144625,0.347375
0.0,1.144375,0.347625
0.0,1.144375,0.3475
0.0,1.143875,0.347375
0.0,1.144,0.347375
0.0,1.14425,0.347125
0.0,1.144875,0.34725
0.0,1.145,0.347125
0.0,1.145,0.347
0.0,1.145,0.347125
0.0,1.145,0.34725
0.0,1.14525,0.347375
0.0,1.145375,0.34725
0.0,1.145125,0.34725
0.0,1.1445,0.347375
0.0,1.144625,0.34725
0.0,1.144125,0.3475
0.0,1.144125,0.34725
0.0,1.143875,0.34725
0.0,1.144125,0.347375
0.0,1.1445,0.34725
0.0,1.14475,0.347125
0.0,1.145,0.347125
0.0,1.14475,0.347125
0.0,1.144875,0.347125
0.0,1.145125,0.34725
0.0,1.14525,0.347375
0.0,1.145125,0.347375
0.0,1.145,0.347375
0.0,1.144625,0.3475
0.0,1.144,0.347625
0.0,1.144125,0.347375
0.0,1.143625,0.347375
0.0,1.143625,0.347375
0.0,1.14375,0.3475
0.0,1.14425,0.3475
1.0,1.158375,0.351
1.0,1.158625,0.350875
1.0,1.158125,0.351
1.0,1.157875,0.351
1.0,1.15775,0.351
1.0,1.158,0.350875
1.0,1.157625,0.351
1.0,1.1575,0.350875
1.0,1.157875,0.35075
1.0,1.158125,0.35075
1.0,1.15825,0.35075
1.0,1.15825,0.351
1.0,1.1585,0.350875
1.0,1.1585,0.351125
1.0,1.1585,0.350875
1.0,1.158375,0.351
1.0,1.158125,0.351
1.0,1.158,0.351125
1.0,1.158,0.351125
1.0,1.15775,0.351
1.0,1.157625,0.351
1.0,1.157625,0.351
1.0,1.158,0.350875
1.0,1.15825,0.350875
