#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2023-12-13 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# cycles  : 2
# step    : 1.0
# samples : 50
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
74.0      0.0       1.261375  2023-12-13T16:30:28.265625
74.0      1.157875  1.26125   2023-12-13T16:30:28.265625
74.0      1.157625  1.261375  2023-12-13T16:30:28.265625
74.0      1.1575    1.261625  2023-12-13T16:30:28.265625
74.0      1.157375  1.261625  2023-12-13T16:30:28.265625
74.0      1.15725   1.26175   2023-12-13T16:30:28.265625
74.0      1.157125  1.261875  2023-12-13T16:30:28.265625
74.0      1.1575    1.261875  2023-12-13T16:30:28.265625
74.0      1.158     1.262125  2023-12-13T16:30:28.265625
74.0      1.158     1.262125  2023-12-13T16:30:28.265625
74.0      1.158     1.2625    2023-12-13T16:30:28.265625
74.0      1.158375  1.262375  2023-12-13T16:30:28.265625
74.0      1.158125  1.262125  2023-12-13T16:30:28.265625
74.0      1.158375  1.26175   2023-12-13T16:30:28.265625
74.0      1.158625  1.2615    2023-12-13T16:30:28.265625
74.0      1.158625  1.26175   2023-12-13T16:30:28.265625
74.0      1.158125  1.261625  2023-12-13T16:30:28.265625
74.0      1.158125  1.26125   2023-12-13T16:30:28.265625
74.0      1.158125  1.261125  2023-12-13T16:30:28.265625
74.0      1.1575    1.261375  2023-12-13T16:30:28.265625
74.0      1.15775   1.26175   2023-12-13T16:30:28.265625
74.0      1.1575    1.261625  2023-12-13T16:30:28.265625
74.0      1.157125  1.26175   2023-12-13T16:30:28.265625
74.0      1.157     1.26175   2023-12-13T16:30:28.265625
74.0      1.157375  1.261875  2023-12-13T16:30:28.265625
74.0      1.158125  1.26225   2023-12-13T16:30:28.265625
74.0      1.15825   1.26225   2023-12-13T16:30:28.265625
74.0      1.157875  1.262375  2023-12-13T16:30:28.265625
74.0      1.157625  1.262     2023-12-13T16:30:28.265625
